1007299507-f075 | http://is2.auto.ru/all/images/a8/cc/60x45/a8cc491d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 65 000 |  2000  |  152 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006417927-7933a4 | http://is17.auto.ru/all/images/e7/8c/60x45/e78cb1ba.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 70 000 |  2001  |  150 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 08.01.15
1006416777-bb830 | http://is8.auto.ru/all/images/c8/51/60x45/c851b57d.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 20 000 |  2000  |  189 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Тула | 08.01.15
1006417055-73807 | http://is2.auto.ru/all/images/a8/95/60x45/a8956c44.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 70 000 |  2000  |  200 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Мытищи | 08.01.15
1006416919-33272 | http://is6.auto.ru/all/images/dd/ad/60x45/ddad8e59.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 84 000 |  2003  |  129 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Сергиев Посад | 08.01.15
1006414771-62ef8 | http://is11.auto.ru/all/images/1c/67/60x45/1c67556a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 40 000 |  1999  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 08.01.15
1006414401-20912 | http://is16.auto.ru/all/images/cc/56/60x45/cc56ea0d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 32 000 |  1995  |  8 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Киров | 08.01.15
176117-596cf | http://is15.auto.ru/all/images/31/26/60x45/312699b4.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 95 000 |  2000  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Кантемировка | 08.01.15
48608164-c9ef | http://is14.auto.ru/all/images/f4/26/60x45/f4266f6a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFCC00 | 30 000 |  1997  |  120 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 08.01.15
1006411559-988f7c | http://is12.auto.ru/all/images/ee/44/60x45/ee44c5b7.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 55 000 |  1992  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Смоленск | 08.01.15
1003436196-c34bfe | http://is7.auto.ru/all/images/20/5a/60x45/205a9f98.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 42 200 |  1999  |  120 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Зеленоград | 08.01.15
48327506-e94dc0 | http://is11.auto.ru/all/images/8a/ea/60x45/8aeace25.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #000000 | 100 000 |  1988  |  83 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Саранск | 08.01.15
1006308035-2b41d | http://is13.auto.ru/all/images/92/29/60x45/92295145.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 65 000 |  1999  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Россошь | 08.01.15
1001725215-13daf | http://is6.auto.ru/all/images/58/96/60x45/58963995.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 65 000 |  2003  |  147 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Великий Новгород | 08.01.15
1006409499-9f2b34 | http://is13.auto.ru/all/images/a1/20/60x45/a120105a.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #FFFFFF | 40 000 |  1990  |  150 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Знаменское | 08.01.15
1002804065-9630 | http://is10.auto.ru/all/images/78/aa/60x45/78aa33f1.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 60 000 |  1998  |  100 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Кострома | 08.01.15
1004486657-4b3266 | http://is13.auto.ru/all/images/c3/22/60x45/c3222b42.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 78 000 |  2001  |  105 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Железногорск | 08.01.15
1005587363-b85b | http://is12.auto.ru/all/images/cd/8d/60x45/cd8db950.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 27 000 |  1998  |  1 000 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Калуга | 08.01.15
1006406871-d1ee | http://is9.auto.ru/all/images/0b/a1/60x45/0ba12a48.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 65 000 |  1999  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Пермь | 08.01.15
1006390881-736397 | http://is17.auto.ru/all/images/f5/88/60x45/f588b22e.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 99 000 |  1993  |  55 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Симферополь | 08.01.15
1006368643-111fa | http://is8.auto.ru/all/images/20/15/60x45/20151f50.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 57 000 |  2001  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 07.01.15
1004436093-5ae7a9 | http://is8.auto.ru/all/images/73/13/60x45/7313b582.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 95 000 |  2004  |  10 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 07.01.15
1006365687-948c1 | http://is10.auto.ru/all/images/f9/73/60x45/f9730fc3.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 35 000 |  2000  |  30 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Иваново | 07.01.15
1006365119-8335 | http://is14.auto.ru/all/images/ac/ee/60x45/acee74b2.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #ffefd5 | 45 000 |  1989  |  47 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Липецк | 07.01.15
1006205999-761901 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 36 500 |  1996  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Моршанск | 07.01.15
1006364789-151047 | http://is6.auto.ru/all/images/c7/1b/60x45/c71b166e.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #FF0000 | 25 000 |  1989  |  10 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Севск | 07.01.15
1006363817-49bc | http://is18.auto.ru/all/images/9e/d1/60x45/9ed1c211.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 85 000 |  2004  |  154 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Серпухов | 07.01.15
1006363273-c60c40 | http://is1.auto.ru/all/images/d3/14/60x45/d3142480.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 48 000 |  1998  |  100 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Иваново | 07.01.15
1006363193-da648 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 150 000 |  1998  |  37 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 07.01.15
1006360027-6315 | http://is3.auto.ru/all/images/de/46/60x45/de46d78f.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFFFFF | 98 000 |  2006  |  11 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Орел | 07.01.15
1003144314-310a09 | http://is17.auto.ru/all/images/6e/91/60x45/6e911140.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 50 000 |  1996  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 07.01.15
1006361453-efba | http://is2.auto.ru/all/images/cb/2a/60x45/cb2ad59d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 100 000 |  2001  |  141 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Новосибирск | 07.01.15
1006360305-7dff4f | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFFFFF | 60 000 |  1999  |  120 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Тольятти | 07.01.15
49270514-b886c | http://is10.auto.ru/all/images/45/d6/60x45/45d6768d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 25 000 |  1998  |  95 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Моршанск | 07.01.15
1006358295-505f | http://is17.auto.ru/all/images/f7/a4/60x45/f7a48dc8.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 100 000 |  2003  |  150 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Воронеж | 07.01.15
1006319139-069f3b | http://is7.auto.ru/all/images/e8/e6/60x45/e8e65641.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #000000 | 90 000 |  2002  |  180 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Махачкала | 07.01.15
1006318269-794519 | http://is17.auto.ru/all/images/f4/4c/60x45/f44c7203.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFCC00 | 98 000 |  2001  |  150 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 06.01.15
1006318409-67014 | http://is18.auto.ru/all/images/39/f9/60x45/39f90db2.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFCC00 | 30 000 |  2001  |  200 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Елец | 06.01.15
1006267565-4551b | http://is17.auto.ru/all/images/5e/ae/60x45/5eae4391.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #000000 | 90 000 |  2004  |  140 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Липецк | 06.01.15
1006315143-404205 | http://is2.auto.ru/all/images/41/2d/60x45/412d0c94.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 22 800 |  1999  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Вятские Поляны | 06.01.15
1006315171-65fa | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #FFFFFF | 40 000 |  1988  |  13 426 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Белово | 06.01.15
1006314449-ff5e06 | http://is18.auto.ru/all/images/46/a4/60x45/46a4f823.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 55 000 |  2001  |  97 300 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 06.01.15
1006314473-d29ad9 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 28 000 |  1996  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Иваново | 06.01.15
1006314383-0f423 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 50 000 |  2001  |  70 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 06.01.15
1006312347-318b6 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 60 000 |  2003  |  999 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Покров | 06.01.15
1006311725-b6204 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 50 000 |  2001  |  220 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Чебоксары | 06.01.15
1003628998-86985 | http://is4.auto.ru/all/images/64/14/60x45/6414c722.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0088ff | 40 000 |  2001  |  210 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 06.01.15
1003710500-fa69 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 45 000 |  2001  |  99 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Удомля | 06.01.15
1004485299-f76a | http://is12.auto.ru/all/images/76/d8/60x45/76d8bbef.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 79 000 |  2002  |  116 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Пенза | 06.01.15
1006307617-d12e | http://is2.auto.ru/all/images/79/32/60x45/79325e3d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 60 000 |  1995  |  95 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Новосибирск | 06.01.15
1006307447-e8f031 | http://is15.auto.ru/all/images/2f/83/60x45/2f83077d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 90 000 |  1996  |  5 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Пикалево | 06.01.15
1004078342-6ad6f8 | http://is18.auto.ru/all/images/9e/2f/60x45/9e2f9d41.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 30 000 |  1998  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Щекино | 06.01.15
1006305853-bc7d9 | http://is6.auto.ru/all/images/34/7b/60x45/347bd395.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 62 000 |  1998  |  70 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Мыски | 06.01.15
1006304563-fc23 | http://is11.auto.ru/all/images/dc/5c/60x45/dc5c80f2.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 90 000 |  2003  |  153 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 06.01.15
1006288131-c9a3a6 | http://is10.auto.ru/all/images/49/17/60x45/49171728.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 75 000 |  2002  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ногинск | 06.01.15
1006266827-edc8 | http://is9.auto.ru/all/images/97/7c/60x45/977c6d24.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 73 300 |  2001  |  80 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Чапаевск | 05.01.15
1006263693-0574e | http://is2.auto.ru/all/images/98/c0/60x45/98c0cc62.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 55 000 |  2002  |  130 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Ярцево | 05.01.15
1006266551-33b4 | http://is3.auto.ru/all/images/d1/9a/60x45/d19a21a4.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #FFFFFF | 90 000 |  1990  |  250 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Шексна | 05.01.15
1006266467-086f | http://is2.auto.ru/all/images/b0/65/60x45/b065972d.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FF0000 | 82 000 |  2001  |  180 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Феодосия | 05.01.15
1006262615-139dd9 | http://is12.auto.ru/all/images/49/5b/60x45/495b7453.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 37 000 |  1989  |  90 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Иваново | 05.01.15
1006262383-4b03e | http://is17.auto.ru/all/images/24/b4/60x45/24b4592f.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 100 000 |  2004  |  88 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Саратов | 05.01.15
1006262279-6ad8 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 55 000 |  2001  |  80 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 05.01.15
45981630-8122 | http://is2.auto.ru/all/images/fb/ce/60x45/fbce9972.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 60 000 |  2002  |  130 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Орел | 05.01.15
1006162873-1388 | http://is11.auto.ru/all/images/91/09/60x45/9109da37.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CC0033 | 70 000 |  2000  |  20 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Белгород | 05.01.15
1006212719-d63e78 | http://is17.auto.ru/all/images/47/47/60x45/4747349d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 72 000 |  2001  |  230 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Елец | 05.01.15
1006257785-44db5f | http://is7.auto.ru/all/images/37/b4/60x45/37b4cfcb.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFFFFF | 185 000 |  2001  |  70 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Киров | 05.01.15
1006258131-05f012 | http://is8.auto.ru/all/images/41/3e/60x45/413eef16.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 60 000 |  1999  |  300 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Брянск | 05.01.15
1006257231-700098 | http://is3.auto.ru/all/images/31/01/60x45/3101844e.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 70 000 |  2002  |  335 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Луховицы | 05.01.15
1006257175-d1ee9 | http://is17.auto.ru/all/images/16/51/60x45/16513231.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 45 000 |  2002  |  78 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Калуга | 05.01.15
1006257115-98492 | http://is18.auto.ru/all/images/4c/7f/60x45/4c7f1ee4.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 35 000 |  1991  |  25 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ульяновск | 05.01.15
1006215871-62f60b | http://is5.auto.ru/all/images/cc/18/60x45/cc181aef.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 80 000 |  2003  |  123 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Самара | 05.01.15
1006215065-e9566 | http://is17.auto.ru/all/images/1c/c2/60x45/1cc25769.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 47 000 |  1992  |  70 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ейск | 04.01.15
1006214933-dad40 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 98 000 |  2002  |  70 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Серпухов | 04.01.15
1006214797-c39fd | http://is17.auto.ru/all/images/e2/fc/60x45/e2fc31e5.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 50 000 |  1998  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Уфа | 04.01.15
1004643911-102b | http://is1.auto.ru/all/images/91/3b/60x45/913b2425.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFFFFF | 55 000 |  2003  |  242 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Рыбинск | 04.01.15
1004356483-b269 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 80 000 |  2001  |  185 500 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Орел | 04.01.15
1006212503-1a4b7 | http://is2.auto.ru/all/images/d7/5e/60x45/d75e4ea6.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 37 000 |  2000  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Калуга | 04.01.15
46538102-2eff | http://is17.auto.ru/all/images/48/a0/60x45/48a09c93.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 110 000 |  2003  |  170 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 04.01.15
1006212593-cb8f04 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 70 000 |  2003  |  160 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Электроугли | 04.01.15
1006211941-788d | http://is7.auto.ru/all/images/89/fa/60x45/89fa5fb2.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #000000 | 80 000 |  2003  |  140 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 04.01.15
1006192837-04a7b6 | http://is18.auto.ru/all/images/e6/91/60x45/e6917c70.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 110 000 |  2003  |  117 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Пушкино | 04.01.15
1006211015-7f446 | http://is9.auto.ru/all/images/3b/71/60x45/3b712df5.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 60 000 |  1998  |  20 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 04.01.15
1006209941-79c4 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 35 000 |  1990  |  130 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Сухиничи | 04.01.15
1005857679-7de5 | http://is15.auto.ru/all/images/a9/ce/60x45/a9ce9045.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 80 000 |  2002  |  120 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Фурманов | 04.01.15
1006208935-1ef7 | http://is3.auto.ru/all/images/c0/77/60x45/c077b32b.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #000000 | 40 000 |  1989  |  170 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Зверево | 04.01.15
1006208683-701b | http://is3.auto.ru/all/images/1e/ae/60x45/1eaeb4bd.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 60 000 |  1994  |  99 999 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Азов | 04.01.15
1006207781-8317a | http://is15.auto.ru/all/images/59/18/60x45/5918c592.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 110 000 |  1992  |  25 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Кропоткин | 04.01.15
1004644769-19abb | http://is12.auto.ru/all/images/b5/c1/60x45/b5c1ef15.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 85 000 |  2000  |  152 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Новопавловск | 04.01.15
1006161995-35b0d | http://is12.auto.ru/all/images/63/d1/60x45/63d1b7e7.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 145 000 |  1998  |  60 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 03.01.15
1006161469-cece1b | http://is6.auto.ru/all/images/9f/a0/60x45/9fa0fb75.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 27 000 |  1994  |  80 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Слободской | 03.01.15
1002171855-422e | http://is17.auto.ru/all/images/3a/b9/60x45/3ab943c6.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 65 000 |  2001  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Смоленск | 03.01.15
1006159409-0dd16 | http://is5.auto.ru/all/images/45/ea/60x45/45eace1a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0000FF | 69 000 |  2002  |  165 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Киров | 03.01.15
1006159289-0b07d9 | http://is13.auto.ru/all/images/8e/bb/60x45/8ebbd6a0.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 70 000 |  2001  |  137 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 03.01.15
1006160619-4063 | http://is4.auto.ru/all/images/44/39/60x45/44398493.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 95 000 |  2005  |  46 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 03.01.15
1006153585-d9f32a | http://is14.auto.ru/all/images/c3/bc/60x45/c3bc9691.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 115 000 Правый руль |  2004  |  114 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 03.01.15
1006026531-01062 | http://is1.auto.ru/all/images/4f/cd/60x45/4fcd66ef.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 120 000 |  1993  |  500 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Сальск | 03.01.15
1006160297-8c15c | http://is15.auto.ru/all/images/02/55/60x45/025536dc.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 125 000 |  2003  |  110 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Махачкала | 03.01.15
1006156761-36b1 | http://is5.auto.ru/all/images/0d/17/60x45/0d17147d.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 175 000 |  2001  |  52 400 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Переславль-Залесский | 03.01.15
1006161759-29d9c | http://is11.auto.ru/all/images/60/d0/60x45/60d0f8d0.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 130 000 |  1990  |  99 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 03.01.15
1006158099-cf821 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 50 000 |  1996  |  78 400 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Кировск | 03.01.15
