1007247951-d1d745 | http://is13.auto.ru/all/images/20/9f/60x45/209f7e7b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 235 000 |  2011  |  53 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Хлевное | 22.01.15
1006311657-118d9 | http://is6.auto.ru/all/images/27/27/60x45/27273e87.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 120 000 |  2006  |  200 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Тейково | 06.01.15
1006268395-98934 | http://is4.auto.ru/all/images/bb/2b/60x45/bb2b02d3.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #0000FF | 125 000 |  2007  |  118 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Санкт-Петербург | 06.01.15
1006311053-c242 | http://is2.auto.ru/all/images/65/9f/60x45/659ffe89.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 165 000 |  2009  |  118 459 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Пенза | 06.01.15
1006310869-6e9b | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #0000FF | 245 000 |  2012  |  79 000 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Москва | 06.01.15
1005815861-b930 | http://is6.auto.ru/all/images/78/a7/60x45/78a734ff.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 50 000 |  2002  |  210 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 06.01.15
1005980573-e79c | http://is6.auto.ru/all/images/fe/68/60x45/fe689308.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 80 000 |  2005  |  125 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Колпино | 06.01.15
49531106-8fbd | http://is18.auto.ru/all/images/26/42/60x45/26429411.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 230 000 |  2012  |  100 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Старый Оскол | 06.01.15
1004216649-46a0ec | http://is9.auto.ru/all/images/ef/4d/60x45/ef4d5622.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #9c9999 | 148 000 |  2007  |  82 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Козельск | 06.01.15
1005809925-cdd7f | http://is7.auto.ru/all/images/33/47/60x45/33471e93.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #ffefd5 | 150 000 |  2007  |  107 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 06.01.15
1006307735-0ca4 | http://is16.auto.ru/all/images/6c/40/60x45/6c409e47.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 160 000 |  2008  |  160 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Курск | 06.01.15
1006306531-69e12 | http://is6.auto.ru/all/images/53/d5/60x45/53d56d52.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 110 000 |  2006  |  133 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 06.01.15
1006306419-cfbc81 | http://is11.auto.ru/all/images/8a/d2/60x45/8ad2bcfd.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 195 000 |  2011  |  68 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Старый Оскол | 06.01.15
1002418075-b212 | http://is16.auto.ru/all/images/e8/fd/60x45/e8fdc2b5.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 199 000 |  2009  |  61 900 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 06.01.15
1006305333-b0e8b | http://is7.auto.ru/all/images/ab/e5/60x45/abe5aa60.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 78 000 |  2005  |  199 999 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Нижний Новгород | 06.01.15
1006305149-8b74 | http://is16.auto.ru/all/images/cc/a1/60x45/cca10ff8.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FFFFFF | 265 000 |  2012  |  36 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Зеленчукская | 06.01.15
1006269015-0b9cb5 | http://is3.auto.ru/all/images/a6/23/60x45/a6236394.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 135 027 |  2006  |  157 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 06.01.15
1002039923-e0b29 | http://is2.auto.ru/all/images/6b/59/60x45/6b5904f5.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 150 000 |  2005  |  190 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Белгород | 06.01.15
1006273221-13c8 | http://is2.auto.ru/all/images/aa/37/60x45/aa37595b.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 150 000 |  2007  |  135 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Клинцы | 06.01.15
1006268691-b6ae | http://is8.auto.ru/all/images/cb/07/60x45/cb07e258.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 135 000 |  2007  |  87 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Ржев | 06.01.15
1006266263-361df9 | http://is3.auto.ru/all/images/69/b0/60x45/69b0556d.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CC0033 | 105 000 |  2004  |  159 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Владимир | 05.01.15
1005710875-a89c | http://is3.auto.ru/all/images/1c/c8/60x45/1cc895d8.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FF0000 | 215 000 |  2011  |  55 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Белгород | 05.01.15
1003782208-cd7efb | http://is5.auto.ru/all/images/fe/8e/60x45/fe8e57da.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 110 000 |  2006  |  170 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Муром | 05.01.15
1006267123-6f23 | http://is2.auto.ru/all/images/7f/4b/60x45/7f4b60c0.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 125 000 |  2004  |  120 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Кубинка | 05.01.15
1006267057-6a45bc | http://is2.auto.ru/all/images/bd/09/60x45/bd09793d.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 170 000 |  2009  |  132 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Тамбов | 05.01.15
1006266741-0da9 | http://is18.auto.ru/all/images/d1/40/60x45/d1409c12.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 132 000 |  2005  |  135 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Вольск | 05.01.15
1002035063-37fc5b | http://is12.auto.ru/all/images/5e/38/60x45/5e38fb5e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 170 000 |  2008  |  80 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Брянск | 05.01.15
1006265903-b140 | http://is18.auto.ru/all/images/20/db/60x45/20dbe860.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FF0000 | 70 000 |  2004  |  160 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Нижний Новгород | 05.01.15
1002212607-aa380 | http://is7.auto.ru/all/images/6e/9d/60x45/6e9d349f.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 195 000 |  2011  |  109 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Чебоксары | 05.01.15
1006265493-f30cf | http://is15.auto.ru/all/images/8a/16/60x45/8a1640d7.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #9c9999 | 200 000 |  2012  |  50 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 05.01.15
1006265373-ee3ae2 | http://is9.auto.ru/all/images/ed/c4/60x45/edc4edbd.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 110 000 |  2006  |  180 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Россошь | 05.01.15
1006263943-347976 | http://is13.auto.ru/all/images/c9/3d/60x45/c93d28ec.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 120 000 |  2005  |  160 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Воронеж | 05.01.15
1006263409-b4acb2 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 270 000 |  2012  |  33 500 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Липецк | 05.01.15
1006263431-863bc | http://is6.auto.ru/all/images/77/24/60x45/77245d38.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 149 997 |  2009  |  119 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Самара | 05.01.15
1006263847-582a | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 265 000 |  2013  |  25 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Павловский Посад | 05.01.15
1006263497-dfd38 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 110 000 |  2004  |  110 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Коломна | 05.01.15
49870826-f132 | http://is17.auto.ru/all/images/03/35/60x45/0335540c.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 210 000 |  2012  |  118 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 05.01.15
42029008-bd247 | http://is6.auto.ru/all/images/2f/61/60x45/2f610f9a.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #9c9999 | 300 000 |  2013  |  10 000 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Сасово | 05.01.15
1006262617-2b011 | http://is17.auto.ru/all/images/c2/3a/60x45/c23a70d4.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 130 000 |  2008  |  133 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Санкт-Петербург | 05.01.15
1006262269-e6642b | http://is9.auto.ru/all/images/01/38/60x45/0138b282.jpg |  ВАЗ 21141.5 MT (80 л.с.)  | #0000FF | 110 000 |  2004  |  130 000 км  |  1.5 MT (80 л.с.)хэтчбек, бензин, задний  | Людиново | 05.01.15
1006261569-5cb883 | http://is15.auto.ru/all/images/91/1a/60x45/911afd5b.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FF0000 | 118 000 |  2005  |  91 800 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Курск | 05.01.15
1006261021-8845 | http://is16.auto.ru/all/images/1b/b8/60x45/1bb81164.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 170 000 |  2010  |  53 300 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Суворов | 05.01.15
1006259801-97b83 | http://is3.auto.ru/all/images/c7/31/60x45/c7317752.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 115 000 |  2005  |  120 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Дзержинск | 05.01.15
1006259575-88bf5c | http://is2.auto.ru/all/images/73/a7/60x45/73a70480.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 199 000 |  2011  |  49 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Волгоград | 05.01.15
1004342335-a110a | http://is14.auto.ru/all/images/25/78/60x45/2578f549.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0088ff | 80 000 |  2003  |  196 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Домодедово | 05.01.15
1006257153-d26f | http://is17.auto.ru/all/images/d6/63/60x45/d6631511.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 170 000 |  2008  |  140 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Кострома | 05.01.15
1003068282-27a1 | http://is3.auto.ru/all/images/bd/ad/60x45/bdad9f2c.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 98 000 |  2005  |  200 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Саранск | 05.01.15
1003276632-d45c56 | http://is11.auto.ru/all/images/c0/83/60x45/c083dd9f.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 165 000 |  2007  |  78 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Воронеж | 05.01.15
1006216145-6aee4 | http://is3.auto.ru/all/images/84/eb/60x45/84ebf139.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 85 000 |  2004  |  160 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Чебоксары | 05.01.15
1005753063-e8145a | http://is7.auto.ru/all/images/b1/1a/60x45/b11ac851.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 65 000 |  2004  |  143 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 05.01.15
1005856191-790e44 | http://is8.auto.ru/all/images/e4/f9/60x45/e4f9518f.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 129 000 |  2008  |  94 500 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Рузаевка | 05.01.15
1006069579-7e066e | http://is15.auto.ru/all/images/28/7b/60x45/287b9519.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 135 000 |  2008  |  127 624 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Истра | 04.01.15
1006214187-d1738 | http://is15.auto.ru/all/images/b9/ed/60x45/b9edbf09.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 115 000 |  2006  |  95 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 04.01.15
1006214017-ca3f9 | http://is4.auto.ru/all/images/8c/df/60x45/8cdfc1fb.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 95 000 |  2006  |  180 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Рыбинск | 04.01.15
1005643343-b3b1 | http://is3.auto.ru/all/images/6b/f2/60x45/6bf2c85c.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FF0000 | 105 000 |  2004  |  185 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Железногорск | 04.01.15
1006110921-f46596 | http://is1.auto.ru/all/images/fd/a6/60x45/fda601d8.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 130 000 |  2004  |  150 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Псков | 04.01.15
1006213079-68476c | http://is16.auto.ru/all/images/34/20/60x45/342058c2.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 80 000 |  2007  |  115 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Петрозаводск | 04.01.15
1006212977-95c019 | http://is18.auto.ru/all/images/d3/2f/60x45/d32fcac1.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 139 000 |  2007  |  99 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Владимир | 04.01.15
1006212051-7390f | http://is14.auto.ru/all/images/bf/21/60x45/bf21527a.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 150 000 |  2006  |  160 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Новая Усмань | 04.01.15
1004292017-1702 | http://is13.auto.ru/all/images/e8/e8/60x45/e8e86ec1.jpg |  ВАЗ 21141.5 MT (72 л.с.)  | #9c9999 | 115 000 |  2005  |  167 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Сергиев Посад | 04.01.15
1006211721-3405 | http://is16.auto.ru/all/images/cf/e7/60x45/cfe7707f.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 198 000 |  2012  |  95 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Воронеж | 04.01.15
1006211171-21f34 | http://is11.auto.ru/all/images/13/1f/60x45/131fd82d.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 105 000 |  2006  |  200 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 04.01.15
1005866061-1dec | http://is3.auto.ru/all/images/bb/ff/60x45/bbff9e15.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #926547 | 140 000 |  2008  |  154 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 04.01.15
1004359221-8e74 | http://is18.auto.ru/all/images/39/ca/60x45/39ca9af3.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 135 000 |  2007  |  119 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Саранск | 04.01.15
1005449691-b12704 | http://is18.auto.ru/all/images/cf/4c/60x45/cf4cbd67.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 95 000 |  2003  |  92 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Щербинка | 04.01.15
1006210843-e2253e | http://is17.auto.ru/all/images/8f/42/60x45/8f422947.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #FFFFFF | 280 000 |  2013  |  25 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Таганрог | 04.01.15
1006209951-992b3 | http://is17.auto.ru/all/images/c2/c2/60x45/c2c2b8f2.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #FFFFFF | 270 000 |  2013  |  35 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 04.01.15
1006209991-455902 | http://is4.auto.ru/all/images/f9/7a/60x45/f97a7320.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #FFFFFF | 300 000 |  2013  |  25 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Воронеж | 04.01.15
1006208715-8811 | http://is17.auto.ru/all/images/15/a9/60x45/15a9e29a.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 130 000 |  2007  |  135 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Санкт-Петербург | 04.01.15
1006209349-fea2c | http://is6.auto.ru/all/images/12/54/60x45/1254733a.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 135 000 |  2008  |  100 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Балашов | 04.01.15
1006208425-6f79 | http://is8.auto.ru/all/images/d6/54/60x45/d654cb8c.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 130 000 |  2006  |  128 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Починки | 04.01.15
1006208031-76e5 | http://is2.auto.ru/all/images/4a/b1/60x45/4ab173a7.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 135 000 |  2006  |  120 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 04.01.15
1003210402-0abe | http://is17.auto.ru/all/images/d9/b4/60x45/d9b405d3.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 180 000 |  2005  |  85 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Курск | 04.01.15
1003898242-f3966 | http://is4.auto.ru/all/images/7e/3f/60x45/7e3f77ef.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 100 000 |  2004  |  190 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Конаково | 04.01.15
1006207679-79b8c | http://is13.auto.ru/all/images/80/2e/60x45/802efd7f.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 140 000 |  2008  |  45 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 04.01.15
1006207421-a445 | http://is2.auto.ru/all/images/85/21/60x45/8521778b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 185 000 |  2011  |  78 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Саранск | 04.01.15
1006207411-a14f | http://is7.auto.ru/all/images/62/c4/60x45/62c4f384.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FFFFFF | 300 000 |  2004  |  160 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Кочубеевское | 04.01.15
1006206619-de7f8a | http://is14.auto.ru/all/images/26/8a/60x45/268a682f.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 130 000 |  2006  |  102 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Коломна | 04.01.15
1006205027-266dd | http://is12.auto.ru/all/images/3b/4e/60x45/3b4ebc96.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 230 000 |  2012  |  70 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Вязьма | 04.01.15
1006203697-8d23a | http://is18.auto.ru/all/images/da/a9/60x45/daa9cd06.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 165 000 |  2009  |  90 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Ульяновск | 04.01.15
1006163089-38448 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 152 000 |  2007  |  110 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Саратов | 04.01.15
1005864483-69ed63 | http://is18.auto.ru/all/images/99/cc/60x45/99ccec79.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 285 000 |  2013  |  35 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Воронеж | 03.01.15
1006159533-0600 | http://is9.auto.ru/all/images/45/b6/60x45/45b616b0.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 195 000 |  2011  |  63 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Новоалтайск | 03.01.15
1005862851-afce | http://is17.auto.ru/all/images/bd/4f/60x45/bd4fbe24.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 200 000 |  2012  |  39 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Ступино | 03.01.15
1006162245-bb95 | http://is7.auto.ru/all/images/17/0a/60x45/170a45e2.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #CACECB | 205 000 |  2012  |  60 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Кострома | 03.01.15
41114462-93ff | http://is10.auto.ru/all/images/5f/d4/60x45/5fd44792.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CC0033 | 215 000 |  2011  |  80 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Орел | 03.01.15
1005711733-03c38 | http://is17.auto.ru/all/images/59/b5/60x45/59b5269b.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #FFFFFF | 230 000 |  2012  |  29 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Мурманск | 03.01.15
1006026753-0e1f6e | http://is3.auto.ru/all/images/e2/ad/60x45/e2ad17f7.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #CACECB | 230 000 |  2012  |  60 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Сочи | 03.01.15
1006161663-093e1e | http://is9.auto.ru/all/images/e4/ae/60x45/e4aedbb8.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 255 000 |  2013  |  50 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Тверь | 03.01.15
1006157111-48e90 | http://is4.auto.ru/all/images/f9/85/60x45/f985abb2.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0000FF | 117 000 |  2005  |  148 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Калач | 03.01.15
1006155009-5ef99 | http://is8.auto.ru/all/images/0b/1a/60x45/0b1a1aef.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 120 000 |  2005  |  110 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Муром | 03.01.15
1006154781-a7720 | http://is2.auto.ru/all/images/3b/2a/60x45/3b2a0811.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #ffefd5 | 135 000 |  2006  |  61 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Ржев | 03.01.15
1006156615-04be02 | http://is2.auto.ru/all/images/2c/f6/60x45/2cf6d47e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 140 000 |  2008  |  65 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Нижний Ломов | 03.01.15
1006161925-6fe9e | http://is3.auto.ru/all/images/52/f2/60x45/52f20a0b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 150 000 |  2008  |  110 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Санкт-Петербург | 03.01.15
1006114513-923a | http://is9.auto.ru/all/images/5c/96/60x45/5c96e306.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 165 000 |  2005  |  73 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 03.01.15
1006159937-4ac805 | http://is13.auto.ru/all/images/f3/ef/60x45/f3ef4da2.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 170 000 |  2011  |  70 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Пермь | 03.01.15
49542216-0b8e8e | http://is14.auto.ru/all/images/01/f0/60x45/01f0c8a6.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #9c9999 | 175 000 |  2007  |  20 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Обнинск | 03.01.15
