1007301803-05e0 | http://is10.auto.ru/all/images/fb/c7/60x45/fbc79ab0.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FF0000 | 515 000 |  2010  |  67 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006513201-750062 | http://is15.auto.ru/all/images/13/06/60x45/130656f9.jpg |  Volkswagen Golf III1.4 MT (60 л.с.)  | #0000FF | 75 000 |  1992  |  282 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Пущино | 10.01.15
1006264953-6dad0 | http://is11.auto.ru/all/images/69/69/60x45/69698e37.jpg |  Volkswagen Golf IV1.6 MT (105 л.с.)  | #000000 | 260 000 |  2000  |  280 000 км  |  1.6 MT (105 л.с.)универсал, бензин, передний  | Орел | 10.01.15
33706578-97a3 | http://is11.auto.ru/all/images/d5/05/60x45/d5056115.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #000000 | 222 000 |  1998  |  116 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Воронеж | 10.01.15
1006512315-ebf1e | http://is5.auto.ru/all/images/b3/ca/60x45/b3ca009a.jpg |  Volkswagen Golf V1.4 MT (122 л.с.)  | #000000 | 450 000 |  2009  |  83 000 км  |  1.4 MT (122 л.с.)универсал, бензин, передний  | Рославль | 10.01.15
1006458937-0b025a | http://is18.auto.ru/all/images/6d/c1/60x45/6dc15283.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #0000FF | 1 050 000 |  2013  |  31 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Мичуринск | 10.01.15
1006259523-da9909 | http://is15.auto.ru/all/images/77/7e/60x45/777e8f71.jpg |  Volkswagen Golf III2.0 MT (115 л.с.)  | #34ba2b | 150 000 |  1992  |  327 000 км  |  2.0 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 10.01.15
1006511569-391c | http://is4.auto.ru/all/images/a2/95/60x45/a295c4ee.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #FF0000 | 125 000 |  1992  |  230 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Красное Село | 10.01.15
1006510347-c891f | http://is6.auto.ru/all/images/63/aa/60x45/63aa8f36.jpg |  Volkswagen Golf III1.6 MT (75 л.с.)  | #FFFFFF | 95 000 |  1993  |  14 856 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 10.01.15
1005631515-3058 | http://is5.auto.ru/all/images/4d/f3/60x45/4df39a83.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9c9999 | 530 000 |  2010  |  52 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 10.01.15
1005571557-cc642 | http://is2.auto.ru/all/images/e5/90/60x45/e59020a1.jpg |  Volkswagen Golf IV1.6 MT (105 л.с.)  | #CACECB | 185 000 |  1998  |  264 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Самара | 09.01.15
1005930585-ca42c | http://is13.auto.ru/all/images/a4/9e/60x45/a49e9e41.jpg |  Volkswagen Golf IV1.6 MT (105 л.с.)  | #FFFFFF | 280 000 |  2001  |  200 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Калуга | 09.01.15
1006470471-94819 | http://is15.auto.ru/all/images/fb/6b/60x45/fb6b1c77.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #FFFFFF | 590 000 |  2010  |  80 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Мурманск | 09.01.15
1006470361-3d4ec | http://is5.auto.ru/all/images/e3/67/60x45/e367fcb5.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #34ba2b | 260 000 |  1999  |  226 701 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Нальчик | 09.01.15
1006469083-60de | http://is3.auto.ru/all/images/47/5e/60x45/475e7979.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #CACECB | 220 000 |  2000  |  197 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 09.01.15
1005731493-c029d2 | http://is14.auto.ru/all/images/de/c7/60x45/dec781ce.jpg |  Volkswagen Golf IV1.8 MT (150 л.с.)  | #CACECB | 300 000 |  2001  |  129 500 км  |  1.8 MT (150 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 09.01.15
1006469057-55585 | http://is3.auto.ru/all/images/d1/4c/60x45/d14ccb25.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #CACECB | 250 000 |  1998  |  157 000 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Липецк | 09.01.15
49861438-a379 | http://is5.auto.ru/all/images/f1/0d/60x45/f10debd5.jpg |  Volkswagen Golf IV2.3 MT (150 л.с.)  | #0000FF | 209 999 |  1998  |  275 000 км  |  2.3 MT (150 л.с.)хэтчбек, бензин, передний  | Тамбов | 09.01.15
1006264993-91646 | http://is17.auto.ru/all/images/79/d0/60x45/79d0f955.jpg |  Volkswagen Golf II1.6 AT (70 л.с.)  | #9c9999 | 165 000 |  1991  |  250 000 км  |  1.6 AT (70 л.с.)хэтчбек, бензин, передний  | Симферополь | 09.01.15
1006467945-46862 | http://is6.auto.ru/all/images/fb/93/60x45/fb93bc41.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #FF0000 | 280 000 |  1999  |  180 000 км  |  1.4 MT (75 л.с.)универсал, бензин, передний  | Владимир | 09.01.15
1006466483-6b177c | http://is5.auto.ru/all/images/03/32/60x45/0332c8ec.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #ffefd5 | 60 000 |  1984  |  175 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Иваново | 09.01.15
1005921219-229f | http://is16.auto.ru/all/images/9e/2d/60x45/9e2d60b9.jpg |  Volkswagen Golf V1.4 MT (122 л.с.)  | #CACECB | 495 000 |  2008  |  135 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Батайск | 09.01.15
1006463847-c318e6 | http://is12.auto.ru/all/images/dd/98/60x45/dd9871ae.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #FFFFFF | 480 000 |  2008  |  105 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Архангельск | 09.01.15
1006463809-8e6a6 | http://is18.auto.ru/all/images/26/e8/60x45/26e88940.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #34ba2b | 180 000 |  1998  |  159 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 09.01.15
49918002-307ced | http://is17.auto.ru/all/images/9f/3a/60x45/9f3ad802.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #FFFFFF | 1 380 000 |  2014  |  100 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Курган | 09.01.15
1006463597-417013 | http://is6.auto.ru/all/images/d4/c8/60x45/d4c8db7f.jpg |  Volkswagen Golf V1.4 MT (80 л.с.)  | #000000 | 495 000 |  2006  |  117 700 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Чебоксары | 09.01.15
1006462721-c2c8 | http://is18.auto.ru/all/images/b5/74/60x45/b5746d16.jpg |  Volkswagen Golf VII1.6 MT (110 л.с.)  | #CACECB | 1 380 000 |  2014  |  1 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Смоленск | 09.01.15
1006462657-114b6 | http://is3.auto.ru/all/images/dd/0b/60x45/dd0b4603.jpg |  Volkswagen Golf II1.3 MT (55 л.с.) KAT  | #9c9999 | 60 000 |  1988  |  250 000 км  |  1.3 MT (55 л.с.) KATхэтчбек, бензин, передний  | Санкт-Петербург | 09.01.15
1006205545-95a93 | http://is11.auto.ru/all/images/08/d6/60x45/08d6172c.jpg |  Volkswagen Golf III1.4 MT (60 л.с.)  | #FF0000 | 90 000 |  1994  |  299 999 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Серпухов | 09.01.15
1005920783-5bec7 | http://is6.auto.ru/all/images/77/64/60x45/77641848.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #0000FF | 250 000 |  1999  |  375 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Серпухов | 09.01.15
1005647515-48ad | http://is12.auto.ru/all/images/89/c6/60x45/89c6434b.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #0000FF | 398 000 |  2008  |  64 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 09.01.15
1005806381-9d2e | http://is7.auto.ru/all/images/ac/ce/60x45/accea2da.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #34ba2b | 280 000 |  1998  |  278 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Москва | 09.01.15
1006420711-e3870 | http://is12.auto.ru/all/images/43/37/60x45/4337d5a1.jpg |  Volkswagen Golf III1.6 MT (75 л.с.)  | #FF0000 | 111 000 |  1993  |  170 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 09.01.15
1006420289-71b2b9 | http://is18.auto.ru/all/images/b2/07/60x45/b2078c67.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #34ba2b | 250 000 |  2001  |  20 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Бронницы | 09.01.15
1006419783-b96e29 | http://is2.auto.ru/all/images/3f/80/60x45/3f80c549.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #000000 | 1 125 000 |  2013  |  51 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Казань | 08.01.15
494784-f6f1d4 | http://is8.auto.ru/all/images/eb/49/60x45/eb493af1.jpg |  Volkswagen Golf IV1.9d AT (130 л.с.)  | #0000FF | 320 000 |  2004  |  267 000 км  |  1.9d AT (130 л.с.)универсал, дизель, передний  | Старый Оскол | 08.01.15
1006419453-eb77 | http://is6.auto.ru/all/images/21/83/60x45/2183ec02.jpg |  Volkswagen Golf II1.6d MT (54 л.с.)  | #FFCC00 | 80 000 |  1985  |  600 000 км  |  1.6d MT (54 л.с.)хэтчбек, дизель, передний  | Санкт-Петербург | 08.01.15
1006419433-68b30 | http://is9.auto.ru/all/images/f2/9b/60x45/f29bae0d.jpg |  Volkswagen Golf IV1.6 MT (105 л.с.)  | #9c9999 | 240 000 |  1998  |  175 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Тверь | 08.01.15
11227998-2aeba | http://is2.auto.ru/all/images/38/11/60x45/3811755e.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #CACECB | 250 000 |  2000  |  200 000 км  |  1.4 MT (75 л.с.)универсал, бензин, передний  | Смоленск | 08.01.15
1005916873-99a992 | http://is6.auto.ru/all/images/6d/17/60x45/6d17109e.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #CACECB | 870 000 |  2013  |  15 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 08.01.15
44818910-09a66 | http://is13.auto.ru/all/images/18/85/60x45/1885bc11.jpg |  Volkswagen Golf II1.8 MT (90 л.с.)  | #FF0000 | 60 000 |  1985  |  178 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Мценск | 08.01.15
1002486001-8090 | http://is16.auto.ru/all/images/ed/55/60x45/ed550c71.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #000000 | 390 000 |  2005  |  135 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Рыбинск | 08.01.15
1006267525-d5f534 | http://is4.auto.ru/all/images/2f/e9/60x45/2fe9dd53.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #9c9999 | 295 000 |  1999  |  186 000 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Москва | 08.01.15
1001842497-3af125 | http://is15.auto.ru/all/images/1e/65/60x45/1e651404.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #000000 | 650 000 |  2011  |  95 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 08.01.15
1006417511-5c48 | http://is14.auto.ru/all/images/4b/8d/60x45/4b8da9e9.jpg |  Volkswagen Golf IV1.9d MT (110 л.с.)  | #9c9999 | 365 000 |  2001  |  190 000 км  |  1.9d MT (110 л.с.)хэтчбек, дизель, передний  | Москва | 08.01.15
1002816515-7ffa45 | http://is6.auto.ru/all/images/92/a5/60x45/92a5338a.jpg |  Volkswagen Golf VII1.4 AT (140 л.с.)  | #FFFFFF | 950 000 |  2013  |  61 000 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 08.01.15
1006415861-7b3a | http://is3.auto.ru/all/images/a2/43/60x45/a243d2c0.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #9966CC | 180 000 |  1997  |  276 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Санкт-Петербург | 08.01.15
1006161999-3b51 | http://is16.auto.ru/all/images/04/e5/60x45/04e503c5.jpg |  Volkswagen Golf III1.8 MT (90 л.с.) 4WD  | #FFFFFF | 150 000 |  1993  |  250 000 км  |  1.8 MT (90 л.с.) 4WDхэтчбек, бензин, полный  | Краснознаменск | 08.01.15
1006316915-946d | http://is1.auto.ru/all/images/dc/64/60x45/dc641587.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #FFFFFF | 740 000 |  2011  |  62 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 08.01.15
1005867947-7ebdf | http://is2.auto.ru/all/images/76/0b/60x45/760bc27e.jpg |  Volkswagen Golf V1.9d AT (105 л.с.)  | #0000FF | 500 000 |  2008  |  140 000 км  |  1.9d AT (105 л.с.)хэтчбек, дизель, передний  | Санкт-Петербург | 08.01.15
1006412747-b1a8 | http://is2.auto.ru/all/images/2a/24/60x45/2a2477c6.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #FF0000 | 85 000 |  1987  |  11 111 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Егорьевск | 08.01.15
1006413967-725b84 | http://is3.auto.ru/all/images/62/57/60x45/6257a208.jpg |  Volkswagen Golf III1.6 MT (75 л.с.)  | #FF0000 | 120 000 |  1993  |  317 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Калуга | 08.01.15
1006412047-12e3 | http://is8.auto.ru/all/images/0c/c5/60x45/0cc5c73e.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #CACECB | 280 000 |  2003  |  143 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Иваново | 08.01.15
1006412441-7b9d | http://is14.auto.ru/all/images/21/0d/60x45/210db7cf.jpg |  Volkswagen Golf II1.3 MT (55 л.с.) KAT  | #0000FF | 50 000 |  1991  |  160 000 км  |  1.3 MT (55 л.с.) KATхэтчбек, бензин, передний  | Химки | 08.01.15
1006412099-a6466 | http://is18.auto.ru/all/images/23/3d/60x45/233d054e.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #0000FF | 215 000 |  1999  |  35 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Ярославль | 08.01.15
1006411121-013fc | http://is12.auto.ru/all/images/81/f4/60x45/81f47a10.jpg |  Volkswagen Golf IV1.6 MT (105 л.с.)  | #0000FF | 175 000 |  2001  |  176 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Ярцево | 08.01.15
1005809251-218f | http://is16.auto.ru/all/images/cf/8b/60x45/cf8bb58f.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #FFFFFF | 666 000 |  2010  |  74 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 08.01.15
1002112667-4052 | http://is7.auto.ru/all/images/b2/11/60x45/b211bc82.jpg |  Volkswagen Golf I1.6d MT (54 л.с.)  | #FFFFFF | 35 000 |  1983  |  200 000 км  |  1.6d MT (54 л.с.)хэтчбек, дизель, передний  | Гулькевичи | 08.01.15
1006216073-e7e6 | http://is17.auto.ru/all/images/bc/5c/60x45/bc5cdca5.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #CACECB | 600 000 |  2011  |  78 300 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Жуковский | 08.01.15
1005587449-637e78 | http://is18.auto.ru/all/images/68/86/60x45/688660a9.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #FFFFFF | 560 000 |  2009  |  89 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Ульяновск | 08.01.15
1006369311-894d | http://is11.auto.ru/all/images/bd/11/60x45/bd1187dd.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #0088ff | 500 000 |  2011  |  67 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 08.01.15
1003068262-85e9 | http://is17.auto.ru/all/images/1a/0d/60x45/1a0d987f.jpg |  Volkswagen Golf II1.6 MT (72 л.с.)  | #FF0000 | 100 000 |  1986  |  350 000 км  |  1.6 MT (72 л.с.)хэтчбек, бензин, передний  | Тверь | 08.01.15
1006369113-f0854 | http://is14.auto.ru/all/images/e5/4f/60x45/e54ff797.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #000000 | 275 000 |  1999  |  190 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Курск | 08.01.15
1006367707-dac0 | http://is3.auto.ru/all/images/e4/31/60x45/e4318c9a.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #FFFFFF | 680 000 |  2011  |  80 340 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 07.01.15
1006311693-b704 | http://is14.auto.ru/all/images/1c/a5/60x45/1ca5a099.jpg |  Volkswagen Golf VI1.6d MT (105 л.с.)  | #CACECB | 610 000 |  2010  |  95 000 км  |  1.6d MT (105 л.с.)универсал, дизель, передний  | Вязьма | 07.01.15
1006367701-b954 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf VI1.4 MT (80 л.с.)  | #000000 | 510 000 |  2010  |  75 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Ижевск | 07.01.15
1006367503-bf60e | http://is13.auto.ru/all/images/76/20/60x45/76202c70.jpg |  Volkswagen Golf III1.6 MT (101 л.с.)  | #9c9999 | 115 000 |  1997  |  40 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Дмитров | 07.01.15
1006366035-559e | http://is6.auto.ru/all/images/56/7b/60x45/567b7e3b.jpg |  Volkswagen Golf VII1.2 MT (105 л.с.)  | #9966CC | 930 000 |  2013  |  35 000 км  |  1.2 MT (105 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 07.01.15
1006365067-7cd7 | http://is6.auto.ru/all/images/56/be/60x45/56be3a32.jpg |  Volkswagen Golf II1.6 MT (72 л.с.)  | #0088ff | 135 000 |  1990  |  270 000 км  |  1.6 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 07.01.15
43602584-ef87 | http://is6.auto.ru/all/images/7d/3b/60x45/7d3b04d8.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #000000 | 260 000 |  2001  |  160 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Тверь | 07.01.15
1006363953-d086 | http://is14.auto.ru/all/images/3d/81/60x45/3d81fb8c.jpg |  Volkswagen Golf IV1.6 AT (102 л.с.)  | #FFCC00 | 310 000 |  2003  |  175 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Курск | 07.01.15
1006159435-d25962 | http://is6.auto.ru/all/images/e9/98/60x45/e998bc59.jpg |  Volkswagen Golf IV1.9d MT (90 л.с.)  | #CACECB | 245 000 |  2003  |  180 000 км  |  1.9d MT (90 л.с.)хэтчбек, дизель, передний  | Великие Луки | 07.01.15
1006363705-57335 | http://is14.auto.ru/all/images/df/92/60x45/df929271.jpg |  Volkswagen Golf III1.4 MT (60 л.с.)  | #0000FF | 70 000 |  1993  |  200 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Великий Новгород | 07.01.15
48555238-0c92 | http://is18.auto.ru/all/images/58/b9/60x45/58b996f8.jpg |  Volkswagen Golf VI1.4 MT (160 л.с.)  | #000000 | 610 000 |  2010  |  105 000 км  |  1.4 MT (160 л.с.)хэтчбек, бензин, передний  | Курск | 07.01.15
1003848004-3b9765 | http://is16.auto.ru/all/images/80/66/60x45/806651bd.jpg |  Volkswagen Golf II1.6 MT (72 л.с.)  | #9c9999 | 60 000 |  1986  |  380 000 км  |  1.6 MT (72 л.с.)хэтчбек, бензин, передний  | Иваново | 07.01.15
1004165531-5912ff | http://is18.auto.ru/all/images/38/df/60x45/38df1e2f.jpg |  Volkswagen Golf V1.4 MT (122 л.с.)  | #0000FF | 399 000 |  2008  |  127 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Тула | 07.01.15
1006360923-e40341 | http://is4.auto.ru/all/images/75/72/60x45/75725ac6.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #000000 | 250 000 |  2001  |  250 000 км  |  1.4 MT (75 л.с.)универсал, бензин, передний  | Вологда | 07.01.15
1006206051-61b47 | http://is14.auto.ru/all/images/15/42/60x45/1542c773.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #0000FF | 395 000 |  2006  |  96 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 07.01.15
1006359813-af19 | http://is15.auto.ru/all/images/f1/39/60x45/f13992d5.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #000000 | 310 000 |  2005  |  290 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Мамадыш | 07.01.15
1004895741-549c | http://is4.auto.ru/all/images/c7/a6/60x45/c7a6c54d.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #CACECB | 739 000 |  2012  |  78 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Белгород | 07.01.15
1006309743-1134 | http://is6.auto.ru/all/images/6d/cf/60x45/6dcf34d8.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #FF0000 | 80 000 |  1988  |  420 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Вязьма | 07.01.15
1006357259-ba82 | http://is6.auto.ru/all/images/0e/cc/60x45/0eccb557.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #0000FF | 75 000 |  1990  |  285 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Иваново | 07.01.15
1006319115-4fa8 | http://is18.auto.ru/all/images/9b/74/60x45/9b744710.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #0000FF | 250 000 |  2001  |  225 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 07.01.15
1003494024-83b684 | http://is8.auto.ru/all/images/fe/82/60x45/fe8231a0.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #000000 | 220 000 |  1998  |  310 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Ступино | 07.01.15
1006318453-3d1455 | http://is15.auto.ru/all/images/f2/90/60x45/f2901e94.jpg |  Volkswagen Golf II1.3 MT (58 л.с.)  | #34ba2b | 40 000 |  1984  |  300 000 км  |  1.3 MT (58 л.с.)хэтчбек, бензин, передний  | Смоленск | 07.01.15
1006318145-dc6204 | http://is2.auto.ru/all/images/59/0f/60x45/590fd1e5.jpg |  Volkswagen Golf IV1.8 MT (150 л.с.)  | #000000 | 350 000 |  1998  |  205 000 км  |  1.8 MT (150 л.с.)хэтчбек, бензин, передний  | Омск | 06.01.15
48546796-8106e | http://is3.auto.ru/all/images/08/6b/60x45/086b8bc9.jpg |  Volkswagen Golf VI1.4 MT (80 л.с.)  | #000000 | 550 000 |  2011  |  105 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Великий Новгород | 06.01.15
1004489483-8982bd | http://is8.auto.ru/all/images/9d/f9/60x45/9df9d62c.jpg |  Volkswagen Golf IV1.6 AT (102 л.с.)  | #CACECB | 275 000 |  2001  |  220 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Валуйки | 06.01.15
1005012203-604a | http://is14.auto.ru/all/images/b3/91/60x45/b3917465.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9c9999 | 647 000 |  2011  |  57 343 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 06.01.15
1006308235-731864 | http://is11.auto.ru/all/images/69/c1/60x45/69c19cea.jpg |  Volkswagen Golf III1.6 MT (75 л.с.)  | #0000FF | 110 000 |  1994  |  120 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Подольск | 06.01.15
44116840-9ca4 | http://is3.auto.ru/all/images/95/22/60x45/9522338c.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #CACECB | 700 000 |  2011  |  43 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 06.01.15
1005866017-3dbfd9 | http://is8.auto.ru/all/images/b1/99/60x45/b199785d.jpg |  Volkswagen Golf II1.3 MT (55 л.с.)  | #FFFFFF | 100 000 |  1985  |  191 000 км  |  1.3 MT (55 л.с.)хэтчбек, бензин, передний  | Пермь | 06.01.15
1006313743-8b057 | http://is7.auto.ru/all/images/00/f2/60x45/00f2bf9d.jpg |  Volkswagen Golf III1.8 MT (75 л.с.)  | #FF0000 | 135 000 |  1992  |  300 000 км  |  1.8 MT (75 л.с.)хэтчбек, бензин, передний  | Великие Луки | 06.01.15
43087322-dd63f | http://is3.auto.ru/all/images/c0/7d/60x45/c07d4e21.jpg |  Volkswagen Golf IV1.8 MT (150 л.с.)  | #0000FF | 450 000 |  1999  |  258 000 км  |  1.8 MT (150 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 06.01.15
1005579395-86dd02 | http://is8.auto.ru/all/images/e3/a1/60x45/e3a11e87.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #0000FF | 449 900 |  2006  |  80 167 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 06.01.15
1006313777-fd6d5 | http://is13.auto.ru/all/images/52/9d/60x45/529dcf72.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #000000 | 290 000 |  2003  |  255 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 06.01.15
47558902-4fd3 | http://is8.auto.ru/all/images/75/fb/60x45/75fbc3ec.jpg |  Volkswagen Golf III1.4 MT (60 л.с.)  | #0000FF | 170 000 |  1992  |  250 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Воронеж | 06.01.15
1006309097-98b747 | http://is4.auto.ru/all/images/5f/73/60x45/5f73e169.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #0000FF | 120 000 |  1995  |  200 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Одинцово | 06.01.15
1006159347-e119 | http://is14.auto.ru/all/images/1b/12/60x45/1b12af2e.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #FF0000 | 185 000 |  1997  |  197 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 06.01.15
