1006524537-9c39 | http://is5.auto.ru/all/images/0a/1d/60x45/0a1d0064.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 265 000 |  2006  |  47 382 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007083901-8b2086 | http://is4.auto.ru/all/images/d5/cc/60x45/d5cca25c.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 215 000 |  2004  |  99 782 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 20.01.15
1000568914-cb47f | http://is11.auto.ru/all/images/2b/fd/60x45/2bfdd87a.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #CACECB | 699 000 |  2014  |  10 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Ивантеевка | 20.01.15
1006929535-ca41 | http://is6.auto.ru/all/images/5a/0f/60x45/5a0fbc7f.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 245 000 |  2006  |  110 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 20.01.15
1006516057-bfef | http://is18.auto.ru/all/images/85/08/60x45/85080fbe.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #9c9999 | 155 000 |  1999  |  187 000 км  |  1.6 AT (99 л.с.)седан, бензин, передний  | Москва | 20.01.15
41467744-92ee | http://is15.auto.ru/all/images/5a/ba/60x45/5abac676.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #926547 | 415 000 |  2005  |  143 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 20.01.15
1005524245-6c59 | http://is6.auto.ru/all/images/25/2a/60x45/252a343f.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 600 000 |  2014  |  1 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Краснодар | 19.01.15
1007054205-0fe72 | http://is18.auto.ru/all/images/96/8d/60x45/968df064.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 235 000 |  2003  |  149 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Нижний Новгород | 19.01.15
1007053545-ad48c0 | http://is15.auto.ru/all/images/4c/84/60x45/4c84417e.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #ffefd5 | 249 999 |  2005  |  180 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Брянск | 19.01.15
1006921955-7d55f | http://is10.auto.ru/all/images/a4/2e/60x45/a42ee662.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 235 000 |  2001  |  267 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Зеленоград | 19.01.15
1005520793-0f5170 | http://is3.auto.ru/all/images/4c/58/60x45/4c5894bb.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 615 000 |  2014  |  2 300 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Белгород | 19.01.15
1007052351-0533 | http://is12.auto.ru/all/images/28/85/60x45/2885bdc5.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 260 000 |  2004  |  150 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Нижний Новгород | 19.01.15
47407562-c4acf | http://is9.auto.ru/all/images/9f/63/60x45/9f635848.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 250 000 |  2005  |  170 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Воскресенск | 19.01.15
1006068797-f6a518 | http://is3.auto.ru/all/images/f2/f8/60x45/f2f8df0b.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 245 000 |  2004  |  170 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Ярославль | 19.01.15
1006621197-57687 | http://is10.auto.ru/all/images/e8/f3/60x45/e8f3525a.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 230 000 |  2005  |  170 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Ростов-на-Дону | 19.01.15
1007050409-e983c | http://is9.auto.ru/all/images/6a/b6/60x45/6ab6508b.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 155 000 |  2005  |  170 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.01.15
1007049951-c6cc | http://is16.auto.ru/all/images/94/a8/60x45/94a84841.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #0000FF | 370 000 |  2006  |  150 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Белая Калитва | 19.01.15
1002493773-b288 | http://is17.auto.ru/all/images/e0/51/60x45/e051e02d.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #ffefd5 | 255 000 |  2005  |  151 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1006933749-2b94 | http://is3.auto.ru/all/images/5f/39/60x45/5f39db1a.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #0000FF | 625 000 |  2014  |  10 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Луховицы | 19.01.15
1006685859-caab02 | http://is2.auto.ru/all/images/7a/22/60x45/7a22fd09.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #0000FF | 110 000 |  1999  |  124 500 км  |  1.6 AT (99 л.с.)седан, бензин, передний  | Москва | 19.01.15
1002882441-17fdf | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 270 000 |  2005  |  175 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Рыльск | 19.01.15
1007048789-5a0e | http://is18.auto.ru/all/images/da/9a/60x45/da9a2f9f.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 619 000 |  2014  |  6 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 19.01.15
42804720-41cb0 | http://is5.auto.ru/all/images/c1/72/60x45/c17270a8.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 300 000 |  2005  |  151 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Липецк | 19.01.15
1007047259-f19e01 | http://is9.auto.ru/all/images/84/d9/60x45/84d912db.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 660 000 |  2014  |  12 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007047887-83360 | http://is16.auto.ru/all/images/e3/cb/60x45/e3cbf049.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #34ba2b | 135 000 |  1997  |  315 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Россошь | 19.01.15
1005105411-832d | http://is18.auto.ru/all/images/38/a0/60x45/38a05ac5.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 250 000 |  2004  |  100 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1001891395-cc12a | http://is11.auto.ru/all/images/52/3f/60x45/523ff448.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 250 000 |  2002  |  236 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Москва | 19.01.15
1006932551-80626 | http://is17.auto.ru/all/images/59/68/60x45/5968d387.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FFFFFF | 300 000 |  2004  |  120 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Белгород | 19.01.15
1007045349-23397 | http://is16.auto.ru/all/images/d5/f9/60x45/d5f9b595.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #0000FF | 132 000 |  1999  |  170 000 км  |  1.6 AT (99 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1006870089-244b0d | http://is9.auto.ru/all/images/42/1e/60x45/421e6939.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 235 000 |  2005  |  139 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1007043509-126ae | http://is12.auto.ru/all/images/ca/fc/60x45/cafc6d41.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 475 000 |  2014  |  1 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Ярославль | 19.01.15
1006992069-5fa5 | http://is8.auto.ru/all/images/14/53/60x45/14535590.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 260 000 |  2005  |  81 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1006468591-68b5 | http://is8.auto.ru/all/images/79/ae/60x45/79aed1f7.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 237 000 |  2005  |  125 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1006809367-6a4e7 | http://is17.auto.ru/all/images/13/21/60x45/13215e9f.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #ffefd5 | 300 000 |  2005  |  150 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007037957-ed4b | http://is3.auto.ru/all/images/18/db/60x45/18db1851.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #34ba2b | 230 000 |  2005  |  162 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Великие Луки | 19.01.15
1007037391-5d29 | http://is6.auto.ru/all/images/bc/07/60x45/bc079996.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 600 000 |  2013  |  1 800 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 19.01.15
1007033801-098c | http://is17.auto.ru/all/images/a9/e3/60x45/a9e3d078.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 360 000 |  2014  |  10 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Горячий Ключ | 19.01.15
1006993889-44132 | http://is17.auto.ru/all/images/58/d8/60x45/58d834ef.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #000000 | 250 000 |  2004  |  171 000 км  |  1.8 AT (116 л.с.)хэтчбек, бензин, передний  | Москва | 19.01.15
1007026025-7fa8 | http://is2.auto.ru/all/images/40/9e/60x45/409e53a9.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #000000 | 210 000 |  2002  |  140 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 19.01.15
1007024383-56be | http://is17.auto.ru/all/images/c7/86/60x45/c7868b7f.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 169 990 |  2006  |  159 800 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 19.01.15
1006995141-f3da1d | http://is2.auto.ru/all/images/ed/02/60x45/ed02f93a.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #CACECB | 520 000 |  2013  |  35 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Зеленоград | 19.01.15
1006994527-e9570 | http://is11.auto.ru/all/images/77/4c/60x45/774c0752.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 210 000 |  2001  |  275 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Москва | 19.01.15
1006991621-15ad9d | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 244 000 |  2004  |  211 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 18.01.15
1006993911-c6aa65 | http://is2.auto.ru/all/images/d0/20/60x45/d020b565.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #0088ff | 200 000 |  1998  |  195 000 км  |  1.4 MT (87 л.с.)седан, бензин, передний  | Орел | 18.01.15
1006993823-ab85 | http://is15.auto.ru/all/images/8d/70/60x45/8d700730.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #ffefd5 | 550 000 |  2014  |  25 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Смоленск | 18.01.15
1006993541-08f8 | http://is14.auto.ru/all/images/d0/5e/60x45/d05e5d34.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 255 000 |  2003  |  190 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Подольск | 18.01.15
1006993275-65b4e | http://is3.auto.ru/all/images/06/01/60x45/0601c483.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 300 000 |  2006  |  118 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006991487-2d0d | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 255 000 |  2005  |  105 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Псков | 18.01.15
1004294323-8578e8 | http://is15.auto.ru/all/images/73/e2/60x45/73e26433.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #000000 | 176 580 |  2000  |  152 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 18.01.15
1006988341-c0f4d7 | http://is11.auto.ru/all/images/b6/8e/60x45/b68eb541.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 258 000 |  2005  |  135 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Брянск | 18.01.15
1006987589-da2bf | http://is14.auto.ru/all/images/4b/e2/60x45/4be2b3f1.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 265 000 |  2005  |  88 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Курск | 18.01.15
1006986271-5143e | http://is14.auto.ru/all/images/3d/40/60x45/3d409687.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 250 000 |  2006  |  214 143 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006690179-053e | http://is3.auto.ru/all/images/6f/02/60x45/6f02dd59.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #34ba2b | 50 000 |  1998  |  178 527 км  |  1.4 MT (87 л.с.)седан, бензин, передний  | Жуковский | 18.01.15
1006984885-4e92cd | http://is9.auto.ru/all/images/d7/15/60x45/d7159b20.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #ffefd5 | 215 000 |  2005  |  97 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006691749-a503 | http://is11.auto.ru/all/images/df/69/60x45/df69b4ab.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 550 000 |  2014  |  500 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Иваново | 18.01.15
1006908641-8c36 | http://is13.auto.ru/all/images/7b/3e/60x45/7b3e1c48.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #0088ff | 145 000 |  1996  |  320 000 км  |  1.6 AT (99 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006982929-f90a | http://is12.auto.ru/all/images/87/33/60x45/873365f4.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #0088ff | 145 000 |  1996  |  320 000 км  |  1.6 AT (99 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1001727535-eca9ab | http://is18.auto.ru/all/images/ce/fe/60x45/cefe6d90.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 280 000 |  2005  |  90 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006312451-9ec63f | http://is4.auto.ru/all/images/f3/54/60x45/f354ceb4.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #FFFFFF | 160 000 |  1998  |  230 000 км  |  1.4 MT (87 л.с.)седан, бензин, передний  | Иваново | 18.01.15
1006979535-468a7c | http://is2.auto.ru/all/images/cb/42/60x45/cb420bbc.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #0000FF | 250 000 |  2004  |  184 456 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Новошахтинск | 18.01.15
1006977973-377af | http://is13.auto.ru/all/images/b9/e8/60x45/b9e8f1d1.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 285 000 |  2005  |  98 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Курск | 18.01.15
1006977215-638c | http://is11.auto.ru/all/images/34/fd/60x45/34fd5c54.jpg |  Nissan Almera II (N16)1.8 MT (114 л.с.)  | #CACECB | 200 000 |  2001  |  230 000 км  |  1.8 MT (114 л.с.)хэтчбек, бензин, передний  | Калуга | 18.01.15
1006977273-d9406 | http://is5.auto.ru/all/images/4a/f7/60x45/4af7069a.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 645 000 |  2014  |  1 900 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 18.01.15
1004615611-98ad | http://is11.auto.ru/all/images/f9/aa/60x45/f9aa0b38.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 235 000 |  2005  |  98 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006212283-407a | http://is6.auto.ru/all/images/4c/76/60x45/4c76e83a.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #0000FF | 570 000 |  2014  |  15 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Брянск | 18.01.15
1006614409-ef6f | http://is8.auto.ru/all/images/8a/d3/60x45/8ad3450a.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 260 000 |  2005  |  115 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006964657-57c00 | http://is12.auto.ru/all/images/83/25/60x45/8325f0d5.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 311 111 |  2006  |  47 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 18.01.15
1006471743-24689 | http://is9.auto.ru/all/images/ae/e5/60x45/aee5e8ab.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 230 000 |  2005  |  104 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 18.01.15
1006748843-e6bb | http://is13.auto.ru/all/images/87/27/60x45/87279345.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #34ba2b | 55 000 |  1997  |  250 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Муром | 18.01.15
1006936945-0b084 | http://is18.auto.ru/all/images/01/85/60x45/0185dba0.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #000000 | 155 000 |  1999  |  250 000 км  |  1.4 MT (87 л.с.)хэтчбек, бензин, передний  | Новозыбков | 18.01.15
1006936993-f80df | http://is5.auto.ru/all/images/45/4e/60x45/454e8f32.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #34ba2b | 260 000 |  2002  |  120 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Тверь | 17.01.15
1003845654-cc25b | http://is12.auto.ru/all/images/e3/0e/60x45/e30e0a1e.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #FF0000 | 100 000 |  1996  |  235 000 км  |  1.6 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
47628260-b283e | http://is9.auto.ru/all/images/d1/a0/60x45/d1a09389.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 270 000 |  2005  |  139 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Саранск | 17.01.15
1006929253-f1ec6 | http://is6.auto.ru/all/images/dc/e4/60x45/dce4659b.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #FF0000 | 125 000 |  2000  |  300 000 км  |  1.4 MT (87 л.с.)хэтчбек, бензин, передний  | Ногинск | 17.01.15
1006933955-2379e1 | http://is4.auto.ru/all/images/55/46/60x45/55466049.jpg |  Nissan Almera II (N16)1.8 MT (114 л.с.)  | #FF0000 | 260 000 |  2001  |  212 000 км  |  1.8 MT (114 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
47472176-bf18 | http://is14.auto.ru/all/images/90/81/60x45/908136d0.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 255 000 |  2005  |  115 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Ярославль | 17.01.15
1006928783-b0f8 | http://is5.auto.ru/all/images/ab/4e/60x45/ab4e0dca.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #FF0000 | 215 000 |  2004  |  150 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Кинешма | 17.01.15
1006470503-b6591 | http://is15.auto.ru/all/images/a1/29/60x45/a129db05.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #CACECB | 175 000 |  2001  |  172 500 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1006737839-5d6a8 | http://is12.auto.ru/all/images/6a/68/60x45/6a683605.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #0000FF | 225 000 |  2006  |  190 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Домодедово | 17.01.15
1006856809-4279 | http://is2.auto.ru/all/images/d3/50/60x45/d350562b.jpg |  Nissan Almera I (N15)1.4 MT (75 л.с.)  | #0000FF | 150 000 |  1999  |  202 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Владимир | 17.01.15
1006928147-32039 | http://is6.auto.ru/all/images/ef/a5/60x45/efa5425e.jpg |  Nissan Almera II (N16)1.5 MT (105 л.с.)  | #34ba2b | 135 000 |  2000  |  310 000 км  |  1.5 MT (105 л.с.)седан, бензин, передний  | Краснодар | 17.01.15
1006215417-f885f | http://is2.auto.ru/all/images/4d/7c/60x45/4d7c3e13.jpg |  Nissan Almera I (N15)1.6 AT (99 л.с.)  | #34ba2b | 162 934 |  1998  |  164 000 км  |  1.6 AT (99 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006927759-dc84e | /i/all7/img/no-photo-thumb.gif |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #CACECB | 180 000 |  1998  |  210 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Белореченск | 17.01.15
1006798175-4c7dc | http://is16.auto.ru/all/images/5d/4d/60x45/5d4d6bff.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 530 000 |  2013  |  15 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Екатеринбург | 17.01.15
48407958-69ba | http://is3.auto.ru/all/images/b2/7f/60x45/b27fe6eb.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 250 000 |  2006  |  190 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Воронеж | 17.01.15
1003706900-2302d1 | http://is11.auto.ru/all/images/48/62/60x45/4862bb6e.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 250 000 |  2000  |  200 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Белгород | 17.01.15
1006926089-893a8 | http://is6.auto.ru/all/images/fa/78/60x45/fa78c444.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 295 000 |  2003  |  140 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Саранск | 17.01.15
1006752345-de58a2 | http://is3.auto.ru/all/images/eb/1d/60x45/eb1d6ae5.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 305 000 |  2006  |  82 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Дмитров | 17.01.15
1006924739-8326c | http://is18.auto.ru/all/images/0c/cf/60x45/0ccf7d49.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #34ba2b | 260 000 |  2005  |  160 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Саранск | 17.01.15
1005517727-2eb29 | http://is6.auto.ru/all/images/21/8b/60x45/218b9259.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #ffefd5 | 240 000 |  2005  |  160 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Чехов | 17.01.15
46844156-d027 | http://is17.auto.ru/all/images/09/dd/60x45/09ddae99.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #CACECB | 170 000 |  2000  |  60 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006625803-1b74 | http://is15.auto.ru/all/images/a1/ca/60x45/a1ca045c.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 245 000 |  2006  |  190 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 17.01.15
1006902335-65148f | http://is11.auto.ru/all/images/27/2c/60x45/272c352a.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 675 000 |  2014  |  1 001 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006902153-ec296b | http://is16.auto.ru/all/images/a4/94/60x45/a494c55a.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #FFCC00 | 299 000 |  2003  |  155 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Белгород | 17.01.15
1006211001-b0c96 | http://is9.auto.ru/all/images/3d/ae/60x45/3dae0c68.jpg |  Nissan Almera II (N16)1.8 MT (114 л.с.)  | #CACECB | 170 000 |  2002  |  220 000 км  |  1.8 MT (114 л.с.)седан, бензин, передний  | Кимры | 16.01.15
1005577891-3b727b | http://is13.auto.ru/all/images/61/37/60x45/6137a59f.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #0000FF | 220 000 |  2004  |  140 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Владимир | 16.01.15
1006877641-ab657 | http://is6.auto.ru/all/images/dc/5d/60x45/dc5df492.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 305 000 |  2006  |  60 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Навашино | 16.01.15
1006877525-a62506 | http://is2.auto.ru/all/images/8b/09/60x45/8b099967.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 305 000 |  2006  |  60 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Муром | 16.01.15
1006877067-39ef | http://is13.auto.ru/all/images/1a/1d/60x45/1a1dd458.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 230 000 |  2005  |  152 256 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Вязьма | 16.01.15
1006876669-c7c2ac | http://is4.auto.ru/all/images/bd/b6/60x45/bdb6cf67.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #926547 | 610 000 |  2014  |  4 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 16.01.15
1004964945-09fada | http://is6.auto.ru/all/images/df/0d/60x45/df0d625e.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #CACECB | 300 000 |  2005  |  160 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 16.01.15
