1005759681-b680 | http://is12.auto.ru/all/images/14/5e/60x45/145e6411.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #FF0000 | 110 000 |  1985  |  125 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Новочеркасск | 22.01.15
1006930327-97457 | http://is14.auto.ru/all/images/19/9c/60x45/199c3ac5.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #0000FF | 550 000 |  2007  |  110 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006929575-df7e | http://is18.auto.ru/all/images/9f/d3/60x45/9fd36832.jpg |  Volkswagen Caddy III Рестайлинг1.2 MT (86 л.с.)  | #FFFFFF | 620 000 |  2012  |  60 000 км  |  1.2 MT (86 л.с.)компактвэн, бензин, передний  | Москва | 17.01.15
1005924163-8bf25 | http://is10.auto.ru/all/images/4a/59/60x45/4a59b8b3.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #000000 | 50 000 |  1989  |  150 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1006511863-204f | http://is7.auto.ru/all/images/ea/59/60x45/ea59c4a0.jpg |  Volkswagen Passat B31.6 MT (72 л.с.)  | #FF0000 | 90 000 |  1990  |  150 000 км  |  1.6 MT (72 л.с.)седан, бензин, передний  | Ярославль | 17.01.15
1006929965-f96302 | http://is14.auto.ru/all/images/95/58/60x45/9558dab3.jpg |  Volkswagen Passat CC I1.8 AT (152 л.с.)  | #FFFFFF | 1 070 000 |  2011  |  45 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006359857-c2b98c | http://is15.auto.ru/all/images/72/61/60x45/7261e0c7.jpg |  Volkswagen Passat B31.8 MT (90 л.с.)  | #000000 | 135 000 |  1989  |  219 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1004434971-fb28d | http://is17.auto.ru/all/images/89/64/60x45/896461a1.jpg |  Volkswagen Passat B5 Рестайлинг1.9d MT (101 л.с.)  | #FFFFFF | 325 000 |  2005  |  180 000 км  |  1.9d MT (101 л.с.)универсал, дизель, передний  | Москва | 17.01.15
1006929255-540044 | http://is9.auto.ru/all/images/81/c9/60x45/81c9e14e.jpg |  Volkswagen Tiguan I Рестайлинг1.4 AT (150 л.с.)  | #FFCC00 | 1 100 000 |  2012  |  9 000 км  |  1.4 AT (150 л.с.)внедорожник, бензин, передний  | Рязань | 17.01.15
1006863013-60ff2e | http://is5.auto.ru/all/images/ad/9e/60x45/ad9eb1fa.jpg |  Volkswagen Passat B32.0 MT (115 л.с.)  | #000000 | 129 000 |  1993  |  180 000 км  |  2.0 MT (115 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1006929843-a9875 | http://is18.auto.ru/all/images/2d/d5/60x45/2dd5fd14.jpg |  Volkswagen Bora2.0 AT (115 л.с.)  | #CACECB | 255 000 |  2001  |  193 000 км  |  2.0 AT (115 л.с.)седан, бензин, передний  | Краснодар | 17.01.15
1006929703-d31607 | http://is18.auto.ru/all/images/ae/d6/60x45/aed63e08.jpg |  Volkswagen Touareg I3.2 AT (220 л.с.) 4WD  | #000000 | 550 000 |  2004  |  150 000 км  |  3.2 AT (220 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 17.01.15
1006929801-1b812 | http://is7.auto.ru/all/images/89/92/60x45/899278df.jpg |  Volkswagen Bora1.6 MT (105 л.с.)  | #0000FF | 229 000 |  2000  |  117 726 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006310979-74a25 | http://is11.auto.ru/all/images/a7/f7/60x45/a7f74cde.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #926547 | 600 000 |  2007  |  157 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Обнинск | 17.01.15
1006614883-0fd8 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo IV Рестайлинг1.4 AT (80 л.с.)  | #FF0000 | 415 000 |  2008  |  37 500 км  |  1.4 AT (80 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 17.01.15
1006930517-a78abe | /i/all7/img/no-photo-thumb.gif |  Volkswagen Transporter T41.9d MT (68 л.с.)  | #FFFFFF | 310 000 |  1997  |  390 000 км  |  1.9d MT (68 л.с.)минивэн, дизель, передний  | Курск | 17.01.15
1006930473-2c7b7d | http://is17.auto.ru/all/images/b1/51/60x45/b151fe4a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 450 000 |  2011  |  85 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1005035063-f2c4 | http://is12.auto.ru/all/images/f5/db/60x45/f5dbd0e8.jpg |  Volkswagen Passat B62.0d AT (140 л.с.)  | #926547 | 650 000 |  2009  |  103 000 км  |  2.0d AT (140 л.с.)седан, дизель, передний  | Москва | 17.01.15
1005645707-796e | http://is7.auto.ru/all/images/45/3d/60x45/453db543.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (170 л.с.)  | #CACECB | 355 000 |  2003  |  213 000 км  |  1.8 AT (170 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006156345-e1a029 | http://is6.auto.ru/all/images/d2/22/60x45/d222783e.jpg |  Volkswagen Golf II1.8 MT (98 л.с.) 4WD  | #0088ff | 210 000 |  1989  |  276 000 км  |  1.8 MT (98 л.с.) 4WDхэтчбек, бензин, полный  | Москва | 17.01.15
1006929661-827c73 | http://is3.auto.ru/all/images/97/4a/60x45/974a995f.jpg |  Volkswagen Jetta VI1.6 MT (105 л.с.)  | #CACECB | 755 000 |  2013  |  11 200 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Тюмень | 17.01.15
1006930327-97457 | http://is14.auto.ru/all/images/19/9c/60x45/199c3ac5.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #0000FF | 550 000 |  2007  |  110 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006929575-df7e | http://is18.auto.ru/all/images/9f/d3/60x45/9fd36832.jpg |  Volkswagen Caddy III Рестайлинг1.2 MT (86 л.с.)  | #FFFFFF | 620 000 |  2012  |  60 000 км  |  1.2 MT (86 л.с.)компактвэн, бензин, передний  | Москва | 17.01.15
1005924163-8bf25 | http://is10.auto.ru/all/images/4a/59/60x45/4a59b8b3.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #000000 | 50 000 |  1989  |  150 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1006511863-204f | http://is7.auto.ru/all/images/ea/59/60x45/ea59c4a0.jpg |  Volkswagen Passat B31.6 MT (72 л.с.)  | #FF0000 | 90 000 |  1990  |  150 000 км  |  1.6 MT (72 л.с.)седан, бензин, передний  | Ярославль | 17.01.15
1006929965-f96302 | http://is14.auto.ru/all/images/95/58/60x45/9558dab3.jpg |  Volkswagen Passat CC I1.8 AT (152 л.с.)  | #FFFFFF | 1 070 000 |  2011  |  45 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006359857-c2b98c | http://is15.auto.ru/all/images/72/61/60x45/7261e0c7.jpg |  Volkswagen Passat B31.8 MT (90 л.с.)  | #000000 | 135 000 |  1989  |  219 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1004434971-fb28d | http://is17.auto.ru/all/images/89/64/60x45/896461a1.jpg |  Volkswagen Passat B5 Рестайлинг1.9d MT (101 л.с.)  | #FFFFFF | 325 000 |  2005  |  180 000 км  |  1.9d MT (101 л.с.)универсал, дизель, передний  | Москва | 17.01.15
1006929255-540044 | http://is9.auto.ru/all/images/81/c9/60x45/81c9e14e.jpg |  Volkswagen Tiguan I Рестайлинг1.4 AT (150 л.с.)  | #FFCC00 | 1 100 000 |  2012  |  9 000 км  |  1.4 AT (150 л.с.)внедорожник, бензин, передний  | Рязань | 17.01.15
1006863013-60ff2e | http://is5.auto.ru/all/images/ad/9e/60x45/ad9eb1fa.jpg |  Volkswagen Passat B32.0 MT (115 л.с.)  | #000000 | 129 000 |  1993  |  180 000 км  |  2.0 MT (115 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1006929843-a9875 | http://is18.auto.ru/all/images/2d/d5/60x45/2dd5fd14.jpg |  Volkswagen Bora2.0 AT (115 л.с.)  | #CACECB | 255 000 |  2001  |  193 000 км  |  2.0 AT (115 л.с.)седан, бензин, передний  | Краснодар | 17.01.15
1006929703-d31607 | http://is18.auto.ru/all/images/ae/d6/60x45/aed63e08.jpg |  Volkswagen Touareg I3.2 AT (220 л.с.) 4WD  | #000000 | 550 000 |  2004  |  150 000 км  |  3.2 AT (220 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 17.01.15
1006929801-1b812 | http://is7.auto.ru/all/images/89/92/60x45/899278df.jpg |  Volkswagen Bora1.6 MT (105 л.с.)  | #0000FF | 229 000 |  2000  |  117 726 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006310979-74a25 | http://is11.auto.ru/all/images/a7/f7/60x45/a7f74cde.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #926547 | 600 000 |  2007  |  157 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Обнинск | 17.01.15
1006614883-0fd8 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo IV Рестайлинг1.4 AT (80 л.с.)  | #FF0000 | 415 000 |  2008  |  37 500 км  |  1.4 AT (80 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 17.01.15
1006930517-a78abe | /i/all7/img/no-photo-thumb.gif |  Volkswagen Transporter T41.9d MT (68 л.с.)  | #FFFFFF | 310 000 |  1997  |  390 000 км  |  1.9d MT (68 л.с.)минивэн, дизель, передний  | Курск | 17.01.15
1006930473-2c7b7d | http://is17.auto.ru/all/images/b1/51/60x45/b151fe4a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 450 000 |  2011  |  85 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1005035063-f2c4 | http://is12.auto.ru/all/images/f5/db/60x45/f5dbd0e8.jpg |  Volkswagen Passat B62.0d AT (140 л.с.)  | #926547 | 650 000 |  2009  |  103 000 км  |  2.0d AT (140 л.с.)седан, дизель, передний  | Москва | 17.01.15
1005645707-796e | http://is7.auto.ru/all/images/45/3d/60x45/453db543.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (170 л.с.)  | #CACECB | 355 000 |  2003  |  213 000 км  |  1.8 AT (170 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006156345-e1a029 | http://is6.auto.ru/all/images/d2/22/60x45/d222783e.jpg |  Volkswagen Golf II1.8 MT (98 л.с.) 4WD  | #0088ff | 210 000 |  1989  |  276 000 км  |  1.8 MT (98 л.с.) 4WDхэтчбек, бензин, полный  | Москва | 17.01.15
1006929661-827c73 | http://is3.auto.ru/all/images/97/4a/60x45/974a995f.jpg |  Volkswagen Jetta VI1.6 MT (105 л.с.)  | #CACECB | 755 000 |  2013  |  11 200 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Тюмень | 17.01.15
1006930327-97457 | http://is14.auto.ru/all/images/19/9c/60x45/199c3ac5.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #0000FF | 550 000 |  2007  |  110 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006929575-df7e | http://is18.auto.ru/all/images/9f/d3/60x45/9fd36832.jpg |  Volkswagen Caddy III Рестайлинг1.2 MT (86 л.с.)  | #FFFFFF | 620 000 |  2012  |  60 000 км  |  1.2 MT (86 л.с.)компактвэн, бензин, передний  | Москва | 17.01.15
1005924163-8bf25 | http://is10.auto.ru/all/images/4a/59/60x45/4a59b8b3.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #000000 | 50 000 |  1989  |  150 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1006511863-204f | http://is7.auto.ru/all/images/ea/59/60x45/ea59c4a0.jpg |  Volkswagen Passat B31.6 MT (72 л.с.)  | #FF0000 | 90 000 |  1990  |  150 000 км  |  1.6 MT (72 л.с.)седан, бензин, передний  | Ярославль | 17.01.15
1006929965-f96302 | http://is14.auto.ru/all/images/95/58/60x45/9558dab3.jpg |  Volkswagen Passat CC I1.8 AT (152 л.с.)  | #FFFFFF | 1 070 000 |  2011  |  45 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006359857-c2b98c | http://is15.auto.ru/all/images/72/61/60x45/7261e0c7.jpg |  Volkswagen Passat B31.8 MT (90 л.с.)  | #000000 | 135 000 |  1989  |  219 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1004434971-fb28d | http://is17.auto.ru/all/images/89/64/60x45/896461a1.jpg |  Volkswagen Passat B5 Рестайлинг1.9d MT (101 л.с.)  | #FFFFFF | 325 000 |  2005  |  180 000 км  |  1.9d MT (101 л.с.)универсал, дизель, передний  | Москва | 17.01.15
1006929255-540044 | http://is9.auto.ru/all/images/81/c9/60x45/81c9e14e.jpg |  Volkswagen Tiguan I Рестайлинг1.4 AT (150 л.с.)  | #FFCC00 | 1 100 000 |  2012  |  9 000 км  |  1.4 AT (150 л.с.)внедорожник, бензин, передний  | Рязань | 17.01.15
1006863013-60ff2e | http://is5.auto.ru/all/images/ad/9e/60x45/ad9eb1fa.jpg |  Volkswagen Passat B32.0 MT (115 л.с.)  | #000000 | 129 000 |  1993  |  180 000 км  |  2.0 MT (115 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1006929843-a9875 | http://is18.auto.ru/all/images/2d/d5/60x45/2dd5fd14.jpg |  Volkswagen Bora2.0 AT (115 л.с.)  | #CACECB | 255 000 |  2001  |  193 000 км  |  2.0 AT (115 л.с.)седан, бензин, передний  | Краснодар | 17.01.15
1006929703-d31607 | http://is18.auto.ru/all/images/ae/d6/60x45/aed63e08.jpg |  Volkswagen Touareg I3.2 AT (220 л.с.) 4WD  | #000000 | 550 000 |  2004  |  150 000 км  |  3.2 AT (220 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 17.01.15
1006929801-1b812 | http://is7.auto.ru/all/images/89/92/60x45/899278df.jpg |  Volkswagen Bora1.6 MT (105 л.с.)  | #0000FF | 229 000 |  2000  |  117 726 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006310979-74a25 | http://is11.auto.ru/all/images/a7/f7/60x45/a7f74cde.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #926547 | 600 000 |  2007  |  157 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Обнинск | 17.01.15
1006614883-0fd8 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo IV Рестайлинг1.4 AT (80 л.с.)  | #FF0000 | 415 000 |  2008  |  37 500 км  |  1.4 AT (80 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 17.01.15
1006930517-a78abe | /i/all7/img/no-photo-thumb.gif |  Volkswagen Transporter T41.9d MT (68 л.с.)  | #FFFFFF | 310 000 |  1997  |  390 000 км  |  1.9d MT (68 л.с.)минивэн, дизель, передний  | Курск | 17.01.15
1006930473-2c7b7d | http://is17.auto.ru/all/images/b1/51/60x45/b151fe4a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 450 000 |  2011  |  85 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1005035063-f2c4 | http://is12.auto.ru/all/images/f5/db/60x45/f5dbd0e8.jpg |  Volkswagen Passat B62.0d AT (140 л.с.)  | #926547 | 650 000 |  2009  |  103 000 км  |  2.0d AT (140 л.с.)седан, дизель, передний  | Москва | 17.01.15
1005645707-796e | http://is7.auto.ru/all/images/45/3d/60x45/453db543.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (170 л.с.)  | #CACECB | 355 000 |  2003  |  213 000 км  |  1.8 AT (170 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006156345-e1a029 | http://is6.auto.ru/all/images/d2/22/60x45/d222783e.jpg |  Volkswagen Golf II1.8 MT (98 л.с.) 4WD  | #0088ff | 210 000 |  1989  |  276 000 км  |  1.8 MT (98 л.с.) 4WDхэтчбек, бензин, полный  | Москва | 17.01.15
1006929661-827c73 | http://is3.auto.ru/all/images/97/4a/60x45/974a995f.jpg |  Volkswagen Jetta VI1.6 MT (105 л.с.)  | #CACECB | 755 000 |  2013  |  11 200 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Тюмень | 17.01.15
1006930327-97457 | http://is14.auto.ru/all/images/19/9c/60x45/199c3ac5.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #0000FF | 550 000 |  2007  |  110 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006929575-df7e | http://is18.auto.ru/all/images/9f/d3/60x45/9fd36832.jpg |  Volkswagen Caddy III Рестайлинг1.2 MT (86 л.с.)  | #FFFFFF | 620 000 |  2012  |  60 000 км  |  1.2 MT (86 л.с.)компактвэн, бензин, передний  | Москва | 17.01.15
1005924163-8bf25 | http://is10.auto.ru/all/images/4a/59/60x45/4a59b8b3.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #000000 | 50 000 |  1989  |  150 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1006511863-204f | http://is7.auto.ru/all/images/ea/59/60x45/ea59c4a0.jpg |  Volkswagen Passat B31.6 MT (72 л.с.)  | #FF0000 | 90 000 |  1990  |  150 000 км  |  1.6 MT (72 л.с.)седан, бензин, передний  | Ярославль | 17.01.15
1006929965-f96302 | http://is14.auto.ru/all/images/95/58/60x45/9558dab3.jpg |  Volkswagen Passat CC I1.8 AT (152 л.с.)  | #FFFFFF | 1 070 000 |  2011  |  45 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006359857-c2b98c | http://is15.auto.ru/all/images/72/61/60x45/7261e0c7.jpg |  Volkswagen Passat B31.8 MT (90 л.с.)  | #000000 | 135 000 |  1989  |  219 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1004434971-fb28d | http://is17.auto.ru/all/images/89/64/60x45/896461a1.jpg |  Volkswagen Passat B5 Рестайлинг1.9d MT (101 л.с.)  | #FFFFFF | 325 000 |  2005  |  180 000 км  |  1.9d MT (101 л.с.)универсал, дизель, передний  | Москва | 17.01.15
1006929255-540044 | http://is9.auto.ru/all/images/81/c9/60x45/81c9e14e.jpg |  Volkswagen Tiguan I Рестайлинг1.4 AT (150 л.с.)  | #FFCC00 | 1 100 000 |  2012  |  9 000 км  |  1.4 AT (150 л.с.)внедорожник, бензин, передний  | Рязань | 17.01.15
1006863013-60ff2e | http://is5.auto.ru/all/images/ad/9e/60x45/ad9eb1fa.jpg |  Volkswagen Passat B32.0 MT (115 л.с.)  | #000000 | 129 000 |  1993  |  180 000 км  |  2.0 MT (115 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1006929843-a9875 | http://is18.auto.ru/all/images/2d/d5/60x45/2dd5fd14.jpg |  Volkswagen Bora2.0 AT (115 л.с.)  | #CACECB | 255 000 |  2001  |  193 000 км  |  2.0 AT (115 л.с.)седан, бензин, передний  | Краснодар | 17.01.15
1006929703-d31607 | http://is18.auto.ru/all/images/ae/d6/60x45/aed63e08.jpg |  Volkswagen Touareg I3.2 AT (220 л.с.) 4WD  | #000000 | 550 000 |  2004  |  150 000 км  |  3.2 AT (220 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 17.01.15
1006929801-1b812 | http://is7.auto.ru/all/images/89/92/60x45/899278df.jpg |  Volkswagen Bora1.6 MT (105 л.с.)  | #0000FF | 229 000 |  2000  |  117 726 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006310979-74a25 | http://is11.auto.ru/all/images/a7/f7/60x45/a7f74cde.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #926547 | 600 000 |  2007  |  157 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Обнинск | 17.01.15
1006614883-0fd8 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo IV Рестайлинг1.4 AT (80 л.с.)  | #FF0000 | 415 000 |  2008  |  37 500 км  |  1.4 AT (80 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 17.01.15
1006930517-a78abe | /i/all7/img/no-photo-thumb.gif |  Volkswagen Transporter T41.9d MT (68 л.с.)  | #FFFFFF | 310 000 |  1997  |  390 000 км  |  1.9d MT (68 л.с.)минивэн, дизель, передний  | Курск | 17.01.15
1006930473-2c7b7d | http://is17.auto.ru/all/images/b1/51/60x45/b151fe4a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 450 000 |  2011  |  85 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1005035063-f2c4 | http://is12.auto.ru/all/images/f5/db/60x45/f5dbd0e8.jpg |  Volkswagen Passat B62.0d AT (140 л.с.)  | #926547 | 650 000 |  2009  |  103 000 км  |  2.0d AT (140 л.с.)седан, дизель, передний  | Москва | 17.01.15
1005645707-796e | http://is7.auto.ru/all/images/45/3d/60x45/453db543.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (170 л.с.)  | #CACECB | 355 000 |  2003  |  213 000 км  |  1.8 AT (170 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006156345-e1a029 | http://is6.auto.ru/all/images/d2/22/60x45/d222783e.jpg |  Volkswagen Golf II1.8 MT (98 л.с.) 4WD  | #0088ff | 210 000 |  1989  |  276 000 км  |  1.8 MT (98 л.с.) 4WDхэтчбек, бензин, полный  | Москва | 17.01.15
1006929661-827c73 | http://is3.auto.ru/all/images/97/4a/60x45/974a995f.jpg |  Volkswagen Jetta VI1.6 MT (105 л.с.)  | #CACECB | 755 000 |  2013  |  11 200 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Тюмень | 17.01.15
1006930327-97457 | http://is14.auto.ru/all/images/19/9c/60x45/199c3ac5.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #0000FF | 550 000 |  2007  |  110 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006929575-df7e | http://is18.auto.ru/all/images/9f/d3/60x45/9fd36832.jpg |  Volkswagen Caddy III Рестайлинг1.2 MT (86 л.с.)  | #FFFFFF | 620 000 |  2012  |  60 000 км  |  1.2 MT (86 л.с.)компактвэн, бензин, передний  | Москва | 17.01.15
1005924163-8bf25 | http://is10.auto.ru/all/images/4a/59/60x45/4a59b8b3.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #000000 | 50 000 |  1989  |  150 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1006511863-204f | http://is7.auto.ru/all/images/ea/59/60x45/ea59c4a0.jpg |  Volkswagen Passat B31.6 MT (72 л.с.)  | #FF0000 | 90 000 |  1990  |  150 000 км  |  1.6 MT (72 л.с.)седан, бензин, передний  | Ярославль | 17.01.15
1006929965-f96302 | http://is14.auto.ru/all/images/95/58/60x45/9558dab3.jpg |  Volkswagen Passat CC I1.8 AT (152 л.с.)  | #FFFFFF | 1 070 000 |  2011  |  45 000 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 17.01.15
1006359857-c2b98c | http://is15.auto.ru/all/images/72/61/60x45/7261e0c7.jpg |  Volkswagen Passat B31.8 MT (90 л.с.)  | #000000 | 135 000 |  1989  |  219 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1004434971-fb28d | http://is17.auto.ru/all/images/89/64/60x45/896461a1.jpg |  Volkswagen Passat B5 Рестайлинг1.9d MT (101 л.с.)  | #FFFFFF | 325 000 |  2005  |  180 000 км  |  1.9d MT (101 л.с.)универсал, дизель, передний  | Москва | 17.01.15
1006929255-540044 | http://is9.auto.ru/all/images/81/c9/60x45/81c9e14e.jpg |  Volkswagen Tiguan I Рестайлинг1.4 AT (150 л.с.)  | #FFCC00 | 1 100 000 |  2012  |  9 000 км  |  1.4 AT (150 л.с.)внедорожник, бензин, передний  | Рязань | 17.01.15
1006863013-60ff2e | http://is5.auto.ru/all/images/ad/9e/60x45/ad9eb1fa.jpg |  Volkswagen Passat B32.0 MT (115 л.с.)  | #000000 | 129 000 |  1993  |  180 000 км  |  2.0 MT (115 л.с.)универсал, бензин, передний  | Москва | 17.01.15
1006929843-a9875 | http://is18.auto.ru/all/images/2d/d5/60x45/2dd5fd14.jpg |  Volkswagen Bora2.0 AT (115 л.с.)  | #CACECB | 255 000 |  2001  |  193 000 км  |  2.0 AT (115 л.с.)седан, бензин, передний  | Краснодар | 17.01.15
1006929703-d31607 | http://is18.auto.ru/all/images/ae/d6/60x45/aed63e08.jpg |  Volkswagen Touareg I3.2 AT (220 л.с.) 4WD  | #000000 | 550 000 |  2004  |  150 000 км  |  3.2 AT (220 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 17.01.15
1006929801-1b812 | http://is7.auto.ru/all/images/89/92/60x45/899278df.jpg |  Volkswagen Bora1.6 MT (105 л.с.)  | #0000FF | 229 000 |  2000  |  117 726 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1006310979-74a25 | http://is11.auto.ru/all/images/a7/f7/60x45/a7f74cde.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #926547 | 600 000 |  2007  |  157 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Обнинск | 17.01.15
1006614883-0fd8 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo IV Рестайлинг1.4 AT (80 л.с.)  | #FF0000 | 415 000 |  2008  |  37 500 км  |  1.4 AT (80 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 17.01.15
1006753113-b2c0c | http://is14.auto.ru/all/images/40/11/60x45/40119021.jpg |  Volkswagen Golf VI1.8 AT (160 л.с.)  | #FFFFFF | 615 000 |  2011  |  37 000 км  |  1.8 AT (160 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 17.01.15
1006930517-a78abe | /i/all7/img/no-photo-thumb.gif |  Volkswagen Transporter T41.9d MT (68 л.с.)  | #FFFFFF | 310 000 |  1997  |  390 000 км  |  1.9d MT (68 л.с.)минивэн, дизель, передний  | Курск | 17.01.15
1006930473-2c7b7d | http://is17.auto.ru/all/images/b1/51/60x45/b151fe4a.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 450 000 |  2011  |  85 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
1005035063-f2c4 | http://is12.auto.ru/all/images/f5/db/60x45/f5dbd0e8.jpg |  Volkswagen Passat B62.0d AT (140 л.с.)  | #926547 | 650 000 |  2009  |  103 000 км  |  2.0d AT (140 л.с.)седан, дизель, передний  | Москва | 17.01.15
1005645707-796e | http://is7.auto.ru/all/images/45/3d/60x45/453db543.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (170 л.с.)  | #CACECB | 355 000 |  2003  |  213 000 км  |  1.8 AT (170 л.с.)седан, бензин, передний  | Санкт-Петербург | 17.01.15
