1007233097-89f664 | http://is18.auto.ru/all/images/84/3c/60x45/843c2520.jpg |  ВАЗ Kalina II1.6 MT (98 л.с.)  | #9c9999 | 355 000 |  2014  |  6 385 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Пенза | 23.01.15
1006215537-c589 | http://is11.auto.ru/all/images/13/18/60x45/131806fe.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 210 000 |  2010  |  80 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Екатеринбург | 05.01.15
1006214939-c5d4f | http://is1.auto.ru/all/images/c5/ca/60x45/c5ca2df9.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 185 000 |  2005  |  33 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Воскресенск | 04.01.15
1006213899-26d8 | http://is2.auto.ru/all/images/de/d6/60x45/ded6712a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 150 000 |  2006  |  60 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Гусь-Хрустальный | 04.01.15
1003895890-200498 | http://is8.auto.ru/all/images/50/a7/60x45/50a798fd.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 205 000 |  2009  |  70 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Ефремов | 04.01.15
1006212495-1a7a | http://is17.auto.ru/all/images/9a/c8/60x45/9ac87def.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 180 000 |  2008  |  39 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Орел | 04.01.15
1006212771-8da374 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I Sport1.4 MT (89 л.с.)  | #ffefd5 | 260 000 |  2011  |  84 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Красноярск | 04.01.15
1006212625-520de | http://is7.auto.ru/all/images/14/be/60x45/14beab93.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 170 000 |  2008  |  120 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Севск | 04.01.15
1003696292-7698 | http://is8.auto.ru/all/images/e2/33/60x45/e233f997.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 225 854 |  2010  |  51 890 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 04.01.15
1004168581-a078 | http://is16.auto.ru/all/images/1f/d1/60x45/1fd134a9.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 187 000 |  2009  |  50 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Киров | 04.01.15
1004168999-e2e7c | http://is7.auto.ru/all/images/69/8f/60x45/698fbe05.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 187 000 |  2010  |  65 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Киров | 04.01.15
1006111447-bbdd | http://is10.auto.ru/all/images/7b/55/60x45/7b5535bf.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 150 000 |  2008  |  63 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Нижний Новгород | 04.01.15
1006158111-9a4b22 | http://is3.auto.ru/all/images/63/de/60x45/63de29f6.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 175 000 |  2008  |  48 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Чагода | 04.01.15
1006208465-5ed4 | http://is15.auto.ru/all/images/e8/6d/60x45/e86d72df.jpg |  ВАЗ Kalina I Sport1.6 MT (98 л.с.)  | #CACECB | 263 000 |  2011  |  90 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Курск | 04.01.15
1006208163-830c17 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 235 000 |  2012  |  47 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Казань | 04.01.15
1006207417-1f716 | http://is7.auto.ru/all/images/01/ba/60x45/01ba99af.jpg |  ВАЗ Kalina I1.6 MT (90 л.с.)  | #CACECB | 135 000 |  2007  |  150 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Домодедово | 04.01.15
1006205995-02fbce | http://is18.auto.ru/all/images/6d/d7/60x45/6dd749fc.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 180 000 |  2008  |  71 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Орел | 04.01.15
1005815519-c263 | http://is10.auto.ru/all/images/67/f8/60x45/67f8e263.jpg |  ВАЗ Kalina I Sport1.4 MT (89 л.с.)  | #000000 | 235 000 |  2011  |  80 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Белгород | 04.01.15
47612728-3c4d1e | http://is7.auto.ru/all/images/6c/0e/60x45/6c0e8143.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 210 000 |  2010  |  45 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Старый Оскол | 04.01.15
1006162301-0ef3a9 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 150 000 |  2006  |  60 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Гусь-Хрустальный | 03.01.15
1000294225-2d76 | http://is18.auto.ru/all/images/43/26/60x45/4326646b.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 210 000 |  2011  |  70 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Саранск | 03.01.15
1006155163-e7813 | http://is2.auto.ru/all/images/27/34/60x45/2734707a.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #FF0000 | 210 000 |  2010  |  65 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Муром | 03.01.15
1005635165-6f337 | http://is18.auto.ru/all/images/90/3d/60x45/903d84a4.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FF0000 | 225 000 |  2011  |  56 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Воронеж | 03.01.15
1004095985-8e445 | http://is9.auto.ru/all/images/85/0e/60x45/850e1d2c.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 265 000 |  2011  |  30 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Воронеж | 03.01.15
1004236313-809a | http://is14.auto.ru/all/images/71/d0/60x45/71d02db5.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #000000 | 280 000 |  2011  |  78 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Белгород | 03.01.15
1004017760-3a1e | http://is13.auto.ru/all/images/55/24/60x45/552417b9.jpg |  ВАЗ Kalina I Sport1.6 MT (98 л.с.)  | #FFFFFF | 290 000 |  2012  |  42 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 03.01.15
1006155803-678a3 | http://is6.auto.ru/all/images/66/d0/60x45/66d04202.jpg |  ВАЗ Kalina I Sport1.6 MT (98 л.с.)  | #000000 | 330 000 |  2012  |  31 700 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Курск | 03.01.15
1006161823-5d03 | http://is6.auto.ru/all/images/4e/df/60x45/4edfc518.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 217 000 |  2011  |  67 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Великий Новгород | 03.01.15
1006156771-1e04 | http://is6.auto.ru/all/images/d6/ac/60x45/d6acbf40.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 160 000 |  2006  |  175 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 03.01.15
1006157023-a57014 | http://is8.auto.ru/all/images/92/d9/60x45/92d953b7.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 175 000 |  2007  |  105 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Кирово-Чепецк | 03.01.15
1005922571-1601d | http://is8.auto.ru/all/images/ad/a8/60x45/ada8385e.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 190 000 |  2007  |  74 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Курск | 03.01.15
49992646-dad40 | http://is13.auto.ru/all/images/4b/be/60x45/4bbeb3aa.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #926547 | 195 000 |  2008  |  45 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 03.01.15
1006153517-1a84df | http://is5.auto.ru/all/images/13/49/60x45/1349a59e.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 165 000 |  2009  |  119 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Белгород | 03.01.15
1006159025-28c92 | http://is3.auto.ru/all/images/38/58/60x45/38589713.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 180 000 |  2008  |  59 999 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Пенза | 03.01.15
1006116323-357b | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 165 000 |  2006  |  105 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Воронеж | 03.01.15
1006114489-e73a11 | http://is14.auto.ru/all/images/d3/ae/60x45/d3ae4f8b.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 205 000 |  2009  |  86 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Дмитровск-Орловский | 02.01.15
1006113771-c487 | http://is2.auto.ru/all/images/47/57/60x45/4757be15.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 220 000 |  2011  |  55 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Видное | 02.01.15
1006113829-3c08 | http://is16.auto.ru/all/images/68/d2/60x45/68d2eae3.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 155 000 |  2006  |  230 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Апшеронск | 02.01.15
1006113399-cb06 | http://is11.auto.ru/all/images/2e/3a/60x45/2e3afd08.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 128 000 |  2007  |  113 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Вышний Волочек | 02.01.15
1006113361-fe77a1 | http://is11.auto.ru/all/images/43/50/60x45/4350faab.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #CACECB | 322 000 |  2012  |  25 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Чебоксары | 02.01.15
1006112409-634748 | http://is11.auto.ru/all/images/bf/0a/60x45/bf0a029a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 230 000 |  2011  |  50 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Нижний Новгород | 02.01.15
1004084968-ed1c25 | http://is13.auto.ru/all/images/20/72/60x45/20725479.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 149 999 |  2007  |  85 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Дзержинск | 02.01.15
1005567723-501817 | http://is13.auto.ru/all/images/7d/0e/60x45/7d0e6b52.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #000000 | 240 000 |  2008  |  39 500 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Москва | 02.01.15
1006071943-20547 | http://is12.auto.ru/all/images/02/c6/60x45/02c6c3d5.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #FF0000 | 260 000 |  2012  |  69 500 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 02.01.15
1005694449-4b127 | http://is9.auto.ru/all/images/5d/e0/60x45/5de0e485.jpg |  ВАЗ Kalina I Sport1.6 MT (98 л.с.)  | #FFFFFF | 200 000 |  2012  |  50 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Мичуринск | 02.01.15
1005865083-a598e | http://is4.auto.ru/all/images/00/78/60x45/0078b7c0.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 175 000 |  2008  |  70 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Тольятти | 01.01.15
1005922175-89316 | http://is10.auto.ru/all/images/72/a7/60x45/72a7fe1a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 170 000 |  2007  |  85 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Ярославль | 01.01.15
48400736-2d908c | http://is17.auto.ru/all/images/bd/3a/60x45/bd3a5de4.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 239 000 |  2012  |  80 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Бабаево | 01.01.15
1006068511-93e52 | http://is9.auto.ru/all/images/34/3e/60x45/343e2469.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 160 160 |  2007  |  107 107 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Железногорск | 01.01.15
16342794-f20cf2 | http://is8.auto.ru/all/images/50/46/60x45/504613a8.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 349 000 |  2012  |  15 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 01.01.15
1006062869-40f6f5 | http://is17.auto.ru/all/images/97/16/60x45/9716d2b2.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 185 000 |  2008  |  84 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Воронеж | 01.01.15
1003775238-0159b | http://is17.auto.ru/all/images/25/38/60x45/25388b28.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #FF0000 | 280 000 |  2013  |  25 000 км  |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Саранск | 31.12.14
1006025717-39786 | http://is15.auto.ru/all/images/5c/f8/60x45/5cf8adc8.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #FFFFFF | 185 000 |  2011  |  77 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Скопин | 31.12.14
48677776-393d3e | http://is15.auto.ru/all/images/4c/2d/60x45/4c2dfc8f.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FF0000 | 255 000 |  2009  |  28 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Москва | 31.12.14
41378612-fe67a9 | http://is5.auto.ru/all/images/cd/c7/60x45/cdc7b39c.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 218 000 |  2012  |  66 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Шаховская | 31.12.14
1005694309-316af | http://is18.auto.ru/all/images/1c/83/60x45/1c838839.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9966CC | 155 000 |  2008  |  60 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Владимир | 31.12.14
1006020617-da80 | http://is12.auto.ru/all/images/dd/93/60x45/dd936909.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FFCC00 | 183 000 |  2007  |  93 000 км  |  1.4 MT (89 л.с.)седан, бензин, передний  | Каменка | 31.12.14
1005978683-0e481 | http://is4.auto.ru/all/images/cf/b3/60x45/cfb31041.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 235 000 |  2011  |  44 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 30.12.14
1005978623-dfeb | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #000000 | 390 000 |  2013  |  4 500 км  |  1.6 AT (98 л.с.)хэтчбек, бензин, передний  | Киров | 30.12.14
1005977745-cbc340 | http://is12.auto.ru/all/images/59/bc/60x45/59bceaa6.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 260 000 |  2012  |  70 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Березовский | 30.12.14
1005976919-c5c0c | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 210 000 |  2010  |  70 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Смоленск | 30.12.14
1003894182-df964 | http://is17.auto.ru/all/images/80/56/60x45/80563bca.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 245 000 |  2012  |  45 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Березники | 30.12.14
1005976265-ee00 | http://is14.auto.ru/all/images/80/18/60x45/8018f777.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 280 000 |  2012  |  29 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Орел | 30.12.14
1005325615-3bde1 | http://is2.auto.ru/all/images/cb/88/60x45/cb889806.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 225 000 |  2009  |  30 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 30.12.14
1005974743-2b8f9f | http://is11.auto.ru/all/images/f0/d8/60x45/f0d83991.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 235 000 |  2011  |  45 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 30.12.14
1005925203-5d11 | http://is17.auto.ru/all/images/c9/86/60x45/c986fbf3.jpg |  ВАЗ Kalina I1.4 AT (89 л.с.)  | #9c9999 | 210 000 |  2008  |  83 000 км  |  1.4 AT (89 л.с.)хэтчбек, бензин, передний  | Нововоронеж | 30.12.14
1005974733-20cc | http://is2.auto.ru/all/images/f7/f5/60x45/f7f5feda.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #34ba2b | 330 000 |  2011  |  61 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Пятигорск | 30.12.14
1005972617-d4af16 | http://is17.auto.ru/all/images/fc/94/60x45/fc947c6f.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 200 000 |  2010  |  102 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 30.12.14
1005972083-236c98 | http://is15.auto.ru/all/images/d5/bd/60x45/d5bdeba3.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 210 000 |  2011  |  65 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Ульяновск | 30.12.14
28583128-8946ac | http://is18.auto.ru/all/images/42/58/60x45/4258c348.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #9966CC | 290 000 |  2011  |  12 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Гаврилов-Ям | 29.12.14
1005922903-6a44 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 220 000 |  2010  |  80 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Ульяновск | 29.12.14
1005922021-ea7c | http://is17.auto.ru/all/images/ed/65/60x45/ed65a5a6.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 193 000 |  2010  |  68 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Тольятти | 29.12.14
1005919751-495e25 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #000000 | 200 000 |  2009  |  80 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Москва | 29.12.14
42190768-5062 | http://is13.auto.ru/all/images/90/dd/60x45/90dd49dc.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #9c9999 | 406 900 |  2014  | Новый |  1.6 MT (106 л.с.)универсал, бензин, передний  | Москва | 29.12.14
1001839957-35a3e | http://is2.auto.ru/all/images/5c/96/60x45/5c9672ce.jpg |  ВАЗ Kalina I Sport1.4 MT (89 л.с.)  | #CACECB | 193 000 |  2009  |  71 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 29.12.14
1005919177-e70d | http://is8.auto.ru/all/images/be/4e/60x45/be4e3ebf.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFFFFF | 229 000 |  2011  |  41 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Махачкала | 29.12.14
1005919197-6f99 | http://is3.auto.ru/all/images/e6/7f/60x45/e67f79d6.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 225 000 |  2012  |  69 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Псков | 29.12.14
43968956-364ad3 | http://is12.auto.ru/all/images/63/26/60x45/63264c81.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9966CC | 170 000 |  2007  |  74 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Муром | 29.12.14
1005914937-9a1ae | http://is17.auto.ru/all/images/96/8b/60x45/968bd083.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #9966CC | 225 000 |  2009  |  65 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Батайск | 29.12.14
1005914689-ef6234 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFCC00 | 215 000 |  2008  |  67 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Строитель | 29.12.14
1005912931-ea6ca | http://is2.auto.ru/all/images/d6/db/60x45/d6db6237.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 135 000 |  2007  |  82 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 29.12.14
1005911005-db0f | http://is9.auto.ru/all/images/1c/a2/60x45/1ca2186c.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 158 000 |  2007  |  51 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Арзамас | 29.12.14
1005910659-2a5f | http://is6.auto.ru/all/images/5c/b5/60x45/5cb5fe91.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 299 000 |  2013  |  27 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Обнинск | 29.12.14
1005633257-4940 | http://is18.auto.ru/all/images/95/69/60x45/956964a8.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 221 000 |  2011  |  24 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Рязань | 29.12.14
1005866923-a2bb | http://is2.auto.ru/all/images/21/a5/60x45/21a53dbe.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 185 000 |  2008  |  83 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Белгород | 28.12.14
1005866375-c304 | http://is10.auto.ru/all/images/7d/09/60x45/7d09ca60.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 240 000 |  2010  |  60 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Ессентуки | 28.12.14
1005865137-8a67 | http://is6.auto.ru/all/images/2e/f9/60x45/2ef9fd6b.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 140 000 |  2009  |  77 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Владимир | 28.12.14
1005861343-25bf | http://is14.auto.ru/all/images/0f/3d/60x45/0f3d3bb7.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 135 000 |  2007  |  95 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Муром | 28.12.14
48633252-6a1b76 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #926547 | 232 000 |  2012  |  22 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Чебоксары | 28.12.14
1005853851-7e21a9 | http://is1.auto.ru/all/images/a8/03/60x45/a8031849.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #000000 | 260 000 |  2010  |  80 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Буйнакск | 28.12.14
1005853707-d673bb | http://is13.auto.ru/all/images/55/ea/60x45/55ea4ba5.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFCC00 | 189 000 |  2011  |  15 100 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Уфа | 28.12.14
1005853703-ec38 | http://is15.auto.ru/all/images/e5/8a/60x45/e58ae051.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #34ba2b | 199 000 |  2011  |  76 000 км  |  1.4 MT (89 л.с.)седан, бензин, передний  | Дзержинск | 28.12.14
1005815691-6b769 | http://is8.auto.ru/all/images/7c/85/60x45/7c8598b3.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FF0000 | 230 000 |  2010  |  44 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Иваново | 27.12.14
1005814565-fa11 | http://is6.auto.ru/all/images/67/44/60x45/6744e4ec.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 160 000 |  2006  |  174 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Новочеркасск | 27.12.14
1005813089-a823ac | http://is11.auto.ru/all/images/fc/c2/60x45/fcc26b8c.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 230 000 |  2012  |  27 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 27.12.14
1004070068-f0a0 | http://is11.auto.ru/all/images/89/31/60x45/89319a4a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #926547 | 341 598 |  2013  |  16 394 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 27.12.14
1002223047-842d52 | http://is7.auto.ru/all/images/dc/e3/60x45/dce3e52c.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 235 000 |  2010  |  6 775 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Жуков | 27.12.14
41901572-c1b296 | http://is16.auto.ru/all/images/88/52/60x45/88528125.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 279 999 |  2010  |  27 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 27.12.14
48833378-e67c5 | http://is6.auto.ru/all/images/57/87/60x45/5787a469.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 200 000 |  2010  |  60 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Губкин | 27.12.14
1005642545-367711 | http://is8.auto.ru/all/images/f6/9b/60x45/f69b0d3f.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 235 000 |  2010  |  13 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Курск | 27.12.14
1005802857-946c69 | http://is6.auto.ru/all/images/58/5f/60x45/585f0d72.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #0000FF | 285 000 |  2011  |  56 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Калач-на-Дону | 27.12.14
