1007247967-f49f6 | http://is3.auto.ru/all/images/e4/61/60x45/e4614323.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 450 000 |  2014  |  15 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Балашиха | 22.01.15
1006208955-4427 | http://is17.auto.ru/all/images/56/3e/60x45/563e1fc4.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 195 000 |  2008  |  97 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Иваново | 04.01.15
1004016104-a313f4 | http://is18.auto.ru/all/images/b8/3e/60x45/b83e22ce.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 220 000 |  2008  |  100 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Старый Оскол | 04.01.15
1006206839-29a0f9 | http://is17.auto.ru/all/images/e4/76/60x45/e47634d5.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 195 000 |  2007  |  90 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 04.01.15
1003001148-9817 | http://is2.auto.ru/all/images/06/ef/60x45/06effa33.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 242 000 |  2011  |  50 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Калуга | 04.01.15
1006155747-a207 | http://is6.auto.ru/all/images/13/ea/60x45/13eac103.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 397 000 |  2013  |  25 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Киров | 04.01.15
1005866175-9799c | http://is7.auto.ru/all/images/60/7e/60x45/607e851f.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #CACECB | 355 000 |  2013  |  17 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Воронеж | 04.01.15
49597404-5de6d2 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 280 000 |  2012  |  50 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Иваново | 04.01.15
1004297419-550bfb | http://is9.auto.ru/all/images/36/40/60x45/3640577c.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 290 000 |  2010  |  35 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Шпаковское | 04.01.15
1006162463-f686 | http://is6.auto.ru/all/images/8c/a2/60x45/8ca21bdd.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 267 000 |  2010  |  85 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Белгород | 03.01.15
1006159137-ca637a | http://is16.auto.ru/all/images/d2/bd/60x45/d2bdb93a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 220 000 |  2010  |  70 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Ковров | 03.01.15
1006157193-3aa578 | http://is16.auto.ru/all/images/e5/01/60x45/e501f9e3.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 230 000 |  2010  |  80 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Ярославль | 03.01.15
1006161187-56cbe | http://is17.auto.ru/all/images/b3/29/60x45/b3298025.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 235 000 |  2010  |  60 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 03.01.15
1004835143-90e139 | http://is8.auto.ru/all/images/d5/a1/60x45/d5a14cb8.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 260 000 |  2011  |  93 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Смоленск | 03.01.15
1006157735-904d2f | http://is15.auto.ru/all/images/b2/66/60x45/b266e0fa.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 269 999 |  2011  |  54 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 03.01.15
48123580-a632d | http://is16.auto.ru/all/images/c5/82/60x45/c582d4d3.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 280 000 |  2010  |  65 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Орел | 03.01.15
1002932512-35a5dd | http://is14.auto.ru/all/images/6d/6f/60x45/6d6fca39.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 300 000 |  2012  |  60 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Тверь | 03.01.15
1006154265-1c7e | http://is9.auto.ru/all/images/63/7c/60x45/637c3421.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 300 000 |  2012  |  136 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Тула | 03.01.15
1006161457-87201 | http://is4.auto.ru/all/images/a3/63/60x45/a363100a.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #FFFFFF | 400 000 |  2013  |  27 000 км  |  1.6 MT (106 л.с.)седан, бензин, передний  | Москва | 03.01.15
1005106967-49d07 | http://is15.auto.ru/all/images/df/6d/60x45/df6d39db.jpg |  ВАЗ Priora I1.6 MT (87 л.с.)  | #CACECB | 265 000 |  2012  |  44 000 км  |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Великий Новгород | 03.01.15
1006160469-d65d | http://is3.auto.ru/all/images/0f/d5/60x45/0fd5fcd0.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 220 000 |  2009  |  80 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Навашино | 03.01.15
1006153883-bad0 | http://is14.auto.ru/all/images/2d/7c/60x45/2d7c2c73.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 225 000 |  2009  |  74 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Миллерово | 03.01.15
1006155539-d52f6 | http://is2.auto.ru/all/images/e1/3c/60x45/e13ce39b.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #FF0000 | 185 000 |  2008  |  75 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Пенза | 03.01.15
1006154385-8a7f6d | http://is18.auto.ru/all/images/cf/1c/60x45/cf1c6ee8.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 200 000 |  2008  |  99 200 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Липецк | 03.01.15
1006158751-a18ce4 | http://is17.auto.ru/all/images/f6/6d/60x45/f66d51df.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 215 000 |  2008  |  150 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Краснодар | 03.01.15
1006157443-e254 | http://is18.auto.ru/all/images/dc/c9/60x45/dcc91d1d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 230 000 |  2009  |  65 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Рязань | 03.01.15
1006156113-d967e | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #34ba2b | 310 000 |  2013  |  32 900 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Белгород | 03.01.15
1004489809-b20aaf | http://is14.auto.ru/all/images/a7/de/60x45/a7de5c45.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 190 000 |  2009  |  87 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Тамбов | 03.01.15
1006109161-faef | http://is18.auto.ru/all/images/02/3e/60x45/023e6b80.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 185 000 |  2007  |  150 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Саранск | 03.01.15
1005699959-0b2d9 | http://is1.auto.ru/all/images/77/20/60x45/7720bdc7.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 290 000 |  2010  |  35 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Ставрополь | 02.01.15
1006112561-b021 | http://is18.auto.ru/all/images/f7/f9/60x45/f7f99fc5.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 260 000 |  2010  |  64 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Кинешма | 02.01.15
1006111621-5af4 | http://is17.auto.ru/all/images/7b/b1/60x45/7bb16816.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 240 000 |  2012  |  129 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 02.01.15
1006110497-6adb3 | http://is2.auto.ru/all/images/86/c4/60x45/86c4d5dc.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 240 000 |  2008  |  120 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Воронеж | 02.01.15
1006109187-ff04f1 | http://is8.auto.ru/all/images/79/09/60x45/79090605.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 252 000 |  2010  |  90 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Коломна | 02.01.15
48126594-f34494 | http://is7.auto.ru/all/images/1b/b7/60x45/1bb704b6.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 220 000 |  2008  |  50 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Кадый | 02.01.15
1006109033-fb215 | http://is7.auto.ru/all/images/7a/b7/60x45/7ab7da0e.jpg |  ВАЗ Priora I1.6 MT (87 л.с.)  | #000000 | 340 000 |  2012  |  53 000 км  |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Керчь | 02.01.15
1005649135-821a9 | http://is13.auto.ru/all/images/4a/b0/60x45/4ab072eb.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 240 000 |  2010  |  120 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Мытищи | 02.01.15
1006108481-0c6ce | http://is16.auto.ru/all/images/6c/fa/60x45/6cfa606e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 200 000 |  2008  |  95 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Торжок | 02.01.15
1006108189-03f1 | http://is11.auto.ru/all/images/f0/32/60x45/f032fe50.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 180 000 |  2008  |  136 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 02.01.15
3891967-8336 | http://is3.auto.ru/all/images/6a/ea/60x45/6aea1e30.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CC0033 | 207 000 |  2008  |  89 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Ростов-на-Дону | 02.01.15
1005867997-1845fd | http://is18.auto.ru/all/images/ca/79/60x45/ca790f38.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 335 000 |  2012  |  48 500 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Дивногорск | 02.01.15
1006068907-fea551 | http://is16.auto.ru/all/images/14/6d/60x45/146d8860.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #FFFFFF | 430 000 |  2014  |  12 000 км  |  1.6 MT (106 л.с.)седан, бензин, передний  | Владикавказ | 01.01.15
1006068685-66d4 | http://is13.auto.ru/all/images/1f/b5/60x45/1fb5f7e9.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 230 000 |  2012  |  29 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 01.01.15
1006067427-5e80 | http://is14.auto.ru/all/images/7c/4c/60x45/7c4ce28e.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #FFFFFF | 250 000 |  2011  |  125 015 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Чебоксары | 01.01.15
1006066967-6a1c1 | http://is16.auto.ru/all/images/b5/8e/60x45/b58e58a7.jpg |  ВАЗ Priora I1.6 MT (87 л.с.)  | #000000 | 260 000 |  2011  |  50 000 км  |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Воскресенск | 01.01.15
1003005438-5c2a | http://is13.auto.ru/all/images/0f/c0/60x45/0fc00bba.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 280 000 |  2010  |  100 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Калуга | 01.01.15
49602298-71c55b | http://is6.auto.ru/all/images/3d/02/60x45/3d0269f6.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 265 000 |  2011  |  63 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Брянск | 01.01.15
1006025247-0f6f | http://is8.auto.ru/all/images/14/3d/60x45/143dff0e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 290 000 |  2012  |  48 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Шахты | 31.12.14
1006020287-588b | http://is18.auto.ru/all/images/f1/97/60x45/f19790fa.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 320 000 |  2012  |  44 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Сургут | 31.12.14
1002226263-081a | http://is18.auto.ru/all/images/14/9a/60x45/149a65eb.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 250 000 |  2010  |  54 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Белгород | 30.12.14
1005980247-65a4 | http://is3.auto.ru/all/images/73/55/60x45/735535d7.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #000000 | 250 000 |  2008  |  90 500 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Лиски | 30.12.14
1005980141-40a83e | http://is2.auto.ru/all/images/8d/e9/60x45/8de985b8.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 215 000 |  2009  |  170 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Чебоксары | 30.12.14
1005979815-a434 | http://is4.auto.ru/all/images/2c/ec/60x45/2cec74dd.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 240 000 |  2010  |  59 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Муром | 30.12.14
1005977031-07b6 | http://is16.auto.ru/all/images/fe/24/60x45/fe2456b4.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 230 000 |  2010  |  74 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Шадринск | 30.12.14
1005972243-9d0f5c | http://is7.auto.ru/all/images/fe/01/60x45/fe01eb94.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 190 000 |  2007  |  120 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Орел | 30.12.14
1005924323-b4c0c | http://is8.auto.ru/all/images/59/47/60x45/5947b934.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 280 000 |  2010  |  58 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Муром | 30.12.14
48557328-a8a8e | http://is5.auto.ru/all/images/f9/20/60x45/f9204aa8.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 350 000 |  2010  |  49 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Владимир | 30.12.14
1005968637-2296ba | http://is17.auto.ru/all/images/9e/8c/60x45/9e8cefbe.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 210 000 |  2008  |  110 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Смоленск | 30.12.14
48413568-805155 | http://is15.auto.ru/all/images/58/db/60x45/58dbdc84.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 270 000 |  2010  |  105 300 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Ставрополь | 30.12.14
1005925527-56e5 | http://is6.auto.ru/all/images/7e/f8/60x45/7ef89932.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 250 000 |  2011  |  82 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 30.12.14
1005923121-3a986b | http://is9.auto.ru/all/images/b3/e6/60x45/b3e67497.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #FFFFFF | 550 000 |  2014  |  10 000 км  |  1.6 MT (106 л.с.)седан, бензин, передний  | Бронницы | 29.12.14
1005923551-8839 | http://is3.auto.ru/all/images/52/7f/60x45/527f7c03.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 250 000 |  2010  |  95 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Калач | 29.12.14
1005923493-02adf9 | http://is2.auto.ru/all/images/28/b6/60x45/28b65210.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 250 000 |  2009  |  120 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 29.12.14
1005923351-dbb5fc | http://is7.auto.ru/all/images/02/7c/60x45/027c0ecd.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 250 000 |  2009  |  120 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 29.12.14
1005923619-4c74 | http://is2.auto.ru/all/images/9d/2c/60x45/9d2ca3e6.jpg |  ВАЗ Priora I1.6 MT (87 л.с.)  | #9966CC | 325 000 |  2012  |  21 000 км  |  1.6 MT (87 л.с.)седан, бензин, передний  | Ярославль | 29.12.14
1005636857-ace2d | http://is15.auto.ru/all/images/7e/9c/60x45/7e9c42b6.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 270 000 |  2009  |  100 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Ростов-на-Дону | 29.12.14
1005922045-b73e | http://is5.auto.ru/all/images/46/1c/60x45/461c413a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 265 000 |  2011  |  72 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Новый Оскол | 29.12.14
1005920981-f7517 | http://is9.auto.ru/all/images/72/43/60x45/72433d69.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #000000 | 233 982 |  2009  |  65 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Сызрань | 29.12.14
1005648259-151f | http://is18.auto.ru/all/images/78/d3/60x45/78d3ef45.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #9c9999 | 450 000 |  2013  |  17 000 км  |  1.6 MT (106 л.с.)седан, бензин, передний  | Волгоград | 29.12.14
1005521877-a75f1 | http://is12.auto.ru/all/images/09/0e/60x45/090eec4d.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #000000 | 190 000 |  2010  |  125 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Истра | 29.12.14
1005917797-e62f | http://is2.auto.ru/all/images/f7/85/60x45/f7858d3c.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 335 000 |  2013  |  60 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Ставрополь | 29.12.14
50395396-618dd | http://is12.auto.ru/all/images/54/1f/60x45/541f3adf.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 200 000 |  2008  |  50 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Астрахань | 29.12.14
1005914313-25d6d1 | http://is2.auto.ru/all/images/34/01/60x45/3401472a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 240 000 |  2010  |  92 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 29.12.14
1005914219-093f | http://is8.auto.ru/all/images/d0/b6/60x45/d0b6ff0f.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #000000 | 230 000 |  2013  |  52 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Красноярск | 29.12.14
1004494199-66270 | http://is16.auto.ru/all/images/07/99/60x45/0799665d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 230 000 |  2009  |  79 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Воронеж | 29.12.14
1005870851-14381d | http://is16.auto.ru/all/images/20/5a/60x45/205a9a99.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 185 000 |  2008  |  94 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Россошь | 29.12.14
1005869015-19b6 | http://is16.auto.ru/all/images/43/c3/60x45/43c3b3a9.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #CACECB | 230 000 |  2009  |  137 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Новороссийск | 29.12.14
1005868455-8f4c43 | http://is13.auto.ru/all/images/90/f7/60x45/90f7396a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 248 000 |  2009  |  50 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Курск | 28.12.14
1005868077-48f5d5 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 360 000 |  2012  |  45 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Чебоксары | 28.12.14
1005761093-84dc4 | http://is6.auto.ru/all/images/1a/da/60x45/1adad820.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 420 000 |  2014  |  3 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 28.12.14
1005748367-6c8bd | http://is14.auto.ru/all/images/d8/f0/60x45/d8f05829.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #0000FF | 440 000 |  2013  |  27 000 км  |  1.6 MT (106 л.с.)седан, бензин, передний  | Ногинск | 28.12.14
1005866079-b205 | http://is4.auto.ru/all/images/ea/9f/60x45/ea9fef00.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 210 000 |  2008  |  99 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Новоаннинск | 28.12.14
1005865843-4c3c9 | http://is2.auto.ru/all/images/a3/e4/60x45/a3e45537.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 230 000 |  2010  |  70 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Кострома | 28.12.14
1005865179-cd0bbd | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 205 000 |  2008  |  97 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Брянск | 28.12.14
1005864727-b90a3 | http://is12.auto.ru/all/images/d4/e1/60x45/d4e15eb2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 190 000 |  2009  |  148 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Пенза | 28.12.14
1001616635-8f8d | http://is18.auto.ru/all/images/0c/19/60x45/0c191d2d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 239 000 |  2012  |  52 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Ростов | 28.12.14
1005863475-a08440 | http://is11.auto.ru/all/images/ee/5a/60x45/ee5a5c03.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 235 000 |  2011  |  51 600 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Валдай | 28.12.14
1005815733-dca8 | http://is15.auto.ru/all/images/cd/cd/60x45/cdcdc150.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 210 000 |  2009  |  98 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 28.12.14
1005863329-077b | http://is15.auto.ru/all/images/a3/8f/60x45/a38f9db7.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 165 000 |  2008  |  125 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Екатеринбург | 28.12.14
1005863121-a2f9 | http://is11.auto.ru/all/images/98/28/60x45/9828d723.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 225 000 |  2010  |  60 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Саранск | 28.12.14
1005862859-0268 | http://is16.auto.ru/all/images/c1/b1/60x45/c1b1cd7d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 350 000 |  2009  |  47 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 28.12.14
1005858593-6e700 | http://is4.auto.ru/all/images/16/d1/60x45/16d1e942.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 258 000 |  2011  |  52 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Щекино | 28.12.14
1005856945-885f79 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 215 000 |  2010  |  70 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Чебоксары | 28.12.14
1003623966-0ec4a | http://is2.auto.ru/all/images/68/43/60x45/684310a4.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 215 000 |  2008  |  90 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Калуга | 28.12.14
1005853857-d769dd | http://is15.auto.ru/all/images/2c/be/60x45/2cbe0fbc.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 240 000 |  2011  |  65 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Владимир | 28.12.14
1005650753-9437a2 | http://is1.auto.ru/all/images/2a/05/60x45/2a051d54.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (106 л.с.)  | #000000 | 430 000 |  2014  |  6 км  |  1.6 MT (106 л.с.)седан, бензин, передний  | Грозный | 28.12.14
1005816047-f13d9c | http://is12.auto.ru/all/images/01/36/60x45/0136df58.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 205 000 |  2008  |  90 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Старый Оскол | 27.12.14
50394788-a7fbe | http://is16.auto.ru/all/images/1b/c0/60x45/1bc035ad.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 279 000 |  2011  |  51 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Родники | 27.12.14
1005705827-77d72e | http://is6.auto.ru/all/images/82/3f/60x45/823f6aab.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 165 000 |  2009  |  127 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Теньгушево | 27.12.14
1005815339-514c0 | http://is15.auto.ru/all/images/c1/79/60x45/c179dc54.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 270 000 |  2009  |  70 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Курганинск | 27.12.14
1005812695-38ae | http://is12.auto.ru/all/images/fb/d5/60x45/fbd5e6e3.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 295 000 |  2012  |  20 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Истра | 27.12.14
