1007301269-1b76c | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 450 000 |  2011  |  69 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пушкино | 23.01.15
1006365511-2e7738 | http://is14.auto.ru/all/images/03/24/60x45/032441c4.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 385 000 |  2011  |  50 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Шуя | 13.01.15
1006163245-47b87 | http://is14.auto.ru/all/images/60/3f/60x45/603f18a3.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 450 000 |  2012  |  1 577 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Набережные Челны | 13.01.15
1006672025-829e13 | http://is5.auto.ru/all/images/de/93/60x45/de934139.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 630 000 |  2011  |  27 676 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 13.01.15
1006574923-b45b | http://is12.auto.ru/all/images/db/4b/60x45/db4b8a29.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 430 000 |  2010  |  80 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Соликамск | 13.01.15
1006068791-d81f | http://is3.auto.ru/all/images/77/44/60x45/77441005.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 600 000 |  2012  |  25 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 12.01.15
1006364053-10a6 | http://is17.auto.ru/all/images/ec/68/60x45/ec689c97.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 650 025 |  2012  |  26 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пермь | 12.01.15
1003841158-dd2d4b | http://is16.auto.ru/all/images/f3/c3/60x45/f3c3aebf.jpg |  Volkswagen Polo III Рестайлинг1.0 MT (50 л.с.)  | #CACECB | 170 000 |  2000  |  214 000 км  |  1.0 MT (50 л.с.)хэтчбек, бензин, передний  | Ярославль | 12.01.15
14687178-1ff4 | http://is7.auto.ru/all/images/f1/36/60x45/f1367ae8.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 560 000 |  2011  |  45 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Саранск | 12.01.15
1006627563-e409 | http://is11.auto.ru/all/images/85/7d/60x45/857de780.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FF0000 | 600 000 |  2013  |  13 800 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 12.01.15
1006626743-46b381 | http://is1.auto.ru/all/images/13/aa/60x45/13aadb18.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 410 000 |  2012  |  70 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Вышний Волочек | 12.01.15
1003908218-b9543 | http://is3.auto.ru/all/images/e8/9b/60x45/e89bb48d.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 480 000 |  2013  |  21 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Ярославль | 12.01.15
1006622553-da59a | http://is17.auto.ru/all/images/3c/83/60x45/3c8334b9.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 537 000 |  2012  |  44 120 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Челябинск | 12.01.15
43673588-a886fe | http://is18.auto.ru/all/images/9e/22/60x45/9e2200a8.jpg |  Volkswagen Polo II1.1 MT (50 л.с.)  | #34ba2b | 45 000 |  1982  |  324 000 км  |  1.1 MT (50 л.с.)хэтчбек, бензин, передний  | Москва | 12.01.15
1006159159-6a30 | http://is9.auto.ru/all/images/8d/72/60x45/8d727089.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 725 000 |  2013  |  22 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 12.01.15
1006620275-b38d2 | http://is3.auto.ru/all/images/d7/90/60x45/d7902b88.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #926547 | 395 000 |  2012  |  395 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Чебоксары | 12.01.15
1005921825-c406d | http://is6.auto.ru/all/images/e6/2a/60x45/e62af33c.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 650 000 |  2013  |  8 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 12.01.15
1005815359-867bb | http://is16.auto.ru/all/images/d0/9b/60x45/d09bc38e.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 455 000 |  2013  |  54 600 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 12.01.15
1006205645-5fc0ea | http://is5.auto.ru/all/images/fb/8a/60x45/fb8a3557.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 599 000 |  2013  |  25 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 12.01.15
1006205755-1cc24 | http://is4.auto.ru/all/images/c0/f8/60x45/c0f8ec75.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 440 000 |  2011  |  44 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 12.01.15
1006614945-9fcb1 | http://is10.auto.ru/all/images/44/3e/60x45/443ed02a.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 685 000 |  2014  |  10 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пятигорск | 12.01.15
1006469927-1333 | http://is12.auto.ru/all/images/b4/35/60x45/b435c6d7.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 580 000 |  2012  |  28 700 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 12.01.15
1006577205-9030a | http://is2.auto.ru/all/images/25/4a/60x45/254a8e02.jpg |  Volkswagen Polo V Cross1.4 AT (85 л.с.)  | #9c9999 | 1 013 700 |  2011  |  65 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 12.01.15
1006576293-56d8 | http://is2.auto.ru/all/images/94/80/60x45/9480d680.jpg |  Volkswagen Polo IV1.4 AT (75 л.с.)  | #FFFFFF | 270 000 |  2004  |  190 000 км  |  1.4 AT (75 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 11.01.15
1005814951-04b2f | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 500 000 |  2011  |  100 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Кострома | 11.01.15
1005576477-7d879 | http://is4.auto.ru/all/images/ad/67/60x45/ad673b06.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 550 000 |  2012  |  52 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Белгород | 11.01.15
1004432873-a4b7d | http://is9.auto.ru/all/images/74/08/60x45/7408bfe9.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #FF0000 | 310 000 |  2006  |  84 150 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Воронеж | 11.01.15
1005648943-cccc9 | http://is17.auto.ru/all/images/61/47/60x45/614778e0.jpg |  Volkswagen Polo V1.4 MT (85 л.с.)  | #CACECB | 410 000 |  2010  |  82 000 км  |  1.4 MT (85 л.с.)хэтчбек, бензин, передний  | Уфа | 11.01.15
1005711865-2002 | http://is4.auto.ru/all/images/bc/a1/60x45/bca1b0c8.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 599 000 |  2012  |  65 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 11.01.15
1006572663-f7d67 | http://is17.auto.ru/all/images/be/f8/60x45/bef82e2c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 460 000 |  2012  |  31 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Череповец | 11.01.15
1006568441-7658d | http://is17.auto.ru/all/images/e1/fc/60x45/e1fc7bb6.jpg |  Volkswagen Polo III Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 140 000 |  1999  |  230 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Смоленск | 11.01.15
1006568075-be41b5 | http://is13.auto.ru/all/images/dc/4e/60x45/dc4e75b9.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 634 000 |  2014  |  1 001 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Краснодар | 11.01.15
1005649141-92119 | http://is5.auto.ru/all/images/4f/36/60x45/4f36ed61.jpg |  Volkswagen Polo III1.4 MT (100 л.с.)  | #0000FF | 155 000 |  1998  |  155 000 км  |  1.4 MT (100 л.с.)хэтчбек, бензин, передний  | Москва | 11.01.15
49614302-d4687 | http://is6.auto.ru/all/images/6b/dc/60x45/6bdc3d29.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 480 000 |  2011  |  52 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Коломна | 11.01.15
1006026827-8f7f6 | http://is15.auto.ru/all/images/66/11/60x45/6611e676.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 545 000 |  2012  |  22 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 10.01.15
50395104-b6024b | http://is9.auto.ru/all/images/a2/f5/60x45/a2f5d9ec.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 630 000 |  2013  |  20 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Нововоронеж | 10.01.15
1006214139-d505 | http://is15.auto.ru/all/images/0d/7a/60x45/0d7a332b.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 540 000 |  2013  |  31 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Моздок | 10.01.15
1003548362-91d5 | http://is18.auto.ru/all/images/b0/47/60x45/b047053c.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #0000FF | 100 000 |  1998  |  310 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Кашира | 10.01.15
1006513235-51725f | http://is18.auto.ru/all/images/ba/7a/60x45/ba7a8d5e.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #ffefd5 | 410 000 |  2011  |  31 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 10.01.15
1003892876-53d8 | http://is3.auto.ru/all/images/7c/9b/60x45/7c9be085.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FF0000 | 500 000 |  2011  |  60 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Павловский Посад | 10.01.15
49923212-5fe1 | http://is17.auto.ru/all/images/e3/c4/60x45/e3c42382.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 650 000 |  2013  |  20 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 09.01.15
1006471065-c60c1 | http://is2.auto.ru/all/images/18/08/60x45/18088631.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #FF0000 | 89 000 |  1998  |  249 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 09.01.15
1006407231-5e26 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 800 000 |  2014  |  100 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 09.01.15
1006211989-4482 | http://is17.auto.ru/all/images/78/56/60x45/7856c9f0.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #FFFFFF | 145 000 |  1998  |  150 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Москва | 09.01.15
47691680-d44582 | http://is13.auto.ru/all/images/9b/49/60x45/9b490685.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #000000 | 469 000 |  2009  |  31 060 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 09.01.15
47405792-0557 | http://is15.auto.ru/all/images/bd/39/60x45/bd397b11.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #fde910 | 489 000 |  2009  |  82 145 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 09.01.15
1006467871-898317 | http://is11.auto.ru/all/images/07/7b/60x45/077bb329.jpg |  Volkswagen Polo IV Рестайлинг1.4 AT (80 л.с.)  | #fde910 | 500 000 |  2006  |  50 000 км  |  1.4 AT (80 л.с.)хэтчбек, бензин, передний  | Москва | 09.01.15
1006465625-6c69 | http://is15.auto.ru/all/images/94/46/60x45/9446c973.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 480 000 |  2013  |  37 525 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Киржач | 09.01.15
1006462221-e51ab | http://is4.auto.ru/all/images/b4/ff/60x45/b4ff3c2a.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 530 000 |  2012  |  56 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 09.01.15
1005579317-8e86e5 | http://is4.auto.ru/all/images/ef/f2/60x45/eff2a246.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 750 000 |  2012  |  19 435 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 09.01.15
1006461091-ad8b6 | http://is3.auto.ru/all/images/df/f7/60x45/dff7ad20.jpg |  Volkswagen Polo III Рестайлинг1.4 MT (60 л.с.)  | #34ba2b | 225 000 |  2000  |  104 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Ярцево | 09.01.15
1006459987-db66 | http://is15.auto.ru/all/images/fb/b1/60x45/fbb10bcc.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 650 000 |  2014  |  12 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Фурманов | 09.01.15
1006459737-8b8d | http://is17.auto.ru/all/images/5b/f4/60x45/5bf4aaff.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 350 000 |  2009  |  119 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Краснодар | 09.01.15
1006155259-737c09 | http://is10.auto.ru/all/images/25/0d/60x45/250d971c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 450 000 |  2012  |  91 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Ростов-на-Дону | 09.01.15
1004742193-d906 | http://is11.auto.ru/all/images/6c/ce/60x45/6ccee060.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 460 000 |  2011  |  108 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 09.01.15
1006458845-c09451 | http://is8.auto.ru/all/images/cf/d9/60x45/cfd99d19.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 598 000 |  2014  |  8 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Тула | 09.01.15
1005817545-9c65 | http://is16.auto.ru/all/images/33/d6/60x45/33d65dc7.jpg |  Volkswagen Polo III Рестайлинг1.4 MT (60 л.с.)  | #CACECB | 327 000 |  2000  |  120 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Чебоксары | 09.01.15
1006420179-3b25c8 | http://is15.auto.ru/all/images/4d/2d/60x45/4d2d391f.jpg |  Volkswagen Polo III Рестайлинг1.4 MT (60 л.с.)  | #CACECB | 327 000 |  2000  |  120 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Чебоксары | 09.01.15
1006419053-b7c1 | http://is5.auto.ru/all/images/d4/8b/60x45/d48b436c.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #0000FF | 100 000 |  1997  |  200 000 км  |  1.4 MT (60 л.с.)универсал, бензин, передний  | Чебоксары | 08.01.15
1004237883-7768f | http://is2.auto.ru/all/images/97/17/60x45/971785d0.jpg |  Volkswagen Polo V1.2 MT (70 л.с.)  | #FFFFFF | 600 000 |  2012  |  15 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Москва | 08.01.15
1006417351-d65574 | http://is10.auto.ru/all/images/cc/66/60x45/cc663450.jpg |  Volkswagen Polo IV1.4 MT (100 л.с.)  | #CACECB | 210 000 |  2002  |  119 000 км  |  1.4 MT (100 л.с.)хэтчбек, бензин, передний  | Москва | 08.01.15
1006416117-2285e | http://is2.auto.ru/all/images/9e/b5/60x45/9eb52579.jpg |  Volkswagen Polo IV1.2 MT (54 л.с.)  | #000000 | 200 000 |  2001  |  120 000 км  |  1.2 MT (54 л.с.)хэтчбек, бензин, передний  | Нефтекамск | 08.01.15
49474546-7a934f | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V Cross1.4 AT (85 л.с.)  | #FF9966 | 570 000 |  2012  |  35 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 08.01.15
1006412141-c5a70 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 600 000 |  2013  |  25 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Курск | 08.01.15
1006411035-6622d | http://is8.auto.ru/all/images/59/c4/60x45/59c46768.jpg |  Volkswagen Polo V1.2 MT (70 л.с.)  | #FFFFFF | 435 000 |  2010  |  20 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Самара | 08.01.15
1006258833-13c7 | http://is1.auto.ru/all/images/72/f0/60x45/72f0eb0c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 699 000 |  2014  |  14 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 08.01.15
1002035583-389c8f | http://is6.auto.ru/all/images/68/d4/60x45/68d4b34a.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #FF0000 | 160 000 |  1998  |  132 000 км  |  1.4 MT (60 л.с.)универсал, бензин, передний  | Щелково | 08.01.15
1004905631-aeca | http://is9.auto.ru/all/images/86/76/60x45/8676fbce.jpg |  Volkswagen Polo IV Рестайлинг1.2 MT (70 л.с.)  | #FF0000 | 218 000 |  2006  |  148 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Калуга | 08.01.15
1006369127-6744e | http://is13.auto.ru/all/images/31/19/60x45/31198540.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 778 260 |  2013  |  17 588 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Астрахань | 08.01.15
1006368879-053d | http://is17.auto.ru/all/images/e6/6e/60x45/e66ea28e.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #34ba2b | 110 000 |  1998  |  230 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Рыбинск | 07.01.15
1006368247-2436e5 | http://is15.auto.ru/all/images/e1/08/60x45/e10812be.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFCC00 | 520 000 |  2011  |  29 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 07.01.15
1006367271-cced92 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 500 000 |  2012  |  15 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 07.01.15
1006310701-061b | http://is5.auto.ru/all/images/39/86/60x45/398620c1.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 665 000 |  2012  |  61 219 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 07.01.15
1006205859-47202 | http://is2.auto.ru/all/images/c5/3d/60x45/c53d9534.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 335 000 |  2008  |  111 149 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 07.01.15
1006362875-4d9f | http://is8.auto.ru/all/images/cc/bb/60x45/ccbb317f.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #000000 | 579 900 |  2011  |  65 094 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 07.01.15
1006361299-3d0647 | http://is18.auto.ru/all/images/12/cb/60x45/12cb4f83.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 490 000 |  2011  |  42 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 07.01.15
1006365423-2055b | http://is18.auto.ru/all/images/18/a1/60x45/18a1f8c7.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 510 000 |  2011  |  42 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Тольятти | 07.01.15
1006364151-1e715 | http://is15.auto.ru/all/images/e6/cd/60x45/e6cd1465.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 480 000 |  2011  |  90 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Курск | 07.01.15
1006364079-dee3 | http://is14.auto.ru/all/images/b1/aa/60x45/b1aaf99b.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 685 000 |  2014  |  1 001 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Мурманск | 07.01.15
1006361543-eb713 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 600 000 |  2012  |  40 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пятигорск | 07.01.15
1004429255-835d | http://is10.auto.ru/all/images/08/06/60x45/08062a88.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 509 000 |  2010  |  46 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 07.01.15
1006360213-44fd42 | http://is8.auto.ru/all/images/f7/10/60x45/f710cdb2.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #FF0000 | 600 000 |  2012  |  23 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Воронеж | 07.01.15
1006359147-1e9dad | http://is1.auto.ru/all/images/bc/40/60x45/bc40a0af.jpg |  Volkswagen Polo V1.2 MT (70 л.с.)  | #000000 | 681 952 |  2010  |  70 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Черкесск | 07.01.15
1006359111-c102 | http://is17.auto.ru/all/images/52/12/60x45/5212448d.jpg |  Volkswagen Polo IV1.2 MT (64 л.с.)  | #000000 | 190 000 |  2003  |  260 000 км  |  1.2 MT (64 л.с.)хэтчбек, бензин, передний  | Воронеж | 07.01.15
46534904-a2d9b | http://is15.auto.ru/all/images/7c/5e/60x45/7c5e3e5e.jpg |  Volkswagen Polo V1.2 MT (60 л.с.)  | #fde910 | 450 000 |  2010  |  65 000 км  |  1.2 MT (60 л.с.)хэтчбек, бензин, передний  | Казань | 07.01.15
1001963803-5263d | http://is16.auto.ru/all/images/33/0e/60x45/330e58be.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 570 000 |  2012  |  49 300 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Иваново | 07.01.15
1006111863-e9933 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #ffefd5 | 430 000 |  2010  |  127 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Ставрополь | 07.01.15
1006305109-bd0f62 | http://is1.auto.ru/all/images/0d/c4/60x45/0dc42e4f.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 655 000 |  2014  |  13 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 06.01.15
1006317693-cf90e4 | http://is17.auto.ru/all/images/f1/36/60x45/f136fa85.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 615 000 |  2013  |  36 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 06.01.15
1003328350-b698 | http://is7.auto.ru/all/images/ac/b3/60x45/acb3226c.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #926547 | 700 000 |  2014  |  12 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Брянск | 06.01.15
1004237347-479bb | http://is1.auto.ru/all/images/9a/e6/60x45/9ae6d9bb.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 440 000 |  2012  |  20 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Сыктывкар | 06.01.15
1006317297-96e51 | http://is7.auto.ru/all/images/63/39/60x45/63393cf5.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #FFFFFF | 430 000 |  2009  |  62 800 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Воронеж | 06.01.15
1006310593-46959 | http://is1.auto.ru/all/images/16/81/60x45/16811f73.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 630 000 |  2011  |  55 839 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 06.01.15
1006310655-bb31f7 | http://is18.auto.ru/all/images/d3/18/60x45/d31884d1.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 640 000 |  2011  |  34 852 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 06.01.15
1006316319-d4a1c | http://is15.auto.ru/all/images/e8/c8/60x45/e8c84ea3.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 490 000 |  2011  |  64 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Нижний Новгород | 06.01.15
1006311995-ac510 | http://is17.auto.ru/all/images/8d/a3/60x45/8da39c50.jpg |  Volkswagen Polo III1.4 MT (60 л.с.)  | #FFFFFF | 110 000 |  1998  |  230 000 км  |  1.4 MT (60 л.с.)хэтчбек, бензин, передний  | Мытищи | 06.01.15
1005809149-f31942 | http://is3.auto.ru/all/images/34/94/60x45/349472db.jpg |  Volkswagen Polo V1.2 MT (70 л.с.)  | #FFFFFF | 560 000 |  2011  |  26 458 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Москва | 06.01.15
48204074-7e5b29 | http://is9.auto.ru/all/images/ca/2d/60x45/ca2da5ae.jpg |  Volkswagen Polo V Cross1.4 AT (85 л.с.)  | #9c9999 | 850 000 |  2011  |  52 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 06.01.15
1002114319-aa5fc | http://is13.auto.ru/all/images/95/44/60x45/9544bd90.jpg |  Volkswagen Polo II1.0 MT (45 л.с.)  | #FFFFFF | 50 000 |  1989  |  200 000 км  |  1.0 MT (45 л.с.)купе, бензин, передний  | Саранск | 06.01.15
1006310551-2e4ba | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 580 000 |  2011  |  37 521 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 06.01.15
1005442773-d4165 | http://is11.auto.ru/all/images/da/13/60x45/da134542.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #FF0000 | 330 000 |  2006  |  84 150 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Воронеж | 06.01.15
1006307763-79a101 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 400 000 |  2013  |  45 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Казанская | 06.01.15
