1006805051-16db | http://is7.auto.ru/all/images/34/30/60x45/34300528.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #CACECB | 880 000 |  2009  |  118 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Ростов-на-Дону | 22.01.15
1003551614-02f2a | http://is9.auto.ru/all/images/2f/eb/60x45/2feb9783.jpg |  Audi A4 II (B6)1.8 CVT (150 л.с.)  | #9c9999 | 350 000 |  2002  |  211 000 км  |  1.8 CVT (150 л.с.)седан, бензин, передний  | Санкт-Петербург | 08.01.15
1006419551-187f59 | http://is4.auto.ru/all/images/87/c1/60x45/87c11af6.jpg |  Audi A4 II (B6)2.0 CVT (150 л.с.)  | #0000FF | 450 000 |  2004  |  150 000 км  |  2.0 CVT (150 л.с.)седан, бензин, передний  | Пенза | 08.01.15
1006419305-0d344 | http://is2.auto.ru/all/images/cd/65/60x45/cd655b7f.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #0000FF | 365 000 |  2001  |  264 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Задонск | 08.01.15
50056006-5bc06 | http://is11.auto.ru/all/images/1c/9d/60x45/1c9da430.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #FF0000 | 414 999 |  2003  |  230 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Санкт-Петербург | 08.01.15
1006419095-03b26 | http://is6.auto.ru/all/images/cb/91/60x45/cb917357.jpg |  Audi A4 I (B5)2.8 AT (174 л.с.)  | #34ba2b | 190 000 |  1995  |  320 000 км  |  2.8 AT (174 л.с.)седан, бензин, передний  | Оренбург | 08.01.15
1003758126-c6770e | http://is17.auto.ru/all/images/bd/c4/60x45/bdc4ada4.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #FF0000 | 415 000 |  2003  |  220 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Псков | 08.01.15
1006213219-2520 | http://is11.auto.ru/all/images/0e/42/60x45/0e422734.jpg |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #000000 | 400 000 |  2001  |  230 000 км  |  3.0 AT (220 л.с.) 4WDседан, бензин, полный  | Курск | 08.01.15
1006418217-31d64e | http://is6.auto.ru/all/images/70/23/60x45/7023d759.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #FF0000 | 495 000 |  2005  |  120 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Калининград | 08.01.15
1004710925-f61b8 | http://is4.auto.ru/all/images/1b/69/60x45/1b696eaf.jpg |  Audi A4 IV (B8)2.0 CVT (211 л.с.)  | #CACECB | 800 000 |  2009  |  90 000 км  |  2.0 CVT (211 л.с.)седан, бензин, передний  | Марьянская | 08.01.15
1006258401-2c2cb6 | http://is8.auto.ru/all/images/74/85/60x45/74857360.jpg |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #0000FF | 1 081 671 |  2003  |  130 700 км  |  3.0 AT (220 л.с.) 4WDседан, бензин, полный  | Москва | 08.01.15
1006417903-6e798 | http://is3.auto.ru/all/images/89/e9/60x45/89e98cd6.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #000000 | 230 022 |  1997  |  270 987 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Тверь | 08.01.15
40251962-60ecf7 | http://is11.auto.ru/all/images/c4/d9/60x45/c4d9236b.jpg |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #ffefd5 | 1 000 000 |  2004  |  76 000 км  |  3.0 AT (220 л.с.) 4WDседан, бензин, полный  | Москва | 08.01.15
1006415349-7e3f9f | http://is15.auto.ru/all/images/c8/3b/60x45/c83b8db8.jpg |  Audi A4 II (B6)1.8 CVT (150 л.с.)  | #FFFFFF | 390 000 |  2002  |  239 000 км  |  1.8 CVT (150 л.с.)седан, бензин, передний  | Павловская | 08.01.15
46687746-5670 | http://is18.auto.ru/all/images/67/45/60x45/67456806.jpg |  Audi A4 III (B7)1.9d MT (115 л.с.)  | #000000 | 600 000 |  2008  |  200 000 км  |  1.9d MT (115 л.с.)универсал, дизель, передний  | Кострома | 08.01.15
1006414343-13a6 | http://is18.auto.ru/all/images/39/66/60x45/3966b1de.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #000000 | 920 000 |  2009  |  90 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Санкт-Петербург | 08.01.15
1006413843-6e23d | http://is12.auto.ru/all/images/53/e8/60x45/53e8ebb1.jpg |  Audi A4 III (B7)2.0d MT (140 л.с.) 8V  | #0000FF | 580 000 |  2007  |  170 000 км  |  2.0d MT (140 л.с.) 8Vуниверсал, дизель, передний  | Таганрог | 08.01.15
44686538-9a958f | http://is18.auto.ru/all/images/a9/cb/60x45/a9cb22bc.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 780 000 |  2008  |  101 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 08.01.15
1006412255-d26e | http://is2.auto.ru/all/images/8f/10/60x45/8f1071a0.jpg |  Audi A4 I (B5) Рестайлинг2.5d MT (150 л.с.)  | #0000FF | 280 000 |  1999  |  344 000 км  |  2.5d MT (150 л.с.)седан, дизель, передний  | Заокский | 08.01.15
1006411997-6006 | http://is5.auto.ru/all/images/a6/7b/60x45/a67ba9ae.jpg |  Audi A4 I (B5) Рестайлинг1.6 MT (101 л.с.)  | #0000FF | 210 000 |  2000  |  350 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Санкт-Петербург | 08.01.15
1005635227-129ba | http://is8.auto.ru/all/images/d5/8d/60x45/d58da410.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 919 000 |  2011  |  61 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 08.01.15
1006210017-93e95 | http://is7.auto.ru/all/images/78/5e/60x45/785eb561.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (150 л.с.)  | #000000 | 225 000 |  2000  |  156 000 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Москва | 08.01.15
1006410587-6f4cec | http://is10.auto.ru/all/images/17/73/60x45/17736193.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #000000 | 630 000 |  2006  |  214 300 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Воронеж | 08.01.15
46785100-2ea7ac | http://is17.auto.ru/all/images/5e/1a/60x45/5e1aac38.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 700 000 |  2013  |  7 400 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 08.01.15
1006410347-10ba6 | http://is3.auto.ru/all/images/67/72/60x45/6772a1d4.jpg |  Audi A4 IV (B8)2.0 CVT (180 л.с.)  | #FF0000 | 950 000 |  2008  |  60 000 км  |  2.0 CVT (180 л.с.)седан, бензин, передний  | Ставрополь | 08.01.15
1006409875-fe5f1 | http://is9.auto.ru/all/images/12/bf/60x45/12bf3eb0.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #CACECB | 830 000 |  2009  |  116 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Ростов-на-Дону | 08.01.15
1003053220-ba88 | http://is7.auto.ru/all/images/e3/79/60x45/e379a332.jpg |  Audi A4 II (B6)1.6 MT (102 л.с.)  | #000000 | 395 000 |  2004  |  162 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 08.01.15
1006409071-d0301 | http://is6.auto.ru/all/images/3c/d7/60x45/3cd728ab.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (225 л.с.) 4WD  | #FFFFFF | 1 900 000 |  2014  |  2 500 км  |  2.0 AT (225 л.с.) 4WDседан, бензин, полный  | Ижевск | 08.01.15
1004163323-6ff48 | http://is16.auto.ru/all/images/a5/a0/60x45/a5a09f5a.jpg |  Audi A4 I (B5) Рестайлинг1.9d MT (116 л.с.)  | #9c9999 | 305 000 |  2000  |  270 000 км  |  1.9d MT (116 л.с.)универсал, дизель, передний  | Липецк | 08.01.15
50268926-cfa6d | http://is11.auto.ru/all/images/ff/ec/60x45/ffec6c51.jpg |  Audi A4 I (B5) Рестайлинг1.6 MT (101 л.с.)  | #0000FF | 270 000 |  1999  |  380 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Курск | 08.01.15
1004550433-ba44 | http://is6.auto.ru/all/images/1e/21/60x45/1e218111.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #0000FF | 270 000 |  1999  |  380 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Курск | 08.01.15
1002661871-29b0 | http://is9.auto.ru/all/images/b7/33/60x45/b7339cac.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #000000 | 340 000 |  2004  |  100 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Ступино | 08.01.15
1006369747-b72c | http://is16.auto.ru/all/images/e5/12/60x45/e5120ad8.jpg |  Audi A4 IV (B8)2.0 CVT (180 л.с.)  | #000000 | 800 000 |  2008  |  160 000 км  |  2.0 CVT (180 л.с.)седан, бензин, передний  | Москва | 08.01.15
49396944-b5fb2 | http://is5.auto.ru/all/images/e9/03/60x45/e903cc4c.jpg |  Audi A4 III (B7)2.0d CVT (140 л.с.) 8V  | #0000FF | 833 476 |  2007  |  132 000 км  |  2.0d CVT (140 л.с.) 8Vуниверсал, дизель, передний  | Москва | 08.01.15
1006067531-38a452 | http://is7.auto.ru/all/images/21/b8/60x45/21b8c6c0.jpg |  Audi A4 II (B6)2.0 MT (130 л.с.)  | #000000 | 370 000 |  2002  |  280 000 км  |  2.0 MT (130 л.с.)седан, бензин, передний  | Петрозаводск | 08.01.15
1006368999-84c365 | http://is14.auto.ru/all/images/8a/1d/60x45/8a1d7cf7.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #FFFFFF | 253 000 |  1997  |  300 км  |  1.6 MT (101 л.с.)универсал, бензин, передний  | Воронеж | 08.01.15
1006369093-cf520b | http://is17.auto.ru/all/images/a2/5b/60x45/a25bb4b3.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #CACECB | 897 000 |  2009  |  40 000 км  |  2.0 AT (211 л.с.) 4WDуниверсал, бензин, полный  | Симферополь | 08.01.15
1001589174-3e673 | http://is4.auto.ru/all/images/c7/68/60x45/c768ed27.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 820 000 |  2008  |  90 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Орел | 08.01.15
1005750375-fce8a | http://is18.auto.ru/all/images/c4/58/60x45/c458cab8.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #0000FF | 799 999 |  2010  |  110 000 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Белгород | 07.01.15
43891082-dc0d | http://is18.auto.ru/all/images/ec/4b/60x45/ec4b9a38.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #9c9999 | 770 000 |  2008  |  90 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Киров | 07.01.15
27559836-effb | http://is14.auto.ru/all/images/bc/b9/60x45/bcb9a795.jpg |  Audi A4 I (B5)1.8 MT (150 л.с.)  | #CACECB | 195 000 |  1998  |  275 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Кострома | 07.01.15
1006318427-6ea50 | http://is9.auto.ru/all/images/6e/84/60x45/6e84b3bf.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 940 000 |  2010  |  83 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Липецк | 07.01.15
1004765329-4cc11 | /i/all7/img/no-photo-thumb.gif |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #34ba2b | 197 000 |  1998  |  320 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Смоленск | 07.01.15
1006366009-a796 | http://is6.auto.ru/all/images/25/ce/60x45/25ce4f65.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #FF0000 | 235 000 |  1995  |  210 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Себеж | 07.01.15
1006365783-a3b53 | http://is4.auto.ru/all/images/98/05/60x45/98051ad0.jpg |  Audi A4 II (B6)1.8 MT (170 л.с.) 4WD  | #CACECB | 380 000 |  2001  |  174 000 км  |  1.8 MT (170 л.с.) 4WDседан, бензин, полный  | Шуя | 07.01.15
1005867411-593a | http://is11.auto.ru/all/images/e3/3d/60x45/e33d9302.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (225 л.с.) 4WD  | #FFFFFF | 1 600 000 |  2013  |  17 000 км  |  2.0 AT (225 л.с.) 4WDседан, бензин, полный  | Москва | 07.01.15
1002432721-ef1e9 | http://is5.auto.ru/all/images/dc/03/60x45/dc03269d.jpg |  Audi A4 I (B5)1.8 AT (125 л.с.)  | #000000 | 185 000 |  1996  |  187 000 км  |  1.8 AT (125 л.с.)универсал, бензин, передний  | Пушкино | 07.01.15
1002291065-f22e1 | http://is14.auto.ru/all/images/e5/08/60x45/e508424a.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #0088ff | 340 000 |  2001  |  230 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Людиново | 07.01.15
1003971990-16db | http://is18.auto.ru/all/images/4d/ee/60x45/4dee8a95.jpg |  Audi A4 II (B6)1.9d MT (130 л.с.)  | #000000 | 495 000 |  2004  |  228 000 км  |  1.9d MT (130 л.с.)универсал, дизель, передний  | Анапа | 07.01.15
1006363903-aa91bd | http://is16.auto.ru/all/images/6a/f2/60x45/6af25700.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #FF0000 | 400 000 |  2004  |  117 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Липецк | 07.01.15
1006364287-0057 | http://is18.auto.ru/all/images/e5/74/60x45/e5741f65.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (150 л.с.)  | #FF0000 | 240 000 |  1998  |  280 000 км  |  1.8 AT (150 л.с.)универсал, бензин, передний  | Иваново | 07.01.15
1006261049-7ed85 | http://is9.auto.ru/all/images/17/d4/60x45/17d44c12.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (125 л.с.)  | #CACECB | 270 000 |  1997  |  160 000 км  |  1.8 AT (125 л.с.)седан, бензин, передний  | Воронеж | 07.01.15
1006204903-1b21 | http://is5.auto.ru/all/images/ce/da/60x45/ceda9798.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #0088ff | 900 000 |  2010  |  100 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 07.01.15
1006361707-83739d | http://is18.auto.ru/all/images/f2/e2/60x45/f2e24671.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (150 л.с.)  | #0000FF | 200 000 |  2000  |  300 000 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Воронеж | 07.01.15
1005808369-348ad2 | http://is16.auto.ru/all/images/c1/38/60x45/c138306f.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #000000 | 895 000 |  2009  |  60 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 07.01.15
41769746-2a4d | http://is1.auto.ru/all/images/d7/6b/60x45/d76bf114.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (225 л.с.) 4WD  | #000000 | 2 700 000 |  2014  |  1 км  |  2.0 AT (225 л.с.) 4WDседан, бензин, полный  | Красноярск | 07.01.15
1006360993-fda9f | http://is6.auto.ru/all/images/fb/8e/60x45/fb8e3d51.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #000000 | 750 000 |  2008  |  135 000 км  |  2.0d CVT (143 л.с.)седан, дизель, передний  | Краснодар | 07.01.15
1006205985-a12f | http://is16.auto.ru/all/images/92/a9/60x45/92a9c110.jpg |  Audi A4 III (B7)1.8 CVT (163 л.с.)  | #ffefd5 | 540 000 |  2006  |  115 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Москва | 07.01.15
48475324-c4dab | http://is5.auto.ru/all/images/5c/f7/60x45/5cf7266a.jpg |  Audi A4 III (B7)1.8 CVT (163 л.с.)  | #CACECB | 550 000 |  2006  |  87 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Сергиев Посад | 07.01.15
1006316845-0f26 | http://is13.auto.ru/all/images/ed/de/60x45/eddeb54c.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 257 000 |  2013  |  52 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 06.01.15
24112412-c69ba | http://is16.auto.ru/all/images/f9/00/60x45/f90021f3.jpg |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #000000 | 880 000 |  2003  |  84 000 км  |  3.0 AT (220 л.с.) 4WDседан, бензин, полный  | Москва | 06.01.15
1004093069-1f6351 | http://is18.auto.ru/all/images/50/14/60x45/50142893.jpg |  Audi A4 I (B5)1.8 MT (125 л.с.)  | #000000 | 200 000 |  1995  |  300 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Москва | 06.01.15
1006313089-c385 | http://is6.auto.ru/all/images/de/95/60x45/de95dfa6.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #9c9999 | 1 000 000 |  2008  |  144 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Тюмень | 06.01.15
45911400-6601fb | http://is6.auto.ru/all/images/bc/56/60x45/bc5626ad.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #0000FF | 475 000 |  2005  |  165 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Чебоксары | 06.01.15
1006214325-2640 | http://is15.auto.ru/all/images/ce/c1/60x45/cec19b1c.jpg |  Audi A4 I (B5)1.8 MT (150 л.с.)  | #0000FF | 175 000 |  1996  |  20 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Белая Калитва | 06.01.15
1005748543-3ca168 | http://is3.auto.ru/all/images/5e/1d/60x45/5e1db89a.jpg |  Audi A4 I (B5)1.8 MT (125 л.с.)  | #0000FF | 130 000 |  1995  |  461 885 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Москва | 06.01.15
1006310685-6fc6e | http://is14.auto.ru/all/images/55/bc/60x45/55bc1cb6.jpg |  Audi A4 III (B7)1.8 CVT (163 л.с.)  | #CACECB | 580 000 |  2006  |  140 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Сызрань | 06.01.15
1006309731-2811b | http://is4.auto.ru/all/images/64/64/60x45/64649554.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 290 000 |  2013  |  55 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Волгоград | 06.01.15
1006309387-dce2b | http://is4.auto.ru/all/images/cb/26/60x45/cb26277f.jpg |  Audi A4 I (B5)1.8 AT (125 л.с.)  | #0000FF | 200 000 |  1996  |  312 000 км  |  1.8 AT (125 л.с.)седан, бензин, передний  | Москва | 06.01.15
32010634-09b198 | http://is9.auto.ru/all/images/8a/6f/60x45/8a6f957f.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #CACECB | 780 000 |  2008  |  130 000 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Таганрог | 06.01.15
1006270933-769c26 | http://is8.auto.ru/all/images/e9/66/60x45/e966c71f.jpg |  Audi A4 III (B7)2.0 AT (220 л.с.) 4WD  | #fde910 | 830 000 |  2007  |  55 000 км  |  2.0 AT (220 л.с.) 4WDседан, бензин, полный  | Москва | 06.01.15
1006270933-769c26 | http://is8.auto.ru/all/images/e9/66/60x45/e966c71f.jpg |  Audi A4 III (B7)2.0 AT (220 л.с.) 4WD  | #fde910 | 830 000 |  2007  |  55 000 км  |  2.0 AT (220 л.с.) 4WDседан, бензин, полный  | Москва | 06.01.15
1006267769-0d346 | http://is3.auto.ru/all/images/a5/5c/60x45/a55c4652.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #000000 | 710 000 |  2008  |  132 000 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Москва | 05.01.15
1006268005-b4dc4 | http://is12.auto.ru/all/images/e5/cc/60x45/e5cc351e.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (125 л.с.)  | #0000FF | 295 000 |  1999  |  210 000 км  |  1.8 AT (125 л.с.)седан, бензин, передний  | Орел | 05.01.15
1006267819-212f2 | http://is13.auto.ru/all/images/4d/40/60x45/4d40c790.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #0000FF | 450 000 |  2003  |  170 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Дзержинск | 05.01.15
1006266517-3abed | http://is17.auto.ru/all/images/0a/fb/60x45/0afb854f.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #000000 | 570 000 |  2005  |  132 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Алатырь | 05.01.15
1006265717-4683 | http://is16.auto.ru/all/images/1a/6a/60x45/1a6ab232.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (150 л.с.) 4WD  | #000000 | 285 000 |  2000  |  235 000 км  |  1.8 MT (150 л.с.) 4WDседан, бензин, полный  | Таганрог | 05.01.15
1006265483-d22fe | http://is16.auto.ru/all/images/cc/7a/60x45/cc7a12e8.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #CC0033 | 190 000 |  1995  |  260 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Курск | 05.01.15
39816936-ef936c | http://is5.auto.ru/all/images/84/ef/60x45/84efd436.jpg |  Audi A4 I (B5)1.8 MT (150 л.с.) 4WD  | #CACECB | 270 000 |  1998  |  265 000 км  |  1.8 MT (150 л.с.) 4WDседан, бензин, полный  | Петрозаводск | 05.01.15
1006264649-672b | http://is3.auto.ru/all/images/3c/48/60x45/3c480dfc.jpg |  Audi A4 I (B5) Рестайлинг2.4 AT (165 л.с.)  | #9966CC | 240 000 |  2000  |  310 000 км  |  2.4 AT (165 л.с.)универсал, бензин, передний  | Орел | 05.01.15
1006264363-e47c | http://is8.auto.ru/all/images/38/5c/60x45/385c01b1.jpg |  Audi A4 I (B5)1.8 MT (150 л.с.)  | #000000 | 220 000 |  1996  |  200 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Курск | 05.01.15
1006263967-684bc3 | http://is18.auto.ru/all/images/67/0f/60x45/670fae5b.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #ffefd5 | 470 000 |  2005  |  198 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Санкт-Петербург | 05.01.15
1003692536-5f7f | http://is5.auto.ru/all/images/bb/e5/60x45/bbe53525.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #CC0033 | 700 000 |  2008  |  71 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 05.01.15
1006262875-2981 | http://is11.auto.ru/all/images/da/0d/60x45/da0d8331.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #000000 | 420 000 |  2003  |  160 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Курск | 05.01.15
46277692-ee5ad | http://is2.auto.ru/all/images/1c/0c/60x45/1c0c7666.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #000000 | 850 000 |  2009  |  130 000 км  |  2.0d CVT (143 л.с.)седан, дизель, передний  | Ярославль | 05.01.15
47046294-549d | http://is12.auto.ru/all/images/5e/95/60x45/5e9505a0.jpg |  Audi A4 IV (B8)2.0d MT (170 л.с.)  | #000000 | 850 000 |  2008  |  125 000 км  |  2.0d MT (170 л.с.)универсал, дизель, передний  | Волгоград | 05.01.15
1006261747-7c82 | http://is3.auto.ru/all/images/59/5b/60x45/595b64de.jpg |  Audi A4 I (B5) Рестайлинг2.4 AT (165 л.с.)  | #0000FF | 230 000 |  1998  |  270 000 км  |  2.4 AT (165 л.с.)седан, бензин, передний  | Калуга | 05.01.15
1005856077-63deaf | http://is1.auto.ru/all/images/3e/44/60x45/3e44a489.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CACECB | 650 000 |  2006  |  70 000 км  |  2.0 CVT (130 л.с.)универсал, бензин, передний  | Тамбов | 05.01.15
285830-7c933 | http://is9.auto.ru/all/images/f3/26/60x45/f32646a2.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #0000FF | 670 000 |  2007  |  90 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Сыктывкар | 05.01.15
1006259565-d475 | http://is2.auto.ru/all/images/bd/77/60x45/bd779c5a.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #CACECB | 420 000 |  2003  |  229 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Балашов | 05.01.15
1006259547-4e24 | /i/all7/img/no-photo-thumb.gif |  Audi A4 I (B5)1.9d AT (90 л.с.)  | #FFFFFF | 150 000 |  1995  |  365 000 км  |  1.9d AT (90 л.с.)седан, дизель, передний  | Рыбинск | 05.01.15
1006158383-e391d | http://is3.auto.ru/all/images/da/9d/60x45/da9d3260.jpg |  Audi A4 II (B6)1.8 CVT (190 л.с.)  | #9c9999 | 450 000 |  2003  |  140 000 км  |  1.8 CVT (190 л.с.)универсал, бензин, передний  | Москва | 05.01.15
1005858293-d9882 | http://is17.auto.ru/all/images/ea/67/60x45/ea67a9c7.jpg |  Audi A4 III (B7)1.8 CVT (163 л.с.)  | #000000 | 570 000 |  2007  |  105 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Истра | 05.01.15
1005811759-9dbd | http://is3.auto.ru/all/images/2a/76/60x45/2a761524.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FF0000 | 1 495 000 |  2014  |  6 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Ростов-на-Дону | 05.01.15
24230388-9bdcc0 | http://is15.auto.ru/all/images/72/72/60x45/72721a15.jpg |  Audi A4 II (B6)3.0 AT (220 л.с.) 4WD  | #0000FF | 900 000 |  2004  |  88 000 км  |  3.0 AT (220 л.с.) 4WDуниверсал, бензин, полный  | Москва | 05.01.15
44398102-59e8 | http://is11.auto.ru/all/images/f4/2a/60x45/f42ade4f.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (125 л.с.)  | #CACECB | 265 000 |  2000  |  225 000 км  |  1.8 AT (125 л.с.)седан, бензин, передний  | Вологда | 04.01.15
1006214903-47a9 | http://is16.auto.ru/all/images/6a/d0/60x45/6ad01d5f.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #000000 | 540 000 |  2007  |  123 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Нижний Новгород | 04.01.15
1006214545-41f3 | http://is15.auto.ru/all/images/ad/11/60x45/ad11e667.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 850 000 |  2008  |  80 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Тамбов | 04.01.15
1006214305-a2306 | http://is15.auto.ru/all/images/36/d2/60x45/36d26216.jpg |  Audi A4 IV (B8)1.8 MT (160 л.с.)  | #CACECB | 820 000 |  2009  |  77 000 км  |  1.8 MT (160 л.с.)седан, бензин, передний  | Златоуст | 04.01.15
