36596518-52dc | http://is7.auto.ru/all/images/1f/5f/60x45/1f5fb583.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 260 000 |  2007  |  150 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Сургут | 29.07.14
1007255623-803520 | http://is17.auto.ru/all/images/56/d8/60x45/56d8f2cc.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 200 000 |  2007  |  97 150 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007174683-b328af | http://is2.auto.ru/all/images/b4/c2/60x45/b4c27d5e.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #9c9999 | 359 500 |  2011  |  32 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1006740935-f4a6 | http://is17.auto.ru/all/images/15/a7/60x45/15a77b09.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #CACECB | 299 000 |  2010  |  55 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1006934987-8278 | http://is6.auto.ru/all/images/53/ab/60x45/53ab2485.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 229 000 |  2008  |  75 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Великий Новгород | 23.01.15
1007255791-554c1 | http://is12.auto.ru/all/images/6b/a0/60x45/6ba0109b.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 222 222 |  2006  |  120 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007110309-99072 | http://is3.auto.ru/all/images/84/7e/60x45/847ecd8e.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 187 000 |  2006  |  95 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006861449-4ab3 | http://is2.auto.ru/all/images/77/e0/60x45/77e088d7.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 275 000 |  2007  |  77 250 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Смоленск | 23.01.15
1006752999-3760 | http://is18.auto.ru/all/images/ea/4d/60x45/ea4dce48.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 250 000 |  2008  |  98 300 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Обнинск | 23.01.15
1006614195-fe9eb | http://is18.auto.ru/all/images/ea/f8/60x45/eaf88b58.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 165 000 |  2006  |  150 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007256487-ed142a | http://is5.auto.ru/all/images/56/a3/60x45/56a3d3db.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 185 000 |  2006  |  110 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Кострома | 23.01.15
1007261301-bdb7dd | http://is2.auto.ru/all/images/02/db/60x45/02dbb0be.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #000000 | 630 000 |  2015  |  7 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Москва | 23.01.15
1003470858-335c71 | http://is3.auto.ru/all/images/55/07/60x45/55076664.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 340 000 |  2006  |  59 623 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007261501-0eb3e | http://is9.auto.ru/all/images/d8/ec/60x45/d8eccdbb.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 292 200 |  2010  |  84 567 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Казань | 23.01.15
1007261387-712213 | http://is18.auto.ru/all/images/cd/23/60x45/cd23e726.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 231 400 |  2006  |  125 383 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Казань | 23.01.15
1007261491-40566 | http://is3.auto.ru/all/images/43/ab/60x45/43ab4e07.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 250 500 |  2007  |  72 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Казань | 23.01.15
1007262049-17213 | http://is5.auto.ru/all/images/bc/e8/60x45/bce8e992.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #FFFFFF | 315 000 |  2013  |  25 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007261867-a6490e | http://is16.auto.ru/all/images/a1/e0/60x45/a1e0c2bf.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #0000FF | 340 000 |  2010  |  79 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Ижевск | 23.01.15
1007263193-7ba5f4 | http://is1.auto.ru/all/images/f0/66/60x45/f0664a89.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 350 000 |  2011  |  65 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Ростов-на-Дону | 23.01.15
1006033275-b880dc | http://is10.auto.ru/all/images/95/92/60x45/959238ce.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 389 500 |  2012  |  52 525 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007262479-f874e | http://is14.auto.ru/all/images/ba/f4/60x45/baf42e47.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 205 000 |  2007  |  95 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Набережные Челны | 23.01.15
1007261863-f730d | http://is3.auto.ru/all/images/1f/48/60x45/1f48a919.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 215 000 |  2007  |  83 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ижевск | 23.01.15
1007262573-5439a | http://is7.auto.ru/all/images/1f/df/60x45/1fdfda5c.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 218 000 |  2008  |  118 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Набережные Челны | 23.01.15
1007262161-04e1 | http://is13.auto.ru/all/images/38/a4/60x45/38a4f85d.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 245 000 |  2007  |  131 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Казань | 23.01.15
1007262977-f2e49 | http://is13.auto.ru/all/images/fe/a2/60x45/fea274a0.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #34ba2b | 250 000 |  2009  |  62 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Уфа | 23.01.15
1007099705-e4ec2 | http://is5.auto.ru/all/images/7d/4b/60x45/7d4bb666.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #ffefd5 | 278 000 |  2008  |  63 900 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1006759953-8da67 | http://is2.auto.ru/all/images/de/1d/60x45/de1dd9a0.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 225 000 |  2009  |  41 654 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007262773-77ebce | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 340 000 |  2011  |  57 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Уфа | 23.01.15
1007263011-04be5 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #0000FF | 384 000 |  2011  |  85 500 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Уфа | 23.01.15
1007264623-cbffb | http://is14.auto.ru/all/images/13/74/60x45/1374352b.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 260 000 |  2008  |  125 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1006224323-233e | http://is6.auto.ru/all/images/2d/ac/60x45/2dace17c.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 273 675 |  2008  |  94 446 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007265691-6ca2 | http://is9.auto.ru/all/images/ad/cd/60x45/adcdb741.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 220 000 |  2010  |  88 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007266395-0386c | http://is2.auto.ru/all/images/ef/c5/60x45/efc57314.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 265 000 |  2010  |  91 937 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007266399-060f3 | http://is6.auto.ru/all/images/45/c4/60x45/45c418e8.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 270 000 |  2010  |  63 114 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007266403-310c | http://is14.auto.ru/all/images/16/c5/60x45/16c5c673.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 310 000 |  2012  |  43 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268829-6c5ff7 | http://is4.auto.ru/all/images/e4/8a/60x45/e48a01e7.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #000000 | 374 000 |  2012  |  47 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268805-c46797 | http://is11.auto.ru/all/images/53/b7/60x45/53b79910.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 410 000 |  2012  |  26 500 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007266389-e168 | http://is5.auto.ru/all/images/50/6b/60x45/506bab5c.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 215 000 |  2009  |  85 975 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268797-ff7c5 | http://is9.auto.ru/all/images/07/1d/60x45/071d25ee.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 231 500 |  2008  |  96 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007266391-022e00 | http://is13.auto.ru/all/images/4f/fa/60x45/4ffa70fb.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 265 000 |  2009  |  47 673 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268801-98e06 | http://is12.auto.ru/all/images/19/ac/60x45/19ac8b83.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 275 000 |  2008  |  87 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007266155-5f7072 | http://is10.auto.ru/all/images/86/7b/60x45/867b5921.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #CACECB | 179 000 |  2008  |  100 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007269231-89c10e | http://is17.auto.ru/all/images/9f/9b/60x45/9f9bafd6.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #34ba2b | 255 000 |  2010  |  31 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270943-0b97e | http://is8.auto.ru/all/images/11/74/60x45/1174f7b4.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 314 000 |  2011  |  58 630 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270951-4ec9 | http://is16.auto.ru/all/images/89/0d/60x45/890d38cc.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #FF0000 | 368 000 |  2012  |  37 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005885927-0b848 | http://is2.auto.ru/all/images/f5/ed/60x45/f5ed6c9b.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #FF0000 | 380 000 |  2010  |  100 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005288309-e3cf8 | http://is16.auto.ru/all/images/2a/0e/60x45/2a0e0434.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #34ba2b | 205 000 |  2006  |  139 652 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007274787-78d3a | http://is14.auto.ru/all/images/cb/b7/60x45/cbb76f78.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 210 000 |  2007  |  90 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007270429-8050a | http://is14.auto.ru/all/images/85/ce/60x45/85ceb4ff.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0088ff | 225 000 |  2008  |  64 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272741-acff72 | http://is6.auto.ru/all/images/76/ac/60x45/76acc917.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 240 000 |  2009  |  71 570 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005288311-f7d82 | http://is12.auto.ru/all/images/c5/48/60x45/c548c503.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 265 000 |  2007  |  85 850 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270925-9192 | http://is8.auto.ru/all/images/a1/13/60x45/a113804e.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 269 000 |  2007  |  62 566 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270931-f4557 | http://is16.auto.ru/all/images/ed/45/60x45/ed457857.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 310 000 |  2009  |  63 251 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006023129-c59762 | http://is7.auto.ru/all/images/1c/85/60x45/1c855c6b.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 350 000 |  2008  |  71 722 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007273497-2468 | http://is6.auto.ru/all/images/d2/ee/60x45/d2ee2a4a.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 200 000 |  2007  |  107 402 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007275989-519f6 | http://is1.auto.ru/all/images/45/69/60x45/45690a6d.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 215 000 |  2008  |  88 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005833743-9f29 | http://is2.auto.ru/all/images/61/45/60x45/6145790e.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 230 000 |  2008  |  151 020 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007277683-ba97 | http://is6.auto.ru/all/images/9e/35/60x45/9e356db1.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 299 000 |  2010  |  63 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006710673-404d | http://is7.auto.ru/all/images/93/44/60x45/9344d355.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 310 000 |  2010  |  87 800 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Иваново | 23.01.15
1007277667-17f2 | http://is16.auto.ru/all/images/80/70/60x45/80700af3.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 314 000 |  2010  |  79 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007277737-3450 | http://is18.auto.ru/all/images/e7/bb/60x45/e7bb30fc.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #ffefd5 | 319 000 |  2011  |  96 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007277827-c8984 | http://is18.auto.ru/all/images/96/d5/60x45/96d5d781.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #CC0033 | 324 000 |  2010  |  65 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007277735-a50fd | http://is6.auto.ru/all/images/73/a3/60x45/73a3eda6.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 327 000 |  2010  |  78 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006710669-eb28e | http://is3.auto.ru/all/images/bf/aa/60x45/bfaa6327.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 260 000 |  2009  |  55 700 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Иваново | 23.01.15
1007277837-9365 | http://is1.auto.ru/all/images/1f/10/60x45/1f104e12.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #9c9999 | 298 000 |  2009  |  64 999 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005352653-0775 | http://is12.auto.ru/all/images/25/6b/60x45/256b0173.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 269 000 |  2011  |  141 510 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Воронеж | 23.01.15
1005352935-82a2ae | http://is5.auto.ru/all/images/9d/c5/60x45/9dc52299.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 232 000 |  2007  |  119 856 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Воронеж | 23.01.15
1007278235-7567f | http://is13.auto.ru/all/images/62/d0/60x45/62d0c557.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 305 000 |  2007  |  74 665 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278311-f436d | http://is4.auto.ru/all/images/5d/ca/60x45/5dca2eb5.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 325 000 |  2009  |  62 374 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278763-982f00 | http://is17.auto.ru/all/images/3e/0e/60x45/3e0e75d3.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 309 000 |  2010  |  47 500 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1007278761-029a8 | http://is16.auto.ru/all/images/f2/d5/60x45/f2d5c879.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 319 000 |  2010  |  56 834 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1007278765-57d1 | http://is6.auto.ru/all/images/9e/9b/60x45/9e9b7dbe.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 319 000 |  2010  |  67 500 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1007278871-b68e | http://is18.auto.ru/all/images/e2/9a/60x45/e29a7cab.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 319 000 |  2011  |  105 846 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1007278915-83b4b | http://is18.auto.ru/all/images/11/a9/60x45/11a942d4.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 199 000 |  2005  |  79 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1007278807-4a135c | http://is4.auto.ru/all/images/83/b9/60x45/83b95862.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 229 000 |  2006  |  158 120 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1007278895-495d36 | http://is7.auto.ru/all/images/ca/45/60x45/ca450acd.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 239 000 |  2005  |  89 035 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1007279155-7be4 | http://is4.auto.ru/all/images/20/2e/60x45/202e2fd6.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FFFFFF | 305 000 |  2012  |  30 500 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279151-6d0d65 | http://is6.auto.ru/all/images/a4/07/60x45/a4079ffe.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #9c9999 | 225 000 |  2008  |  48 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279153-3dd8 | http://is2.auto.ru/all/images/f7/41/60x45/f741abb8.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 235 000 |  2009  |  67 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279797-a964d | http://is5.auto.ru/all/images/f2/36/60x45/f2362310.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #34ba2b | 240 000 |  2007  |  110 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279799-4b6aa | http://is2.auto.ru/all/images/7a/0d/60x45/7a0ddf82.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 265 000 |  2008  |  31 180 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279801-efb3 | http://is12.auto.ru/all/images/e6/a8/60x45/e6a8e256.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 290 000 |  2009  |  69 500 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006855939-72d1a9 | http://is18.auto.ru/all/images/2f/c2/60x45/2fc205f0.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #9c9999 | 265 000 |  2009  |  51 024 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006921151-23f5f9 | http://is10.auto.ru/all/images/4e/8c/60x45/4e8cd8bc.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 210 000 |  2009  |  80 001 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280173-2fafda | http://is3.auto.ru/all/images/2d/ca/60x45/2dca2ccd.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 225 000 |  2008  |  99 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280905-fc82 | http://is3.auto.ru/all/images/88/20/60x45/8820eda2.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #FFFFFF | 240 000 |  2012  |  58 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280941-0525 | http://is12.auto.ru/all/images/f2/61/60x45/f2614255.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 265 000 |  2010  |  68 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280869-f4d8 | http://is12.auto.ru/all/images/d6/78/60x45/d6789014.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 240 000 |  2007  |  78 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280939-c4ef | http://is2.auto.ru/all/images/21/87/60x45/21872df1.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 245 000 |  2009  |  78 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280873-76f54 | http://is18.auto.ru/all/images/fd/29/60x45/fd29cc48.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 295 000 |  2009  |  72 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281451-f68147 | http://is2.auto.ru/all/images/53/8e/60x45/538e39f2.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 217 000 |  2010  |  86 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281433-30a1c0 | http://is3.auto.ru/all/images/e7/7e/60x45/e77e2878.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 220 000 |  2010  |  80 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281695-4ce7 | http://is11.auto.ru/all/images/e6/2b/60x45/e62bf8ee.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 315 000 |  2013  |  29 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281495-17daa1 | http://is15.auto.ru/all/images/32/9a/60x45/329a60de.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 191 000 |  2008  |  62 361 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281457-b5746 | http://is8.auto.ru/all/images/67/d8/60x45/67d8bdc6.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 205 000 |  2009  |  85 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281345-2659 | http://is2.auto.ru/all/images/3e/9b/60x45/3e9b2f08.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 220 000 |  2008  |  86 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281639-ebb41 | http://is18.auto.ru/all/images/6d/83/60x45/6d8312e4.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 225 000 |  2007  |  82 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281915-97a8 | http://is3.auto.ru/all/images/eb/82/60x45/eb821ab7.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 425 000 |  2013  |  7 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282079-f3fc5 | http://is2.auto.ru/all/images/ba/41/60x45/ba41fe42.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 215 000 |  2008  |  72 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282249-cb5e | http://is6.auto.ru/all/images/66/dd/60x45/66dd779d.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 215 000 |  2008  |  78 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282315-38b83e | http://is17.auto.ru/all/images/22/3a/60x45/223af578.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #34ba2b | 230 000 |  2008  |  63 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282659-f4287 | http://is4.auto.ru/all/images/9c/98/60x45/9c983dcb.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 245 000 |  2008  |  63 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006936977-824c1 | http://is13.auto.ru/all/images/e0/cb/60x45/e0cb88fc.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 263 000 |  2010  |  68 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
