1007255473-928d | http://is8.auto.ru/all/images/f9/ed/60x45/f9edc7da.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FFFFFF | 455 000 |  2011  |  98 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Протвино | 23.01.15
1005319435-3a256 | http://is4.auto.ru/all/images/91/c2/60x45/91c2669c.jpg |  Kia Cee'd II1.6 MT (135 л.с.)  | #000000 | 579 999 |  2012  |  24 000 км  |  1.6 MT (135 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 13.01.15
1006676479-faf0 | /i/all7/img/no-photo-thumb.gif |  Kia Cee'd I Рестайлинг1.4 MT (109 л.с.)  | #CACECB | 500 000 |  2011  |  12 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Ярославль | 13.01.15
1006564473-ac8a | http://is5.auto.ru/all/images/b8/0d/60x45/b80dbe0d.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #FF0000 | 335 000 |  2008  |  85 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1004762107-0a8d80 | http://is5.auto.ru/all/images/ca/84/60x45/ca84cb98.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #000000 | 493 680 |  2009  |  105 799 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1005377125-96fdf | http://is18.auto.ru/all/images/88/e2/60x45/88e21a24.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #000000 | 535 000 |  2009  |  93 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Воронеж | 13.01.15
1006515149-773b | http://is7.auto.ru/all/images/87/11/60x45/87114f1c.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #926547 | 890 000 |  2013  |  45 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Воронеж | 13.01.15
1006666457-d4d389 | http://is13.auto.ru/all/images/c1/63/60x45/c163ea6a.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #fde910 | 425 555 |  2010  |  65 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 13.01.15
1004488615-7bcf | http://is18.auto.ru/all/images/c9/4c/60x45/c94cfd1a.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #000000 | 420 000 |  2009  |  123 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Раменское | 13.01.15
1006576829-bfeb | /i/all7/img/no-photo-thumb.gif |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #9c9999 | 550 000 |  2010  |  75 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Тверь | 13.01.15
1006628697-d7351 | http://is15.auto.ru/all/images/e3/90/60x45/e3900121.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #0000FF | 360 000 |  2007  |  104 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Белгород | 12.01.15
1006626523-c5a232 | http://is12.auto.ru/all/images/77/15/60x45/7715b164.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #0000FF | 450 000 |  2009  |  85 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 12.01.15
42406404-c140 | http://is17.auto.ru/all/images/0a/67/60x45/0a67df49.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #0000FF | 485 000 |  2010  |  49 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Санкт-Петербург | 12.01.15
1006256057-5983 | http://is7.auto.ru/all/images/a0/8e/60x45/a08ea3a1.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #9c9999 | 900 000 |  2014  |  27 000 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Москва | 12.01.15
50194300-0017 | http://is12.auto.ru/all/images/70/fc/60x45/70fcde6d.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #ffefd5 | 510 000 |  2010  |  82 600 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Ярославль | 12.01.15
49988300-d171 | http://is9.auto.ru/all/images/ca/3d/60x45/ca3d7ca6.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FFFFFF | 560 000 |  2011  |  64 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Ярославль | 12.01.15
1002343049-f3bca | http://is2.auto.ru/all/images/a0/0e/60x45/a00e3223.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #000000 | 470 000 |  2008  |  66 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Иваново | 12.01.15
1006624065-c3b746 | /i/all7/img/no-photo-thumb.gif |  Kia Cee'd I Рестайлинг1.4 MT (109 л.с.)  | #FFFFFF | 470 000 |  2011  |  81 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Москва | 12.01.15
49992966-a7a230 | http://is17.auto.ru/all/images/fe/fa/60x45/fefaf144.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #ffefd5 | 555 000 |  2010  |  63 466 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Воронеж | 12.01.15
49105596-d7d9 | http://is17.auto.ru/all/images/88/00/60x45/8800d6f9.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #0000FF | 395 000 |  2008  |  148 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Воротынск | 12.01.15
47985644-15ae32 | http://is1.auto.ru/all/images/ac/c4/60x45/acc4a9f8.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #FFCC00 | 467 000 |  2009  |  101 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Белгород | 12.01.15
1005161441-7161c | http://is9.auto.ru/all/images/5b/ec/60x45/5bec52e5.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #0000FF | 475 000 |  2008  |  74 000 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Москва | 12.01.15
47544074-1334ee | http://is5.auto.ru/all/images/4f/ea/60x45/4fea2db2.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #0088ff | 465 000 |  2010  |  52 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 12.01.15
1006575059-9f31 | http://is18.auto.ru/all/images/ab/06/60x45/ab06c72f.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #CACECB | 790 000 |  2014  |  5 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Пугачев | 12.01.15
1006615997-358a02 | http://is9.auto.ru/all/images/f4/08/60x45/f4086340.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #CACECB | 416 000 |  2007  |  54 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Воронеж | 12.01.15
1006268027-bade0 | http://is4.auto.ru/all/images/20/02/60x45/2002944e.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 660 000 |  2012  |  77 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Севастополь | 12.01.15
1006612947-91b007 | http://is7.auto.ru/all/images/a8/97/60x45/a8971166.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #9c9999 | 515 000 |  2010  |  103 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Челябинск | 12.01.15
1004428657-7518a1 | http://is6.auto.ru/all/images/2d/c7/60x45/2dc7562a.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #ffefd5 | 410 000 |  2009  |  92 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Егорьевск | 11.01.15
1006574863-835632 | /i/all7/img/no-photo-thumb.gif |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 515 000 |  2011  |  130 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 11.01.15
1006574155-4871a | http://is11.auto.ru/all/images/e9/b4/60x45/e9b445ba.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FFFFFF | 580 000 |  2011  |  25 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Казань | 11.01.15
50141146-d394 | http://is17.auto.ru/all/images/8b/ff/60x45/8bff26bb.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #9c9999 | 470 000 |  2010  |  69 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 11.01.15
1006571973-aa7c | http://is18.auto.ru/all/images/e9/21/60x45/e9216145.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #CACECB | 780 000 |  2013  |  20 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Ивантеевка | 11.01.15
1001318149-e566 | http://is18.auto.ru/all/images/82/9f/60x45/829fda2e.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #FF0000 | 465 000 |  2008  |  117 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Клинцы | 11.01.15
1006570625-a1b6b1 | http://is1.auto.ru/all/images/32/85/60x45/32858e55.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FFFFFF | 850 000 |  2013  |  19 500 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 11.01.15
1006563915-84afac | http://is13.auto.ru/all/images/0b/01/60x45/0b01f27b.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #9c9999 | 510 000 |  2010  |  55 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 11.01.15
1006571263-d71c | http://is18.auto.ru/all/images/73/bd/60x45/73bd08af.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 575 000 |  2010  |  53 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 11.01.15
1006570453-3789 | http://is9.auto.ru/all/images/9c/84/60x45/9c8424f2.jpg |  Kia Cee'd II1.4 MT  | #FFFFFF | 900 000 |  2014  |  10 000 км  |  1.4 MTхэтчбек, бензин, передний  | Краснодар | 11.01.15
1004637583-7669d | http://is5.auto.ru/all/images/29/8f/60x45/298f50c8.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #000000 | 1 010 000 |  2013  |  22 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Смоленск | 11.01.15
1003123990-4494ae | http://is17.auto.ru/all/images/e0/3a/60x45/e03af044.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #000000 | 540 000 |  2012  |  51 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Чебоксары | 11.01.15
1006569687-7ad5c2 | http://is4.auto.ru/all/images/e9/45/60x45/e945b937.jpg |  Kia Cee'd I1.6d AT (115 л.с.)  | #CACECB | 465 000 |  2008  |  105 000 км  |  1.6d AT (115 л.с.)универсал, дизель, передний  | Тихорецк | 11.01.15
1006358967-faccc7 | http://is17.auto.ru/all/images/3d/89/60x45/3d89a94f.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #9c9999 | 425 000 |  2008  |  101 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Брянск | 11.01.15
1006565635-7cd7e | http://is13.auto.ru/all/images/83/63/60x45/83639931.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #FF0000 | 450 000 |  2008  |  105 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Железногорск | 11.01.15
1006562267-bb6b94 | http://is2.auto.ru/all/images/a1/7b/60x45/a17b5bf9.jpg |  Kia Cee'd II1.4 MT (100 л.с.)  | #000000 | 535 000 |  2013  |  30 000 км  |  1.4 MT (100 л.с.)хэтчбек, бензин, передний  | Челябинск | 11.01.15
1006561743-8b530 | http://is12.auto.ru/all/images/bf/b3/60x45/bfb3acec.jpg |  Kia Cee'd I Рестайлинг1.4 MT (109 л.с.)  | #0088ff | 465 000 |  2010  |  67 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Таганрог | 11.01.15
32781304-7d535 | http://is11.auto.ru/all/images/11/4c/60x45/114c2595.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FF0000 | 560 000 |  2010  |  48 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 11.01.15
1002610829-38a625 | http://is1.auto.ru/all/images/22/5e/60x45/225e464f.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #000000 | 824 040 |  2008  |  136 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Севастополь | 11.01.15
1006523967-d9e4 | http://is18.auto.ru/all/images/46/89/60x45/46898231.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #9c9999 | 630 000 |  2013  |  53 393 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Тамбов | 10.01.15
1006408259-87246 | http://is7.auto.ru/all/images/ab/44/60x45/ab44ab17.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FFFFFF | 580 000 |  2011  |  69 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 10.01.15
1006469625-8820ad | http://is14.auto.ru/all/images/41/04/60x45/41048b89.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #0000FF | 620 000 |  2013  |  26 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Москва | 10.01.15
1006522585-6f93bf | http://is4.auto.ru/all/images/5c/fe/60x45/5cfe45f6.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #926547 | 970 000 |  2014  |  14 500 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Серпухов | 10.01.15
1006522517-f02f72 | http://is15.auto.ru/all/images/71/06/60x45/710661df.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FF9966 | 830 000 |  2013  |  40 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Ханты-Мансийск | 10.01.15
1006410385-c8cbf2 | /i/all7/img/no-photo-thumb.gif |  Kia Cee'd I1.6d MT (115 л.с.)  | #FF0000 | 400 000 |  2007  |  145 000 км  |  1.6d MT (115 л.с.)хэтчбек, дизель, передний  | Королев | 10.01.15
1000280036-a9552 | http://is8.auto.ru/all/images/62/5f/60x45/625f6e52.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #FF0000 | 395 000 |  2008  |  117 456 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Ступино | 10.01.15
1004643861-c6f3 | http://is7.auto.ru/all/images/7c/31/60x45/7c31cc6a.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #000000 | 320 000 |  2007  |  130 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Архангельск | 10.01.15
1006517041-c555 | http://is11.auto.ru/all/images/7e/92/60x45/7e92b485.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #9c9999 | 600 000 |  2011  |  100 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Воронеж | 10.01.15
1006511653-78ee6 | http://is5.auto.ru/all/images/45/6e/60x45/456ed5dc.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #CACECB | 395 000 |  2007  |  130 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Шахты | 10.01.15
47850604-41029c | http://is9.auto.ru/all/images/51/94/60x45/51949470.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #926547 | 550 000 |  2012  |  2 900 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Печора | 10.01.15
1006515761-7ff14e | http://is7.auto.ru/all/images/21/5e/60x45/215e2604.jpg |  Kia Cee'd I2.0 MT (143 л.с.)  | #0000FF | 410 000 |  2009  |  80 000 км  |  2.0 MT (143 л.с.)хэтчбек, бензин, передний  | Чебоксары | 10.01.15
1005919541-251c6 | http://is15.auto.ru/all/images/97/72/60x45/9772a3a0.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #926547 | 810 000 |  2013  |  25 000 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Москва | 10.01.15
1005386543-fec2 | http://is9.auto.ru/all/images/80/cc/60x45/80cc419c.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #CACECB | 490 000 |  2009  |  84 500 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 10.01.15
1006471891-58c37 | http://is5.auto.ru/all/images/93/84/60x45/93846ec7.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #0088ff | 430 000 |  2009  |  45 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Брянск | 09.01.15
1006318331-278c0 | http://is12.auto.ru/all/images/7d/59/60x45/7d59dd34.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #CACECB | 580 000 |  2013  |  27 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Оренбург | 09.01.15
1006468715-1e0e4 | http://is7.auto.ru/all/images/7f/5b/60x45/7f5be234.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #000000 | 660 000 |  2012  |  33 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Щелково | 09.01.15
1006466001-04f5 | /i/all7/img/no-photo-thumb.gif |  Kia Cee'd I Рестайлинг1.4 MT (109 л.с.)  | #FF0000 | 589 050 |  2010  |  19 206 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Москва | 09.01.15
33400060-50cee6 | http://is10.auto.ru/all/images/b2/43/60x45/b2430081.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #34ba2b | 500 000 |  2008  |  49 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Муром | 09.01.15
1006364209-e361a9 | /i/all7/img/no-photo-thumb.gif |  Kia Cee'd I1.6 AT (122 л.с.)  | #000000 | 490 000 |  2010  |  70 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 09.01.15
1006419455-f403 | http://is7.auto.ru/all/images/1a/22/60x45/1a22baa2.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #FF0000 | 400 000 |  2008  |  94 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Старый Оскол | 08.01.15
1004484743-4204ef | http://is1.auto.ru/all/images/91/48/60x45/91485063.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FFFFFF | 700 000 |  2012  |  39 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Москва | 08.01.15
1006416667-92af | http://is5.auto.ru/all/images/c0/90/60x45/c090caec.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #fde910 | 450 000 |  2008  |  80 000 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Ульяновск | 08.01.15
1006318419-8b76c0 | http://is10.auto.ru/all/images/10/a0/60x45/10a05afc.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #9c9999 | 760 000 |  2014  |  7 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Анапа | 08.01.15
1005576579-5c30 | http://is4.auto.ru/all/images/99/9f/60x45/999f85ea.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #000000 | 590 000 |  2012  |  33 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Курск | 08.01.15
1006411459-b7286 | http://is18.auto.ru/all/images/af/fb/60x45/affb1a8a.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #000000 | 360 000 |  2007  |  100 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Москва | 08.01.15
1006410187-0a2f3 | http://is2.auto.ru/all/images/3b/36/60x45/3b369496.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #9c9999 | 505 000 |  2012  |  54 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Тольятти | 08.01.15
1005252177-d877a | http://is4.auto.ru/all/images/d1/9b/60x45/d19b040e.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #9c9999 | 571 200 |  2010  |  86 138 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Москва | 08.01.15
28476252-64d4 | http://is4.auto.ru/all/images/a9/86/60x45/a98633fe.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #CACECB | 360 000 |  2007  |  98 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Ливны | 08.01.15
1006368997-728b | http://is1.auto.ru/all/images/93/1b/60x45/931bd391.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #ffefd5 | 415 000 |  2009  |  72 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 08.01.15
1006367071-5c4c | http://is11.auto.ru/all/images/f8/52/60x45/f852b746.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #926547 | 640 000 |  2013  |  14 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Казань | 07.01.15
1006365965-3890 | http://is6.auto.ru/all/images/51/eb/60x45/51eb5086.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #000000 | 650 000 |  2012  |  32 500 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Петрозаводск | 07.01.15
1005307805-ec9101 | http://is17.auto.ru/all/images/52/c8/60x45/52c8870c.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #0000FF | 790 500 |  2012  |  44 151 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Москва | 07.01.15
44599182-b0599 | http://is10.auto.ru/all/images/0d/76/60x45/0d761352.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #ffefd5 | 420 000 |  2008  |  145 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 07.01.15
1005101461-ed34 | http://is15.auto.ru/all/images/f4/ee/60x45/f4ee1f5a.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 509 000 |  2010  |  109 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 07.01.15
1003497990-0e420 | http://is3.auto.ru/all/images/cb/84/60x45/cb843e91.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #000000 | 629 000 |  2013  |  30 700 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Москва | 07.01.15
1006318633-8e85a | http://is12.auto.ru/all/images/2f/8b/60x45/2f8b9f92.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #9c9999 | 630 000 |  2013  |  54 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Тамбов | 07.01.15
1006317525-05e1cb | http://is16.auto.ru/all/images/b5/91/60x45/b591b805.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #FF0000 | 430 000 |  2008  |  95 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Колпино | 06.01.15
1006315525-3e38d | http://is1.auto.ru/all/images/e2/83/60x45/e283a550.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #000000 | 490 000 |  2010  |  54 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Великий Новгород | 06.01.15
1006310423-4e7a1f | http://is13.auto.ru/all/images/64/80/60x45/64806fff.jpg |  Kia Cee'd I2.0 MT (143 л.с.)  | #9c9999 | 380 000 |  2008  |  127 000 км  |  2.0 MT (143 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 06.01.15
1003770882-8d14b6 | http://is11.auto.ru/all/images/ac/f2/60x45/acf27240.jpg |  Kia Cee'd I Рестайлинг1.4 MT (109 л.с.)  | #FFFFFF | 490 000 |  2011  |  70 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Москва | 06.01.15
1002341757-7b8f2 | http://is4.auto.ru/all/images/c6/03/60x45/c603fad7.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #9c9999 | 460 000 |  2009  |  50 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Москва | 06.01.15
1002487703-8bd6 | http://is15.auto.ru/all/images/d7/37/60x45/d737caa4.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #000000 | 370 000 |  2008  |  132 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Вольск | 06.01.15
1005450189-19936 | http://is3.auto.ru/all/images/dc/ab/60x45/dcab1fa9.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 500 000 |  2009  |  133 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 06.01.15
1006305153-53131 | http://is17.auto.ru/all/images/30/2a/60x45/302a8a48.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #FF0000 | 430 000 |  2009  |  89 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Владимир | 06.01.15
1006265185-fe12 | http://is5.auto.ru/all/images/f3/07/60x45/f307dacb.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FFFFFF | 780 000 |  2013  |  26 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Ярославль | 05.01.15
1006266683-c154 | http://is6.auto.ru/all/images/a7/b1/60x45/a7b18d85.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #926547 | 680 000 |  2013  |  21 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Тольятти | 05.01.15
1006264613-42130 | http://is8.auto.ru/all/images/2f/fa/60x45/2ffacdcd.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #926547 | 470 000 |  2008  |  88 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Волжский | 05.01.15
47280944-9d2f3 | http://is17.auto.ru/all/images/68/dc/60x45/68dc8a15.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #ffefd5 | 440 000 |  2007  |  78 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 05.01.15
49395968-2597 | http://is6.auto.ru/all/images/a2/a5/60x45/a2a58c85.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #ffefd5 | 385 000 |  2007  |  108 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 05.01.15
1003215600-ec24a | http://is1.auto.ru/all/images/d4/84/60x45/d484044c.jpg |  Kia Cee'd II1.4 MT (100 л.с.)  | #000000 | 705 000 |  2012  |  18 км  |  1.4 MT (100 л.с.)хэтчбек, бензин, передний  | Москва | 05.01.15
1005858653-12a5 | http://is8.auto.ru/all/images/6d/d5/60x45/6dd5005e.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #9c9999 | 390 000 |  2009  |  79 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 05.01.15
1005810649-5b446 | http://is12.auto.ru/all/images/56/a3/60x45/56a3d520.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 670 000 |  2011  |  35 670 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 05.01.15
1002876185-7549 | http://is6.auto.ru/all/images/52/5a/60x45/525a5314.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #9c9999 | 594 966 |  2010  |  72 063 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 05.01.15
