1003758136-b9f65c | http://is15.auto.ru/all/images/df/91/60x45/df91b079.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #CACECB | 750 000 |  2011  |  55 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Воронеж | 23.01.15
1006207419-ec11 | http://is9.auto.ru/all/images/cc/b5/60x45/ccb54d1b.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #CACECB | 320 000 |  2005  |  120 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Воронеж | 04.01.15
1006152711-4b6c | http://is8.auto.ru/all/images/1b/ef/60x45/1bef0a93.jpg |  Toyota Corolla XI (E160, E170)1.6 CVT (132 л.с.)  | #FFFFFF | 950 000 |  2014  |  17 500 км  |  1.6 CVT (132 л.с.)седан, бензин, передний  | Орск | 04.01.15
1006163313-8d65a2 | http://is2.auto.ru/all/images/42/d3/60x45/42d3dc9b.jpg |  Toyota Corolla VIII (E110) Levin1.6 AT (165 л.с.)  | #000000 | 200 000 Правый руль |  1996  |  200 000 км  |  1.6 AT (165 л.с.)купе, бензин, передний  | Рыбинск | 04.01.15
1005976153-7a64 | http://is3.auto.ru/all/images/2c/04/60x45/2c04e15f.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 530 000 |  2008  |  101 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Калуга | 04.01.15
1006162415-6f152 | http://is8.auto.ru/all/images/5e/9a/60x45/5e9a9e56.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #000000 | 825 000 |  2011  |  88 500 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Москва | 03.01.15
1006155769-2946ef | http://is6.auto.ru/all/images/a4/fb/60x45/a4fb29d8.jpg |  Toyota Corolla X (E140, E150)1.3 MT (101 л.с.)  | #000000 | 600 000 |  2012  |  35 000 км  |  1.3 MT (101 л.с.)седан, бензин, передний  | Москва | 03.01.15
1006158249-98b11 | http://is9.auto.ru/all/images/06/1f/60x45/061fc435.jpg |  Toyota Corolla XI (E160, E170)1.6 MT (122 л.с.)  | #000000 | 1 100 000 |  2013  |  23 000 км  |  1.6 MT (122 л.с.)седан, бензин, передний  | Москва | 03.01.15
1006161201-3453 | http://is5.auto.ru/all/images/3e/a7/60x45/3ea75822.jpg |  Toyota Corolla XI (E160, E170)1.8 CVT (140 л.с.)  | #FFFFFF | 1 199 000 |  2013  |  23 000 км  |  1.8 CVT (140 л.с.)седан, бензин, передний  | Киров | 03.01.15
1005807285-54735 | http://is3.auto.ru/all/images/12/cd/60x45/12cd297c.jpg |  Toyota Corolla XI (E160, E170)1.6 CVT (122 л.с.)  | #000000 | 1 300 000 |  2014  |  18 253 км  |  1.6 CVT (122 л.с.)седан, бензин, передний  | Москва | 03.01.15
1004646189-b7ae9 | http://is9.auto.ru/all/images/3a/1f/60x45/3a1f454b.jpg |  Toyota Corolla VII (E100)1.8 AT (110 л.с.) 4WD  | #FFFFFF | 200 000 Правый руль |  1997  |  280 000 км  |  1.8 AT (110 л.с.) 4WDуниверсал, бензин, полный  | Минводы | 03.01.15
1006157017-ebdfc1 | http://is18.auto.ru/all/images/88/33/60x45/8833737f.jpg |  Toyota Corolla VIII (E110)1.6 AT (110 л.с.)  | #FFFFFF | 225 000 Правый руль |  2000  |  200 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Калуга | 03.01.15
1006153931-3bb84 | http://is16.auto.ru/all/images/fa/79/60x45/fa794eed.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #CACECB | 350 000 |  2003  |  210 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Ярославль | 03.01.15
49027780-b38a8f | http://is17.auto.ru/all/images/a5/4d/60x45/a54db03f.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #CACECB | 400 000 |  2006  |  70 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Ногинск | 03.01.15
1003628746-99e6f3 | http://is6.auto.ru/all/images/a0/a1/60x45/a0a1cf0d.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #000000 | 420 000 |  2007  |  132 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Брянск | 03.01.15
1006153907-bf4cf | http://is4.auto.ru/all/images/91/12/60x45/91129e08.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #9c9999 | 470 000 |  2008  |  48 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Москва | 03.01.15
1005449615-a723 | http://is2.auto.ru/all/images/f7/ce/60x45/f7ce7c8a.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #CACECB | 525 000 |  2007  |  99 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Москва | 03.01.15
1006154247-78c07 | http://is4.auto.ru/all/images/0f/21/60x45/0f21636c.jpg |  Toyota Corolla IV (E70)1.6 MT (75 л.с.)  | #FFFFFF | 40 000 Правый руль |  1983  |  34 000 км  |  1.6 MT (75 л.с.)седан, бензин, задний  | Воронеж | 03.01.15
1006152783-1e17 | http://is9.auto.ru/all/images/25/81/60x45/25811d5f.jpg |  Toyota Corolla VII (E100)1.5 AT (100 л.с.)  | #FFFFFF | 189 000 Правый руль |  1998  |  200 000 км  |  1.5 AT (100 л.с.)универсал, бензин, передний  | Абакан | 03.01.15
1000727122-253068 | http://is14.auto.ru/all/images/13/5c/60x45/135c8249.jpg |  Toyota Corolla IX (E120, E130)1.4 MT (97 л.с.)  | #0000FF | 270 000 |  2003  |  252 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Смоленск | 03.01.15
1006156063-56ecb | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #FFFFFF | 630 000 |  2011  |  60 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Орел | 03.01.15
46254678-0ba75c | http://is18.auto.ru/all/images/f2/9c/60x45/f29cc07a.jpg |  Toyota Corolla VI (E90)1.3 MT (75 л.с.) i  | #CACECB | 100 000 |  1991  |  250 000 км  |  1.3 MT (75 л.с.) iлифтбек, бензин, передний  | Новороссийск | 03.01.15
1006152799-14ac5 | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 455 000 |  2007  |  112 500 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Смоленск | 03.01.15
1005959619-0dc1 | http://is8.auto.ru/all/images/4d/7c/60x45/4d7ce059.jpg |  Toyota Corolla VIII (E110) Рестайлинг1.4 MT (97 л.с.)  | #0000FF | 185 000 |  2000  |  186 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Липецк | 02.01.15
1006114393-c5a9c3 | http://is14.auto.ru/all/images/ac/ee/60x45/aceee407.jpg |  Toyota Corolla X (E140, E150)1.4d MT (90 л.с.)  | #9c9999 | 395 000 |  2009  |  150 000 км  |  1.4d MT (90 л.с.)седан, дизель, передний  | Луховицы | 02.01.15
49668362-abdc | http://is11.auto.ru/all/images/ee/dd/60x45/eedda9f3.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #0088ff | 460 000 |  2005  |  81 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Ижевск | 02.01.15
1006113075-3712 | http://is2.auto.ru/all/images/8e/d2/60x45/8ed29d26.jpg |  Toyota Corolla VII (E100)1.5 AT (115 л.с.)  | #FFFFFF | 150 000 Правый руль |  1992  |  300 000 км  |  1.5 AT (115 л.с.)седан, бензин, передний  | Белгород | 02.01.15
1006113135-9d5b59 | http://is10.auto.ru/all/images/e7/9b/60x45/e79be99a.jpg |  Toyota Corolla IX (E120, E130)1.4 MT (97 л.с.)  | #9c9999 | 335 000 |  2005  |  130 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Видное | 02.01.15
1006112729-20bde | http://is15.auto.ru/all/images/71/95/60x45/7195bbe2.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #0088ff | 345 000 |  2004  |  187 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Москва | 02.01.15
1006110819-4f0a75 | http://is17.auto.ru/all/images/83/d8/60x45/83d8c609.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 380 000 |  2007  |  160 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Чебоксары | 02.01.15
1006110899-7c64f | http://is11.auto.ru/all/images/62/5c/60x45/625c84ac.jpg |  Toyota Corolla VI (E90)1.3 MT (75 л.с.)  | #FFFFFF | 50 000 Правый руль |  1988  |  175 000 км  |  1.3 MT (75 л.с.)седан, бензин, передний  | Мытищи | 02.01.15
1006108251-e5d20 | http://is17.auto.ru/all/images/36/a1/60x45/36a175d3.jpg |  Toyota Corolla XI (E160, E170)1.6 MT (122 л.с.)  | #FFFFFF | 850 000 |  2014  |  15 000 км  |  1.6 MT (122 л.с.)седан, бензин, передний  | Брянск | 02.01.15
49334206-63880 | http://is4.auto.ru/all/images/03/9c/60x45/039cd634.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #000000 | 440 000 |  2008  |  155 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Россошь | 02.01.15
1006069295-0421 | http://is15.auto.ru/all/images/04/af/60x45/04afd611.jpg |  Toyota Corolla VII (E100)1.5 AT (105 л.с.)  | #9c9999 | 90 000 Правый руль |  1993  |  200 000 км  |  1.5 AT (105 л.с.)универсал, бензин, передний  | Екатеринбург | 02.01.15
1001402771-f0a06a | http://is1.auto.ru/all/images/57/3d/60x45/573d1501.jpg |  Toyota Corolla VIII (E110) Levin1.6 MT (165 л.с.)  | #000000 | 180 000 Правый руль |  1995  |  407 000 км  |  1.6 MT (165 л.с.)купе, бензин, передний  | Москва | 01.01.15
1006026915-7c68f | http://is15.auto.ru/all/images/e5/d8/60x45/e5d85703.jpg |  Toyota Corolla VIII (E110)1.6 MT (110 л.с.)  | #0000FF | 225 000 |  2000  |  97 000 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Кострома | 01.01.15
1006026039-9bf23 | http://is13.auto.ru/all/images/23/30/60x45/2330f5bf.jpg |  Toyota Corolla VI (E90)MT (75 л.с.)  | #FFFFFF | 63 630 |  1987  |  550 550 км  |  MT (75 л.с.)хэтчбек, бензин, передний  | Краснодар | 31.12.14
1006024487-5492 | http://is14.auto.ru/all/images/85/38/60x45/85383a2c.jpg |  Toyota Corolla VII (E100)1.3 MT (88 л.с.)  | #34ba2b | 129 000 |  1992  |  53 000 км  |  1.3 MT (88 л.с.)лифтбек, бензин, передний  | Наро-Фоминск | 31.12.14
1004260673-c5373 | http://is2.auto.ru/all/images/0f/16/60x45/0f16ea11.jpg |  Toyota Corolla VIII (E110) Рестайлинг1.4 MT (97 л.с.) i  | #0000FF | 170 000 |  2001  |  380 000 км  |  1.4 MT (97 л.с.) iхэтчбек, бензин, передний  | Ивантеевка | 31.12.14
2188913-bde776 | http://is11.auto.ru/all/images/5e/39/60x45/5e39e77f.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #FF0000 | 500 000 |  2008  |  40 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Кострома | 31.12.14
45780304-83c0b | http://is9.auto.ru/all/images/2b/ae/60x45/2baead78.jpg |  Toyota Corolla VII (E100) Levin1.6 AT (160 л.с.)  | #0088ff | 150 000 Правый руль |  1992  |  140 000 км  |  1.6 AT (160 л.с.)седан, бензин, передний  | Москва | 31.12.14
34196410-e826 | http://is3.auto.ru/all/images/a5/b9/60x45/a5b96d75.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #000000 | 580 000 |  2008  |  54 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Белгород | 30.12.14
25970472-cfe2 | http://is4.auto.ru/all/images/4a/4b/60x45/4a4ba1b1.jpg |  Toyota Corolla IX (E120, E130) Fielder1.5 AT (110 л.с.)  | #FFFFFF | 303 000 Правый руль |  2002  |  253 535 км  |  1.5 AT (110 л.с.)универсал, бензин, передний  | Воронеж | 30.12.14
1005975609-db35 | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla XI (E160, E170)1.6 CVT (132 л.с.)  | #FFFFFF | 990 000 |  2014  |  9 000 км  |  1.6 CVT (132 л.с.)седан, бензин, передний  | Вологда | 30.12.14
1005975541-bef42 | http://is4.auto.ru/all/images/94/17/60x45/94173946.jpg |  Toyota Corolla VIII (E110)1.3 MT (85 л.с.)  | #000000 | 160 000 |  1998  |  270 000 км  |  1.3 MT (85 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 30.12.14
1003550130-3ec2 | http://is17.auto.ru/all/images/45/42/60x45/4542aa84.jpg |  Toyota Corolla VI (E90)1.6 MT (95 л.с.)  | #FF0000 | 79 000 |  1988  |  240 000 км  |  1.6 MT (95 л.с.)седан, бензин, передний  | Москва | 30.12.14
1005021955-f884 | http://is12.auto.ru/all/images/1e/3a/60x45/1e3aa551.jpg |  Toyota Corolla IX (E120, E130)1.5 AT (110 л.с.)  | #CACECB | 259 000 Правый руль |  2000  |  241 000 км  |  1.5 AT (110 л.с.)седан, бензин, передний  | Москва | 30.12.14
1004488485-e521 | http://is3.auto.ru/all/images/9d/a4/60x45/9da4219c.jpg |  Toyota Corolla X (E140, E150)1.4d MT (90 л.с.)  | #FF0000 | 430 000 |  2008  |  137 000 км  |  1.4d MT (90 л.с.)седан, дизель, передний  | Воронеж | 30.12.14
1005868097-656fd5 | http://is8.auto.ru/all/images/bf/84/60x45/bf84149b.jpg |  Toyota Corolla IX (E120, E130)1.4 MT (97 л.с.)  | #9c9999 | 348 000 |  2006  |  146 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Санкт-Петербург | 30.12.14
1005972187-3e244 | http://is8.auto.ru/all/images/73/b7/60x45/73b71279.jpg |  Toyota Corolla VIII (E110)1.3 MT (85 л.с.)  | #0000FF | 230 000 |  1999  |  180 000 км  |  1.3 MT (85 л.с.)хэтчбек, бензин, передний  | Иваново | 30.12.14
1005970445-1bb768 | http://is16.auto.ru/all/images/26/1a/60x45/261a7cd3.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #0088ff | 389 000 |  2005  |  158 500 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Ярославль | 30.12.14
1005969709-5fb4a | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla X (E140, E150)1.4 MT (97 л.с.)  | #FF0000 | 500 000 |  2007  |  103 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Новосибирск | 30.12.14
1005968419-5934d | http://is6.auto.ru/all/images/35/0e/60x45/350ec196.jpg |  Toyota Corolla VII (E100)1.3 MT (88 л.с.)  | #000000 | 85 000 |  1995  |  257 170 км  |  1.3 MT (88 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 30.12.14
1005963857-ac2a | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla X (E140, E150) Рестайлинг Axio1.8 CVT (133 л.с.) 4WD  | #FFFFFF | 640 000 |  2012  |  60 000 км  |  1.8 CVT (133 л.с.) 4WDседан, бензин, полный  | Орел | 30.12.14
1005963685-1705 | http://is3.auto.ru/all/images/28/f7/60x45/28f7d052.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 480 000 |  2008  |  37 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Ростов-на-Дону | 30.12.14
1005925135-0eef2 | http://is12.auto.ru/all/images/32/62/60x45/326284ed.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #CACECB | 270 000 |  2004  |  310 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Каспийск | 29.12.14
47917758-339c | http://is3.auto.ru/all/images/e8/7f/60x45/e87f265e.jpg |  Toyota Corolla VII (E100)1.5 AT (105 л.с.)  | #000000 | 110 000 Правый руль |  1992  |  300 000 км  |  1.5 AT (105 л.с.)седан, бензин, передний  | Тула | 29.12.14
1003776452-092b5b | http://is8.auto.ru/all/images/11/9a/60x45/119aa907.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 600 000 |  2007  |  123 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 29.12.14
1005923433-b9d03 | http://is9.auto.ru/all/images/93/05/60x45/930531f7.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #CACECB | 345 000 |  2006  |  167 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Кинешма | 29.12.14
1005923603-caf9 | http://is2.auto.ru/all/images/7c/ea/60x45/7cea2052.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #FF0000 | 420 000 |  2007  |  75 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Казань | 29.12.14
1005920057-a2369f | http://is1.auto.ru/all/images/f9/e4/60x45/f9e4dce9.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #0088ff | 330 000 |  2004  |  104 000 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Колпино | 29.12.14
1005919909-43904a | http://is7.auto.ru/all/images/cf/7c/60x45/cf7c0fbd.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #000000 | 485 000 |  2007  |  84 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Москва | 29.12.14
1005919321-8e3e9b | http://is17.auto.ru/all/images/d7/61/60x45/d7613226.jpg |  Toyota Corolla IX (E120, E130)1.4 MT (97 л.с.)  | #CACECB | 420 000 |  2006  |  92 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Крымск | 29.12.14
1005917795-5e99 | http://is15.auto.ru/all/images/34/d7/60x45/34d70050.jpg |  Toyota Corolla XI (E160, E170)1.6 CVT (122 л.с.)  | #9c9999 | 1 049 000 |  2013  |  18 200 км  |  1.6 CVT (122 л.с.)седан, бензин, передний  | Москва | 29.12.14
1005917461-76eac | http://is3.auto.ru/all/images/8c/37/60x45/8c37b47a.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #CACECB | 550 000 |  2005  |  22 800 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 29.12.14
39596706-1f28 | http://is7.auto.ru/all/images/f0/8b/60x45/f08b1888.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #926547 | 340 000 |  2005  |  125 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Великие Луки | 29.12.14
1005915931-5fd6 | http://is17.auto.ru/all/images/98/97/60x45/9897478b.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #000000 | 485 000 |  2007  |  84 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Воронеж | 29.12.14
1005915363-82c35 | /i/all7/img/no-photo-thumb.gif |  Toyota Corolla IX (E120, E130)1.4 MT (97 л.с.)  | #9c9999 | 350 000 |  2005  |  125 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Видное | 29.12.14
1005693983-26c44 | http://is18.auto.ru/all/images/8e/a2/60x45/8ea21078.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 685 000 |  2008  |  137 699 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 29.12.14
1005913737-1dc5fc | http://is6.auto.ru/all/images/02/32/60x45/0232e9cc.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #CACECB | 350 000 |  2003  |  212 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Обнинск | 29.12.14
1004162381-4c12 | http://is3.auto.ru/all/images/58/b6/60x45/58b656c4.jpg |  Toyota Corolla IX (E120, E130)1.5 AT (110 л.с.)  | #FF0000 | 260 000 Правый руль |  2003  |  185 000 км  |  1.5 AT (110 л.с.)седан, бензин, передний  | Сочи | 29.12.14
1005912215-c60c9c | http://is18.auto.ru/all/images/21/45/60x45/2145ac03.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #0088ff | 415 000 |  2005  |  155 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Барнаул | 29.12.14
1005568901-58c4f | http://is2.auto.ru/all/images/be/c9/60x45/bec97b29.jpg |  Toyota Corolla X (E140, E150)1.4 MT (97 л.с.)  | #CACECB | 515 000 |  2008  |  100 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Москва | 29.12.14
1005569487-65d5 | http://is5.auto.ru/all/images/af/e3/60x45/afe303fc.jpg |  Toyota Corolla X (E140, E150)1.4 MT (97 л.с.)  | #CACECB | 515 000 |  2008  |  100 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Москва | 29.12.14
1005704619-5a16d | http://is17.auto.ru/all/images/c2/8b/60x45/c28b9e7c.jpg |  Toyota Corolla IX (E120, E130)1.5 AT  | #FFFFFF | 159 000 Правый руль |  2000  |  215 000 км  |  1.5 ATуниверсал, бензин, передний  | Красноярск | 29.12.14
1005709345-7843 | http://is2.auto.ru/all/images/28/ac/60x45/28ac8a06.jpg |  Toyota Corolla IX (E120, E130)1.5 AT (98 л.с.)  | #FFFFFF | 159 000 Правый руль |  2000  |  215 000 км  |  1.5 AT (98 л.с.)универсал, бензин, передний  | Красноярск | 29.12.14
1005868179-58f867 | http://is6.auto.ru/all/images/b7/7c/60x45/b77c045e.jpg |  Toyota Corolla X (E140, E150)1.4 MT (97 л.с.)  | #0000FF | 450 000 |  2008  |  95 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Кропоткин | 28.12.14
1005867863-70f8a8 | http://is11.auto.ru/all/images/4d/13/60x45/4d13cd2e.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #0000FF | 287 000 |  2003  |  116 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Москва | 28.12.14
1005867359-e96038 | http://is5.auto.ru/all/images/De/fa/60x45/DefaultP.jpg |  Toyota Corolla XI (E160, E170)1.6 CVT (122 л.с.)  | #CACECB | 1 190 000 |  2014  |  4 200 км  |  1.6 CVT (122 л.с.)седан, бензин, передний  | Архангельск | 28.12.14
1002620323-cc8b08 | http://is3.auto.ru/all/images/58/63/60x45/58639c93.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #CACECB | 330 000 |  2005  |  126 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Углич | 28.12.14
1004073982-e7fccf | http://is16.auto.ru/all/images/e0/81/60x45/e0818e7a.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #9c9999 | 365 000 |  2005  |  165 000 км  |  1.6 MT (110 л.с.)универсал, бензин, передний  | Воронеж | 28.12.14
1005865977-485e | http://is9.auto.ru/all/images/9f/e7/60x45/9fe76021.jpg |  Toyota Corolla IX (E120, E130)1.8 AT (132 л.с.)  | #9c9999 | 300 000 |  2002  |  161 000 км  |  1.8 AT (132 л.с.)седан, бензин, передний  | Домодедово | 28.12.14
43748610-d3c7d | http://is17.auto.ru/all/images/fe/90/60x45/fe90349e.jpg |  Toyota Corolla VIII (E110) Levin1.6 MT (165 л.с.)  | #9c9999 | 230 000 Правый руль |  1998  |  126 138 км  |  1.6 MT (165 л.с.)купе, бензин, передний  | Нижний Новгород | 28.12.14
1005865289-299d9 | http://is18.auto.ru/all/images/d3/7a/60x45/d37abbe5.jpg |  Toyota Corolla IX (E120, E130)1.4 MT (97 л.с.)  | #34ba2b | 369 000 |  2006  |  87 600 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Москва | 28.12.14
1005865085-578ebe | http://is6.auto.ru/all/images/f8/af/60x45/f8af8040.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 1 000 000 |  2011  |  65 555 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 28.12.14
28125656-90fd04 | http://is9.auto.ru/all/images/ee/e0/60x45/eee0ec0e.jpg |  Toyota Corolla VIII (E110)1.8 AT (110 л.с.) 4WD  | #FFFFFF | 175 000 Правый руль |  2001  |  287 000 км  |  1.8 AT (110 л.с.) 4WDуниверсал, бензин, полный  | Щелково | 28.12.14
1005861979-6152 | http://is8.auto.ru/all/images/af/ac/60x45/afacdaef.jpg |  Toyota Corolla IX (E120, E130) Fielder1.5 AT (110 л.с.)  | #9c9999 | 260 000 Правый руль |  2002  |  220 000 км  |  1.5 AT (110 л.с.)универсал, бензин, передний  | Томск | 28.12.14
1005860707-687e8 | http://is14.auto.ru/all/images/d4/65/60x45/d465790d.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #0000FF | 485 000 |  2007  |  104 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Лабинск | 28.12.14
1005861259-4ad7d | http://is4.auto.ru/all/images/68/f2/60x45/68f244b1.jpg |  Toyota Corolla IX (E120, E130)1.8 AT (132 л.с.)  | #CACECB | 320 000 |  2002  |  165 000 км  |  1.8 AT (132 л.с.)седан, бензин, передний  | Чебоксары | 28.12.14
1005813133-e69f29 | http://is3.auto.ru/all/images/0f/6a/60x45/0f6aeae3.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #0000FF | 465 000 |  2008  |  101 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Химки | 28.12.14
1005858503-b1220 | http://is9.auto.ru/all/images/58/4f/60x45/584fef45.jpg |  Toyota Corolla X (E140, E150)1.4 MT (97 л.с.)  | #CACECB | 430 000 |  2007  |  146 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Лесной | 28.12.14
1005857331-1182 | http://is13.auto.ru/all/images/ef/cd/60x45/efcd6e97.jpg |  Toyota Corolla VIII (E110)1.3 MT (85 л.с.)  | #0000FF | 150 000 |  1997  |  210 000 км  |  1.3 MT (85 л.с.)хэтчбек, бензин, передний  | Липецк | 28.12.14
49621042-3c84b | http://is2.auto.ru/all/images/43/e4/60x45/43e4d115.jpg |  Toyota Corolla VII (E100)1.3 MT (88 л.с.)  | #0000FF | 135 000 |  1994  |  270 000 км  |  1.3 MT (88 л.с.)хэтчбек, бензин, передний  | Чебоксары | 27.12.14
1005812363-4c7e0 | http://is10.auto.ru/all/images/98/28/60x45/982850a7.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #CACECB | 460 000 |  2006  |  110 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Новосибирск | 27.12.14
1005759913-14ea | http://is7.auto.ru/all/images/46/9d/60x45/469d6ea6.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #FFFFFF | 670 000 |  2010  |  117 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Москва | 27.12.14
1003760796-fcdfc6 | http://is18.auto.ru/all/images/33/f2/60x45/33f233c9.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #34ba2b | 295 000 |  2005  |  110 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Егорьевск | 27.12.14
1005809361-eb46 | http://is11.auto.ru/all/images/be/3d/60x45/be3d8aec.jpg |  Toyota Corolla XI (E160, E170)1.6 MT (122 л.с.)  | #000000 | 703 000 |  2014  |  131 км  |  1.6 MT (122 л.с.)седан, бензин, передний  | Самара | 27.12.14
